,AUDCAD,AUDCHF,AUDJPY,AUDNZD,AUDUSD,CADCHF,CADJPY,CHFJPY,DXY,EURCHF,EURGBP,EURJPY,EURNZD,EURTRY,EURUSD,GBPJPY,NZDUSD,USDCHF,USDMXN,USDNOK,USDSEK,USDSGD
AUDCAD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDCHF,0.0,,-2.7486,-3.3163,-1.4165,-1.9573,-2.3951,-2.7127,0.0,-1.5374,-2.1862,-1.8511,-2.2732,-2.0949,-2.0739,-1.8235,-1.7909,-1.0046,-1.0786,-2.6838,-1.0954,-1.9526
AUDJPY,0.0,-2.7486,,-2.296,-0.9215,-1.9302,-1.9153,-2.6383,0.0,-2.2732,-2.173,-1.5954,-1.8483,-2.0859,-1.7175,-1.9794,-1.4549,-1.5755,-1.2678,-2.7547,-1.3091,-2.1574
AUDNZD,0.0,-3.3163,-2.296,,-1.2092,-2.6555,-2.5414,-2.3368,0.0,-2.6166,-2.1224,-1.5294,-1.4284,-2.1274,-1.9253,-1.9176,-2.227,-1.382,-1.0143,-2.2851,-0.8951,-1.4709
AUDUSD,0.0,-1.4165,-0.9215,-1.2092,,-1.6113,-1.4959,-1.0016,0.0,-0.9906,-1.6367,-0.7352,-1.1498,-0.7013,-1.6078,-1.442,-4.2158,-1.0266,-0.7088,-1.7104,-0.6766,-0.9595
CADCHF,0.0,-1.9573,-1.9302,-2.6555,-1.6113,,-2.6823,-2.4757,0.0,-1.3542,-2.0709,-1.5908,-2.0866,-2.4559,-1.8872,-1.5998,-1.8817,-0.5662,-1.0065,-2.4512,-0.7287,-1.6747
CADJPY,0.0,-2.3951,-1.9153,-2.5414,-1.4959,-2.6823,,-2.3155,0.0,-2.3511,-2.085,-1.5783,-2.393,-2.7594,-1.9164,-1.9455,-1.763,-1.6059,-1.2308,-2.7691,-1.247,-2.279
CHFJPY,0.0,-2.7127,-2.6383,-2.3368,-1.0016,-2.4757,-2.3155,,0.0,-3.1208,-2.013,-2.8891,-2.6849,-2.4718,-1.4542,-2.1875,-1.371,-1.9252,-1.4593,-2.4744,-1.5497,-2.1337
DXY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EURCHF,0.0,-1.5374,-2.2732,-2.6166,-0.9906,-1.3542,-2.3511,-3.1208,0.0,,-2.1232,-2.6269,-3.3288,-2.8441,-1.3734,-2.0157,-1.2832,-1.6014,-1.2505,-2.2874,-1.441,-2.0996
EURGBP,0.0,-2.1862,-2.173,-2.1224,-1.6367,-2.0709,-2.085,-2.013,0.0,-2.1232,,-2.0694,-1.8499,-1.5243,-2.2664,-2.1465,-1.9153,-2.1823,-1.4612,-2.2438,-1.5261,-1.8479
