open,high,low,close,date
7.8,7.82,7.43,7.45,2018-11-02
7.8,8.08,7.63,7.66,2018-11-01
7.43,7.84,7.43,7.75,2018-10-31
7.58,7.77,7.58,7.74,2018-10-30
7.42,7.69,7.42,7.63,2018-10-29
7.56,7.69,7.43,7.56,2018-10-26
7.02,7.74,6.91,7.56,2018-10-25
7.14,7.19,6.95,6.98,2018-10-24
7.4,7.41,7.11,7.14,2018-10-23
7.5,7.66,7.4,7.44,2018-10-22
7.33,7.43,7.19,7.4,2018-10-19
7.33,7.44,7.22,7.29,2018-10-18
7.63,7.63,7.31,7.34,2018-10-17
7.51,7.67,7.35,7.59,2018-10-16
7.75,7.77,7.46,7.47,2018-10-15
7.52,7.79,7.4,7.73,2018-10-12
7.76,7.92,7.46,7.46,2018-10-11
8.66,8.72,7.82,7.82,2018-10-10
8.65,8.8,8.57,8.77,2018-10-09
8.87,8.87,8.43,8.65,2018-10-08
8.64,9.01,8.64,8.83,2018-10-05
8.14,8.61,8.06,8.61,2018-10-04
8.28,8.33,8.13,8.19,2018-10-03
8.23,8.25,8.13,8.24,2018-10-02
8.28,8.33,8.23,8.28,2018-10-01
8.38,8.38,8.19,8.26,2018-09-28
8.35,8.39,8.24,8.33,2018-09-27
8.45,8.45,8.34,8.36,2018-09-26
8.3,8.42,8.29,8.38,2018-09-25
8.17,8.35,8.12,8.3,2018-09-24
8.23,8.25,8.14,8.16,2018-09-21
8.27,8.32,8.2,8.22,2018-09-20
8.45,8.45,8.22,8.3,2018-09-19
8.13,8.49,8.11,8.39,2018-09-18
8.01,8.16,8.01,8.13,2018-09-17
8.05,8.07,7.98,8.05,2018-09-14
7.99,8.1,7.97,8.02,2018-09-13
7.87,8.03,7.87,7.98,2018-09-12
7.83,7.85,7.75,7.83,2018-09-11
7.73,7.84,7.73,7.82,2018-09-10
7.68,7.78,7.68,7.73,2018-09-07
7.76,7.84,7.66,7.71,2018-09-06
7.82,7.9,7.695,7.74,2018-09-05
8.0,8.0,7.73,7.88,2018-09-04
8.0,8.09,7.94,7.97,2018-09-03
8.03,8.05,7.86,7.96,2018-08-31
8.25,8.27,8.06,8.07,2018-08-30
8.3,8.3,8.16,8.22,2018-08-29
8.31,8.46,8.31,8.31,2018-08-28
8.31,8.35,8.26,8.3,2018-08-27
8.3,8.34,8.26,8.31,2018-08-24
8.39,8.41,8.27,8.34,2018-08-23
8.29,8.47,8.24,8.37,2018-08-22
8.27,8.33,8.23,8.23,2018-08-21
8.36,8.44,8.26,8.28,2018-08-20
8.4,8.45,8.33,8.35,2018-08-17
8.35,8.45,8.29,8.4,2018-08-16
8.54,8.54,8.23,8.26,2018-08-15
8.71,8.72,8.55,8.57,2018-08-14
8.99,8.99,8.64,8.67,2018-08-13
8.98,9.03,8.95,8.97,2018-08-10
8.89,9.0,8.81,8.97,2018-08-09
8.9,9.0,8.81,8.88,2018-08-08
8.88,8.94,8.86,8.89,2018-08-07
8.75,8.91,8.69,8.88,2018-08-06
8.74,8.74,8.66,8.71,2018-08-03
8.75,8.75,8.59,8.68,2018-08-02
8.83,8.89,8.7,8.8,2018-08-01
8.87,8.87,8.74,8.75,2018-07-31
8.87,9.03,8.77,8.88,2018-07-30
9.03,9.15,8.78,8.87,2018-07-27
8.85,9.03,8.65,8.96,2018-07-26
8.82,8.97,8.76,8.79,2018-07-25
8.87,8.93,8.8,8.82,2018-07-24
8.88,9.04,8.81,8.81,2018-07-23
9.1,9.12,8.91,8.93,2018-07-20
9.03,9.15,9.02,9.09,2018-07-19
9.1,9.15,8.95,9.03,2018-07-18
9.0,9.1,8.88,9.07,2018-07-17
9.1,9.17,9.01,9.03,2018-07-16
9.13,9.23,9.07,9.1,2018-07-13
9.13,9.24,9.09,9.13,2018-07-12
8.94,9.31,8.92,9.06,2018-07-11
8.78,8.99,8.78,8.97,2018-07-10
8.66,8.74,8.61,8.73,2018-07-09
8.58,8.64,8.57,8.64,2018-07-06
8.62,8.65,8.54,8.58,2018-07-05
8.55,8.6,8.41,8.6,2018-07-04
8.6,8.72,8.56,8.56,2018-07-03
8.58,8.64,8.52,8.57,2018-07-02
8.89,8.91,8.65,8.65,2018-06-29
8.8,8.95,8.71,8.78,2018-06-28
8.65,8.78,8.59,8.78,2018-06-27
8.6,8.69,8.56,8.65,2018-06-26
8.5,8.73,8.43,8.55,2018-06-25
8.61,8.61,8.61,8.61,2018-06-23
8.22,8.61,8.2,8.61,2018-06-22
8.15,8.35,8.08,8.19,2018-06-21
8.33,8.34,8.16,8.16,2018-06-20
8.42,8.47,8.3,8.35,2018-06-19
8.38,8.56,8.35,8.44,2018-06-18
8.55,8.67,8.42,8.42,2018-06-15
8.79,8.79,8.5,8.68,2018-06-14
8.7,8.89,8.66,8.83,2018-06-13
8.7,8.93,8.57,8.69,2018-06-12
