open,high,low,close,date
0.2431,0.2452,0.2396,0.2428,2018-11-02
0.2382,0.2429,0.2372,0.2399,2018-11-01
0.2314,0.2394,0.2314,0.2382,2018-10-31
0.2202,0.2313,0.2183,0.229,2018-10-30
0.2235,0.2235,0.2197,0.2202,2018-10-29
0.2211,0.2227,0.2165,0.2171,2018-10-26
0.2167,0.2236,0.2148,0.2234,2018-10-25
0.2237,0.2237,0.2179,0.2182,2018-10-24
0.2225,0.2252,0.2207,0.2228,2018-10-23
0.226,0.229,0.2231,0.2251,2018-10-22
0.228,0.228,0.222,0.224,2018-10-19
0.2358,0.236,0.228,0.228,2018-10-18
0.234,0.2362,0.2338,0.2345,2018-10-17
0.2353,0.2367,0.2334,0.234,2018-10-16
0.2301,0.2357,0.2279,0.2344,2018-10-15
0.23,0.2314,0.227,0.2278,2018-10-12
0.222,0.2304,0.2186,0.2267,2018-10-11
0.2267,0.2327,0.2255,0.2266,2018-10-10
0.2255,0.2278,0.2218,0.2265,2018-10-09
0.2358,0.2359,0.2232,0.224,2018-10-08
0.2398,0.24,0.2332,0.2336,2018-10-05
0.246,0.2475,0.2399,0.2399,2018-10-04
0.247,0.2481,0.2449,0.2453,2018-10-03
0.2473,0.2485,0.2435,0.2445,2018-10-02
0.256,0.2569,0.2488,0.2488,2018-10-01
0.263,0.2632,0.254,0.255,2018-09-28
0.2616,0.2664,0.2587,0.2642,2018-09-27
0.2611,0.2643,0.258,0.2625,2018-09-26
0.2534,0.2627,0.2534,0.2608,2018-09-25
0.2506,0.2544,0.2478,0.2533,2018-09-24
0.2548,0.2562,0.2501,0.251,2018-09-21
0.2535,0.2587,0.2521,0.2537,2018-09-20
0.2494,0.2534,0.2493,0.2534,2018-09-19
0.2454,0.2511,0.2442,0.2494,2018-09-18
0.236,0.2456,0.2354,0.2454,2018-09-17
0.241,0.2411,0.2356,0.2367,2018-09-14
0.242,0.2431,0.2392,0.2398,2018-09-13
0.245,0.2452,0.2402,0.2411,2018-09-12
0.247,0.2483,0.2415,0.2458,2018-09-11
0.2435,0.247,0.2422,0.2469,2018-09-10
0.25,0.251,0.2428,0.2433,2018-09-07
0.2495,0.2524,0.2483,0.25,2018-09-06
0.2531,0.2536,0.2478,0.2519,2018-09-05
0.2531,0.2531,0.2475,0.2502,2018-09-04
0.2531,0.2539,0.2501,0.2508,2018-08-31
0.254,0.2555,0.253,0.2532,2018-08-30
0.255,0.256,0.2536,0.2553,2018-08-29
0.2552,0.2566,0.2542,0.2556,2018-08-28
0.2555,0.2562,0.2534,0.2551,2018-08-27
0.2547,0.2578,0.254,0.2547,2018-08-24
0.2553,0.2562,0.2536,0.2559,2018-08-23
0.2521,0.2568,0.2521,0.2568,2018-08-22
0.253,0.2544,0.2518,0.252,2018-08-21
0.2515,0.2546,0.2512,0.253,2018-08-20
0.2557,0.2558,0.2496,0.2503,2018-08-17
0.2549,0.2579,0.2518,0.2556,2018-08-16
0.256,0.2583,0.2512,0.2516,2018-08-15
0.26,0.2611,0.2552,0.257,2018-08-14
0.2619,0.2625,0.26,0.26,2018-08-13
0.2612,0.264,0.2598,0.264,2018-08-10
0.2617,0.2636,0.2602,0.2634,2018-08-09
0.2612,0.2638,0.2612,0.2617,2018-08-08
0.2602,0.2634,0.2593,0.2625,2018-08-07
0.2622,0.2634,0.2592,0.2596,2018-08-06
0.2663,0.2663,0.2615,0.2617,2018-08-03
0.2698,0.2698,0.265,0.265,2018-08-02
0.2692,0.2699,0.2681,0.2695,2018-08-01
0.2651,0.2695,0.2651,0.2684,2018-07-31
0.2654,0.2679,0.2654,0.2659,2018-07-30
0.2699,0.2711,0.2676,0.268,2018-07-27
0.2676,0.2705,0.2667,0.2685,2018-07-26
0.267,0.2685,0.2656,0.2674,2018-07-25
0.2728,0.2735,0.2654,0.2672,2018-07-24
0.2647,0.2709,0.2635,0.2708,2018-07-23
0.261,0.2643,0.2596,0.2641,2018-07-20
0.261,0.2635,0.261,0.2622,2018-07-19
