open,high,low,close,date
1.47,1.48,1.466,1.478,2018-11-02
1.46,1.46,1.46,1.46,2018-11-01
1.47,1.47,1.466,1.466,2018-10-31
1.46,1.49,1.46,1.46,2018-10-30
1.46,1.49,1.46,1.47,2018-10-29
1.46,1.462,1.46,1.46,2018-10-26
1.46,1.47,1.46,1.47,2018-10-25
1.46,1.468,1.452,1.46,2018-10-24
1.47,1.47,1.45,1.468,2018-10-23
1.46,1.46,1.446,1.46,2018-10-22
1.462,1.462,1.46,1.46,2018-10-19
1.462,1.462,1.44,1.46,2018-10-18
1.462,1.47,1.45,1.46,2018-10-17
1.46,1.464,1.436,1.46,2018-10-16
1.46,1.464,1.46,1.46,2018-10-15
1.46,1.47,1.452,1.46,2018-10-12
1.47,1.47,1.454,1.46,2018-10-11
1.46,1.48,1.46,1.47,2018-10-10
1.482,1.482,1.46,1.46,2018-10-09
1.464,1.5,1.456,1.48,2018-10-08
1.49,1.49,1.486,1.486,2018-10-05
1.48,1.5,1.48,1.5,2018-10-04
1.39,1.482,1.39,1.48,2018-10-03
1.47,1.476,1.46,1.46,2018-10-02
1.36,1.486,1.328,1.472,2018-10-01
1.476,1.488,1.476,1.476,2018-09-28
1.474,1.48,1.474,1.474,2018-09-27
1.478,1.478,1.474,1.474,2018-09-26
1.49,1.49,1.48,1.49,2018-09-25
1.462,1.48,1.462,1.48,2018-09-24
1.5,1.5,1.48,1.49,2018-09-21
1.48,1.5,1.48,1.49,2018-09-20
1.49,1.498,1.48,1.48,2018-09-19
1.5,1.5,1.482,1.49,2018-09-18
1.476,1.5,1.476,1.48,2018-09-17
1.47,1.48,1.464,1.48,2018-09-14
1.476,1.48,1.472,1.472,2018-09-13
1.47,1.478,1.47,1.476,2018-09-12
1.47,1.48,1.47,1.47,2018-09-11
1.48,1.48,1.476,1.476,2018-09-10
1.478,1.48,1.476,1.476,2018-09-07
1.484,1.484,1.476,1.476,2018-09-06
1.482,1.492,1.478,1.484,2018-09-05
1.5,1.5,1.496,1.496,2018-09-04
1.5,1.5,1.486,1.49,2018-08-31
1.5,1.5,1.478,1.5,2018-08-30
1.472,1.496,1.472,1.49,2018-08-29
1.458,1.48,1.458,1.478,2018-08-28
1.5,1.5,1.456,1.476,2018-08-27
1.45,1.574,1.45,1.472,2018-08-24
1.45,1.45,1.444,1.444,2018-08-23
1.444,1.45,1.444,1.444,2018-08-22
1.442,1.444,1.442,1.444,2018-08-21
1.444,1.45,1.444,1.45,2018-08-20
1.442,1.452,1.442,1.444,2018-08-17
1.45,1.452,1.45,1.45,2018-08-16
1.45,1.45,1.45,1.45,2018-08-15
1.45,1.45,1.45,1.45,2018-08-14
1.45,1.452,1.45,1.45,2018-08-13
1.45,1.45,1.45,1.45,2018-08-10
1.452,1.452,1.45,1.45,2018-08-09
1.45,1.454,1.45,1.454,2018-08-08
1.452,1.452,1.45,1.45,2018-08-07
1.45,1.45,1.45,1.45,2018-08-06
1.45,1.452,1.45,1.452,2018-08-03
1.45,1.454,1.45,1.454,2018-08-02
1.45,1.454,1.45,1.45,2018-08-01
1.45,1.45,1.45,1.45,2018-07-31
1.45,1.454,1.45,1.45,2018-07-30
1.45,1.452,1.45,1.45,2018-07-27
1.454,1.454,1.45,1.45,2018-07-26
1.45,1.452,1.45,1.45,2018-07-25
1.45,1.452,1.45,1.45,2018-07-24
1.45,1.452,1.45,1.45,2018-07-23
1.452,1.452,1.45,1.45,2018-07-20
1.45,1.454,1.45,1.452,2018-07-19
1.45,1.452,1.45,1.45,2018-07-18
1.45,1.454,1.45,1.454,2018-07-17
1.45,1.452,1.45,1.45,2018-07-16
1.45,1.452,1.45,1.45,2018-07-13
1.45,1.452,1.45,1.45,2018-07-12
1.45,1.452,1.45,1.45,2018-07-11
1.45,1.452,1.45,1.45,2018-07-10
1.45,1.452,1.45,1.452,2018-07-09
1.45,1.452,1.45,1.45,2018-07-06
1.45,1.452,1.45,1.45,2018-07-05
1.45,1.452,1.442,1.45,2018-07-04
1.45,1.452,1.45,1.45,2018-07-03
1.45,1.452,1.45,1.45,2018-07-02
1.45,1.452,1.45,1.45,2018-06-29
1.45,1.452,1.45,1.45,2018-06-28
1.45,1.452,1.45,1.45,2018-06-27
1.45,1.452,1.45,1.45,2018-06-26
1.452,1.452,1.45,1.45,2018-06-25
1.45,1.45,1.45,1.45,2018-06-23
1.45,1.452,1.45,1.45,2018-06-22
1.452,1.452,1.45,1.45,2018-06-21
1.45,1.452,1.45,1.45,2018-06-20
1.45,1.452,1.45,1.45,2018-06-19
1.45,1.452,1.45,1.45,2018-06-18
1.452,1.454,1.45,1.45,2018-06-15
1.45,1.452,1.45,1.45,2018-06-14
1.452,1.454,1.45,1.45,2018-06-13
1.45,1.454,1.45,1.45,2018-06-12
1.452,1.456,1.45,1.45,2018-06-11
1.45,1.452,1.45,1.45,2018-06-08
1.45,1.452,1.45,1.45,2018-06-07
1.45,1.452,1.45,1.45,2018-06-06
1.45,1.452,1.45,1.45,2018-06-05
1.45,1.46,1.45,1.45,2018-06-04
1.45,1.452,1.45,1.45,2018-06-01
1.45,1.452,1.45,1.452,2018-05-31
1.45,1.452,1.45,1.45,2018-05-30
1.45,1.452,1.45,1.45,2018-05-29
1.452,1.452,1.45,1.45,2018-05-28
1.45,1.452,1.45,1.45,2018-05-25
1.452,1.452,1.45,1.45,2018-05-24
1.45,1.452,1.45,1.45,2018-05-23
1.45,1.452,1.45,1.45,2018-05-22
1.45,1.452,1.45,1.45,2018-05-21
1.45,1.452,1.45,1.45,2018-05-18
1.45,1.454,1.45,1.452,2018-05-17
1.452,1.454,1.452,1.452,2018-05-16
1.45,1.454,1.45,1.452,2018-05-15
1.452,1.454,1.452,1.452,2018-05-14
1.454,1.454,1.45,1.452,2018-05-11
1.454,1.454,1.45,1.45,2018-05-10
1.454,1.454,1.454,1.454,2018-05-09
1.45,1.454,1.45,1.454,2018-05-08
1.42,1.452,1.42,1.45,2018-05-07
1.184,1.2,1.182,1.182,2018-05-04
1.2,1.21,1.186,1.2,2018-05-03
1.194,1.21,1.194,1.196,2018-05-02
1.23,1.23,1.198,1.216,2018-04-30
1.196,1.196,1.182,1.194,2018-04-27
1.198,1.198,1.172,1.182,2018-04-26
1.22,1.22,1.198,1.198,2018-04-25
1.196,1.23,1.19,1.19,2018-04-24
1.2,1.24,1.2,1.21,2018-04-23
