open,high,low,close,date
0.65,0.664,0.64,0.662,2018-11-02
0.666,0.666,0.636,0.652,2018-11-01
0.65,0.664,0.65,0.654,2018-10-31
0.636,0.65,0.636,0.65,2018-10-30
0.65,0.65,0.636,0.646,2018-10-29
0.642,0.642,0.632,0.64,2018-10-26
0.636,0.642,0.63,0.642,2018-10-25
0.646,0.646,0.636,0.64,2018-10-24
0.66,0.666,0.612,0.64,2018-10-23
0.674,0.68,0.662,0.662,2018-10-22
0.68,0.68,0.67,0.68,2018-10-19
0.686,0.686,0.678,0.68,2018-10-18
0.678,0.68,0.672,0.676,2018-10-17
0.68,0.686,0.67,0.678,2018-10-16
0.68,0.682,0.676,0.68,2018-10-15
0.67,0.68,0.668,0.68,2018-10-12
0.66,0.682,0.652,0.67,2018-10-11
0.688,0.688,0.648,0.668,2018-10-10
0.706,0.71,0.688,0.692,2018-10-09
0.694,0.7,0.688,0.7,2018-10-08
0.69,0.708,0.69,0.7,2018-10-05
0.716,0.718,0.69,0.71,2018-10-04
0.69,0.726,0.69,0.704,2018-10-03
0.68,0.694,0.666,0.69,2018-10-02
0.674,0.68,0.67,0.678,2018-10-01
0.668,0.676,0.66,0.676,2018-09-28
0.656,0.676,0.652,0.668,2018-09-27
0.666,0.674,0.664,0.664,2018-09-26
0.668,0.68,0.654,0.668,2018-09-25
0.65,0.666,0.65,0.666,2018-09-24
0.66,0.668,0.658,0.668,2018-09-21
0.658,0.668,0.652,0.668,2018-09-20
0.658,0.662,0.65,0.658,2018-09-19
0.656,0.656,0.648,0.648,2018-09-18
0.658,0.66,0.65,0.656,2018-09-17
0.63,0.652,0.63,0.652,2018-09-14
0.62,0.64,0.616,0.64,2018-09-13
0.638,0.644,0.622,0.632,2018-09-12
0.634,0.644,0.632,0.644,2018-09-11
0.636,0.644,0.622,0.64,2018-09-10
0.65,0.658,0.63,0.64,2018-09-07
0.666,0.668,0.65,0.654,2018-09-06
0.67,0.684,0.65,0.666,2018-09-05
0.644,0.662,0.644,0.662,2018-09-04
0.644,0.67,0.644,0.664,2018-09-03
0.644,0.654,0.636,0.654,2018-08-31
0.644,0.646,0.638,0.644,2018-08-30
0.638,0.648,0.636,0.644,2018-08-29
0.634,0.64,0.628,0.638,2018-08-28
0.64,0.648,0.63,0.64,2018-08-27
0.634,0.644,0.63,0.644,2018-08-24
0.638,0.64,0.622,0.632,2018-08-23
0.64,0.64,0.63,0.64,2018-08-22
0.64,0.64,0.626,0.628,2018-08-21
0.65,0.65,0.622,0.64,2018-08-20
0.65,0.654,0.644,0.65,2018-08-17
0.67,0.67,0.628,0.64,2018-08-16
0.626,0.684,0.622,0.666,2018-08-15
0.59,0.626,0.59,0.626,2018-08-14
0.6,0.6,0.58,0.6,2018-08-13
0.61,0.61,0.592,0.6,2018-08-10
0.608,0.61,0.598,0.61,2018-08-09
0.618,0.62,0.6,0.606,2018-08-08
0.612,0.618,0.604,0.616,2018-08-07
0.6,0.61,0.594,0.61,2018-08-06
0.574,0.59,0.568,0.58,2018-08-03
0.584,0.596,0.564,0.578,2018-08-02
0.59,0.598,0.582,0.598,2018-08-01
0.614,0.618,0.586,0.598,2018-07-31
0.584,0.628,0.548,0.612,2018-07-30
0.544,0.59,0.54,0.588,2018-07-27
0.53,0.538,0.53,0.538,2018-07-26
0.54,0.54,0.54,0.54,2018-07-25
0.538,0.54,0.538,0.54,2018-07-24
0.526,0.534,0.524,0.534,2018-07-23
0.53,0.53,0.53,0.53,2018-07-20
0.536,0.536,0.53,0.536,2018-07-19
0.532,0.538,0.53,0.538,2018-07-18
0.53,0.534,0.53,0.534,2018-07-17
0.534,0.534,0.522,0.526,2018-07-16
0.534,0.538,0.522,0.534,2018-07-13
0.54,0.542,0.532,0.542,2018-07-12
0.532,0.54,0.532,0.54,2018-07-11
0.54,0.544,0.532,0.532,2018-07-10
0.55,0.55,0.522,0.532,2018-07-09
0.548,0.55,0.534,0.55,2018-07-06
0.54,0.546,0.54,0.546,2018-07-05
0.54,0.544,0.54,0.54,2018-07-04
0.538,0.54,0.538,0.54,2018-07-03
0.536,0.538,0.53,0.538,2018-07-02
0.54,0.54,0.54,0.54,2018-06-29
0.536,0.538,0.536,0.538,2018-06-28
0.54,0.54,0.532,0.536,2018-06-27
0.546,0.546,0.534,0.542,2018-06-26
0.54,0.548,0.536,0.544,2018-06-25
0.546,0.546,0.546,0.546,2018-06-23
0.542,0.546,0.54,0.546,2018-06-22
0.548,0.554,0.542,0.542,2018-06-21
0.554,0.554,0.55,0.55,2018-06-20
0.554,0.558,0.548,0.556,2018-06-19
0.552,0.558,0.552,0.558,2018-06-18
0.546,0.554,0.542,0.554,2018-06-15
0.558,0.558,0.538,0.546,2018-06-14
0.554,0.554,0.54,0.55,2018-06-13
0.558,0.558,0.544,0.55,2018-06-12
0.552,0.558,0.548,0.558,2018-06-11
0.556,0.556,0.55,0.552,2018-06-08
0.56,0.56,0.544,0.56,2018-06-07
0.56,0.56,0.548,0.56,2018-06-06
0.56,0.562,0.554,0.56,2018-06-05
0.55,0.564,0.548,0.556,2018-06-04
0.538,0.544,0.52,0.544,2018-06-01
0.54,0.548,0.536,0.538,2018-05-31
0.55,0.55,0.534,0.54,2018-05-30
0.532,0.55,0.514,0.548,2018-05-29
0.55,0.55,0.536,0.536,2018-05-28
0.548,0.548,0.538,0.544,2018-05-25
0.552,0.56,0.54,0.54,2018-05-24
0.558,0.566,0.544,0.55,2018-05-23
0.564,0.564,0.556,0.56,2018-05-22
0.556,0.57,0.556,0.568,2018-05-21
0.578,0.578,0.558,0.57,2018-05-18
0.57,0.572,0.56,0.572,2018-05-17
0.578,0.578,0.556,0.568,2018-05-16
0.58,0.58,0.562,0.578,2018-05-15
0.57,0.578,0.552,0.578,2018-05-14
0.586,0.586,0.586,0.586,2018-05-08
0.58,0.582,0.574,0.58,2018-05-07
0.578,0.578,0.572,0.578,2018-05-04
0.578,0.58,0.57,0.578,2018-05-03
0.576,0.582,0.57,0.576,2018-05-02
0.568,0.578,0.568,0.578,2018-04-30
0.568,0.574,0.568,0.574,2018-04-27
0.566,0.568,0.562,0.568,2018-04-26
0.568,0.572,0.566,0.572,2018-04-25
0.578,0.578,0.57,0.572,2018-04-24
0.576,0.58,0.568,0.576,2018-04-23
0.572,0.578,0.56,0.578,2018-04-20
0.57,0.58,0.57,0.576,2018-04-19
0.556,0.57,0.556,0.57,2018-04-18
0.55,0.556,0.534,0.556,2018-04-17
0.57,0.57,0.548,0.556,2018-04-16
0.58,0.58,0.57,0.576,2018-04-13
0.58,0.58,0.562,0.58,2018-04-12
0.596,0.598,0.57,0.572,2018-04-11
0.592,0.598,0.588,0.598,2018-04-10
0.564,0.592,0.564,0.592,2018-04-09
0.554,0.58,0.554,0.576,2018-04-06
0.556,0.572,0.556,0.56,2018-04-05
0.55,0.57,0.546,0.55,2018-04-04
0.51,0.548,0.51,0.548,2018-04-03
0.506,0.516,0.506,0.506,2018-03-29
0.502,0.506,0.498,0.502,2018-03-28
0.504,0.516,0.502,0.504,2018-03-27
0.51,0.51,0.5,0.51,2018-03-26
0.494,0.506,0.487,0.506,2018-03-23
0.504,0.508,0.485,0.497,2018-03-22
0.514,0.516,0.502,0.502,2018-03-21
0.51,0.528,0.51,0.514,2018-03-20
0.522,0.53,0.51,0.512,2018-03-19
0.512,0.518,0.492,0.516,2018-03-16
0.524,0.524,0.51,0.514,2018-03-15
0.506,0.54,0.5,0.52,2018-03-14
0.487,0.516,0.484,0.506,2018-03-13
0.49,0.49,0.474,0.487,2018-03-12
0.488,0.5,0.481,0.481,2018-03-09
0.481,0.481,0.457,0.474,2018-03-08
0.484,0.484,0.473,0.475,2018-03-07
0.479,0.49,0.474,0.485,2018-03-06
0.45,0.49,0.45,0.475,2018-03-05
0.446,0.449,0.435,0.445,2018-03-02
0.456,0.456,0.438,0.45,2018-03-01
0.451,0.457,0.451,0.456,2018-02-28
0.46,0.46,0.454,0.457,2018-02-27
0.455,0.46,0.454,0.46,2018-02-26
0.456,0.457,0.455,0.457,2018-02-23
0.453,0.458,0.451,0.455,2018-02-22
0.455,0.464,0.451,0.459,2018-02-21
0.457,0.459,0.451,0.459,2018-02-20
0.464,0.464,0.455,0.46,2018-02-19
0.462,0.469,0.46,0.463,2018-02-16
0.469,0.47,0.456,0.464,2018-02-15
0.455,0.466,0.455,0.466,2018-02-14
0.46,0.465,0.455,0.465,2018-02-13
0.464,0.47,0.45,0.456,2018-02-12
0.456,0.461,0.449,0.46,2018-02-09
0.46,0.464,0.455,0.459,2018-02-08
0.469,0.469,0.45,0.46,2018-02-07
0.43,0.451,0.413,0.445,2018-02-06
0.462,0.463,0.436,0.454,2018-02-05
0.47,0.47,0.467,0.469,2018-02-02
0.486,0.486,0.47,0.478,2018-02-01
0.475,0.482,0.474,0.482,2018-01-31
0.48,0.483,0.476,0.476,2018-01-30
0.494,0.494,0.477,0.484,2018-01-29
0.473,0.488,0.472,0.488,2018-01-26
0.476,0.478,0.473,0.476,2018-01-25
0.488,0.488,0.476,0.476,2018-01-24
0.483,0.495,0.483,0.484,2018-01-23
0.477,0.488,0.47,0.488,2018-01-22
0.467,0.478,0.466,0.47,2018-01-19
0.474,0.475,0.467,0.467,2018-01-18
0.472,0.473,0.465,0.47,2018-01-17
0.473,0.48,0.471,0.472,2018-01-16
0.47,0.472,0.466,0.472,2018-01-15
0.462,0.472,0.462,0.471,2018-01-12
0.462,0.464,0.462,0.462,2018-01-11
0.461,0.472,0.46,0.472,2018-01-10
0.476,0.476,0.466,0.466,2018-01-09
0.478,0.479,0.472,0.476,2018-01-08
0.478,0.478,0.47,0.478,2018-01-05
0.48,0.492,0.46,0.482,2018-01-04
0.46,0.48,0.46,0.48,2018-01-03
0.45,0.468,0.45,0.465,2018-01-02
0.452,0.452,0.44,0.449,2017-12-29
0.453,0.459,0.453,0.453,2017-12-28
0.474,0.475,0.453,0.455,2017-12-27
0.473,0.48,0.468,0.477,2017-12-22
0.475,0.475,0.47,0.47,2017-12-21
0.472,0.472,0.467,0.469,2017-12-20
0.478,0.48,0.471,0.48,2017-12-19
0.493,0.493,0.477,0.477,2017-12-18
0.492,0.495,0.48,0.49,2017-12-15
0.482,0.495,0.478,0.494,2017-12-14
0.48,0.483,0.48,0.483,2017-12-13
0.469,0.478,0.469,0.475,2017-12-12
0.469,0.47,0.462,0.47,2017-12-11
0.464,0.464,0.463,0.464,2017-12-08
0.449,0.46,0.444,0.46,2017-12-07
0.45,0.452,0.446,0.452,2017-12-06
0.466,0.466,0.436,0.443,2017-12-05
0.46,0.469,0.46,0.465,2017-12-04
0.463,0.469,0.463,0.465,2017-12-01
0.462,0.463,0.458,0.46,2017-11-30
0.46,0.47,0.457,0.47,2017-11-29
0.469,0.469,0.456,0.457,2017-11-28
0.465,0.47,0.46,0.47,2017-11-27
0.483,0.483,0.47,0.47,2017-11-24
0.48,0.484,0.474,0.484,2017-11-23
0.489,0.494,0.482,0.482,2017-11-22
0.476,0.491,0.476,0.489,2017-11-21
0.463,0.475,0.463,0.475,2017-11-20
0.46,0.463,0.459,0.463,2017-11-17
0.442,0.46,0.442,0.46,2017-11-16
0.44,0.44,0.423,0.44,2017-11-15
0.44,0.445,0.439,0.445,2017-11-14
0.437,0.442,0.426,0.442,2017-11-13
0.447,0.447,0.418,0.445,2017-11-10
0.47,0.475,0.446,0.446,2017-11-09
0.468,0.476,0.468,0.468,2017-11-08
0.468,0.479,0.468,0.477,2017-11-07
0.5,0.5,0.463,0.471,2017-11-06
0.5,0.51,0.498,0.51,2017-11-03
0.507,0.507,0.495,0.507,2017-11-02
0.511,0.519,0.494,0.505,2017-11-01
0.501,0.512,0.499,0.511,2017-10-31
0.509,0.51,0.498,0.507,2017-10-30
0.508,0.512,0.504,0.508,2017-10-27
0.498,0.507,0.498,0.507,2017-10-26
0.503,0.512,0.503,0.503,2017-10-25
0.503,0.503,0.5,0.503,2017-10-24
0.503,0.506,0.497,0.5,2017-10-23
0.508,0.508,0.508,0.508,2017-10-20
0.507,0.507,0.493,0.505,2017-10-19
0.5,0.505,0.5,0.503,2017-10-18
0.508,0.509,0.494,0.501,2017-10-17
0.509,0.509,0.493,0.507,2017-10-16
0.515,0.515,0.501,0.509,2017-10-13
0.51,0.512,0.501,0.51,2017-10-12
0.51,0.51,0.493,0.51,2017-10-11
0.51,0.515,0.492,0.51,2017-10-10
0.515,0.524,0.51,0.519,2017-10-09
0.506,0.53,0.505,0.517,2017-10-06
0.491,0.507,0.49,0.5,2017-10-05
0.509,0.509,0.484,0.49,2017-10-04
0.517,0.517,0.477,0.508,2017-10-03
0.493,0.52,0.492,0.517,2017-10-02
0.479,0.489,0.475,0.477,2017-09-29
0.474,0.489,0.467,0.47,2017-09-28
0.431,0.474,0.43,0.474,2017-09-27
0.405,0.416,0.401,0.416,2017-09-26
0.4,0.406,0.4,0.405,2017-09-25
0.401,0.409,0.4,0.402,2017-09-22
0.408,0.408,0.4,0.405,2017-09-21
0.41,0.41,0.405,0.405,2017-09-20
0.409,0.41,0.409,0.41,2017-09-19
0.413,0.415,0.393,0.401,2017-09-18
0.405,0.407,0.4,0.4,2017-09-15
0.405,0.41,0.4,0.41,2017-09-14
0.401,0.41,0.4,0.41,2017-09-13
0.395,0.405,0.395,0.4,2017-09-12
0.4,0.4,0.389,0.4,2017-09-11
0.391,0.4,0.38,0.389,2017-09-08
0.42,0.42,0.393,0.4,2017-09-07
0.416,0.42,0.416,0.42,2017-09-06
0.425,0.425,0.415,0.424,2017-09-05
0.429,0.429,0.416,0.424,2017-09-04
0.43,0.435,0.417,0.428,2017-09-01
0.432,0.435,0.43,0.434,2017-08-31
0.423,0.428,0.423,0.428,2017-08-30
0.43,0.43,0.415,0.42,2017-08-29
0.423,0.432,0.423,0.425,2017-08-28
0.419,0.424,0.416,0.424,2017-08-25
0.411,0.418,0.411,0.416,2017-08-24
0.42,0.421,0.416,0.419,2017-08-23
0.415,0.425,0.415,0.422,2017-08-22
0.409,0.414,0.408,0.414,2017-08-21
0.414,0.416,0.409,0.414,2017-08-18
0.414,0.414,0.411,0.414,2017-08-17
0.412,0.412,0.41,0.41,2017-08-16
0.413,0.413,0.411,0.411,2017-08-15
0.411,0.418,0.41,0.412,2017-08-14
0.414,0.419,0.412,0.419,2017-08-11
0.415,0.422,0.415,0.422,2017-08-10
0.415,0.424,0.411,0.424,2017-08-09
0.42,0.428,0.419,0.421,2017-08-08
0.434,0.434,0.413,0.419,2017-08-07
0.419,0.419,0.41,0.419,2017-08-04
0.414,0.418,0.412,0.413,2017-08-03
0.42,0.42,0.42,0.42,2017-08-02
0.422,0.422,0.412,0.417,2017-08-01
0.416,0.417,0.416,0.417,2017-07-31
0.42,0.428,0.406,0.422,2017-07-28
0.44,0.44,0.428,0.436,2017-07-27
0.437,0.443,0.436,0.44,2017-07-26
0.45,0.454,0.428,0.428,2017-07-25
0.418,0.45,0.416,0.449,2017-07-24
0.409,0.414,0.405,0.414,2017-07-21
0.41,0.414,0.403,0.403,2017-07-20
0.406,0.414,0.405,0.405,2017-07-19
0.41,0.415,0.402,0.405,2017-07-18
0.418,0.418,0.413,0.414,2017-07-17
0.41,0.426,0.41,0.411,2017-07-14
0.412,0.413,0.405,0.405,2017-07-13
0.407,0.42,0.407,0.412,2017-07-12
0.391,0.406,0.39,0.404,2017-07-11
0.391,0.391,0.381,0.39,2017-07-10
0.382,0.389,0.382,0.384,2017-07-07
0.386,0.386,0.378,0.381,2017-07-06
0.397,0.397,0.385,0.386,2017-07-05
0.391,0.395,0.385,0.395,2017-07-04
0.395,0.399,0.39,0.397,2017-07-03
0.397,0.397,0.392,0.397,2017-06-30
0.398,0.401,0.392,0.392,2017-06-29
0.403,0.403,0.392,0.398,2017-06-28
0.408,0.408,0.397,0.402,2017-06-27
0.398,0.403,0.397,0.4,2017-06-26
0.403,0.403,0.386,0.395,2017-06-23
0.403,0.405,0.395,0.403,2017-06-22
0.404,0.407,0.396,0.397,2017-06-21
0.385,0.408,0.376,0.408,2017-06-20
0.38,0.389,0.363,0.388,2017-06-19
0.386,0.386,0.373,0.379,2017-06-16
0.395,0.395,0.381,0.385,2017-06-15
0.399,0.399,0.382,0.395,2017-06-14
0.4,0.4,0.391,0.399,2017-06-13
0.4,0.404,0.39,0.392,2017-06-12
0.4,0.405,0.393,0.4,2017-06-09
0.405,0.413,0.397,0.4,2017-06-08
0.415,0.425,0.4,0.4,2017-06-07
0.406,0.419,0.404,0.411,2017-06-06
0.414,0.414,0.406,0.412,2017-06-05
0.396,0.41,0.381,0.402,2017-06-02
0.417,0.417,0.393,0.396,2017-06-01
0.425,0.425,0.404,0.412,2017-05-31
0.409,0.426,0.401,0.425,2017-05-30
0.409,0.409,0.397,0.407,2017-05-29
0.394,0.405,0.393,0.405,2017-05-26
0.4,0.4,0.39,0.398,2017-05-25
0.406,0.409,0.39,0.4,2017-05-24
0.39,0.405,0.39,0.4,2017-05-23
0.387,0.398,0.377,0.39,2017-05-22
0.359,0.391,0.359,0.379,2017-05-19
0.365,0.369,0.341,0.35,2017-05-18
0.361,0.365,0.355,0.363,2017-05-17
0.373,0.378,0.364,0.364,2017-05-16
0.384,0.384,0.363,0.373,2017-05-15
0.382,0.395,0.372,0.38,2017-05-12
0.346,0.373,0.333,0.37,2017-05-11
