open,high,low,close,date
0.103,0.103,0.103,0.103,2018-11-01
0.156,0.156,0.156,0.156,2018-10-25
0.149,0.149,0.149,0.149,2018-10-19
0.163,0.163,0.163,0.163,2018-10-08
0.164,0.164,0.164,0.164,2018-10-03
0.144,0.144,0.144,0.144,2018-09-27
0.133,0.133,0.133,0.133,2018-09-26
0.09,0.09,0.09,0.09,2018-09-21
0.132,0.132,0.132,0.132,2018-09-03
0.132,0.132,0.132,0.132,2018-08-31
0.142,0.142,0.142,0.142,2018-08-20
0.135,0.135,0.135,0.135,2018-08-17
0.132,0.132,0.132,0.132,2018-08-13
0.132,0.132,0.132,0.132,2018-08-09
0.123,0.123,0.123,0.123,2018-08-03
0.123,0.123,0.123,0.123,2018-07-26
0.136,0.136,0.136,0.136,2018-07-23
0.13,0.13,0.13,0.13,2018-07-17
0.13,0.13,0.13,0.13,2018-07-11
0.12,0.122,0.12,0.122,2018-07-06
0.121,0.121,0.121,0.121,2018-07-03
0.125,0.125,0.125,0.125,2018-06-29
0.123,0.123,0.123,0.123,2018-06-28
0.136,0.136,0.136,0.136,2018-06-23
0.136,0.136,0.136,0.136,2018-06-15
0.135,0.135,0.135,0.135,2018-06-14
0.134,0.134,0.134,0.134,2018-06-08
0.169,0.169,0.169,0.169,2018-05-17
0.14,0.14,0.14,0.14,2018-05-02
0.17,0.17,0.17,0.17,2018-04-30
0.134,0.134,0.134,0.134,2018-04-16
0.134,0.134,0.134,0.134,2018-04-11
0.135,0.135,0.135,0.135,2018-04-09
0.17,0.17,0.17,0.17,2018-04-05
0.155,0.17,0.155,0.17,2018-03-29
0.155,0.155,0.155,0.155,2018-03-28
0.12,0.12,0.12,0.12,2018-03-26
0.11,0.11,0.11,0.11,2018-03-21
0.15,0.15,0.15,0.15,2018-02-15
0.15,0.15,0.15,0.15,2018-02-14
0.15,0.15,0.15,0.15,2018-02-09
0.14,0.14,0.14,0.14,2018-02-08
0.14,0.14,0.14,0.14,2018-02-07
0.132,0.132,0.132,0.132,2018-02-01
0.175,0.175,0.175,0.175,2018-01-22
0.169,0.169,0.169,0.169,2018-01-19
0.179,0.179,0.179,0.179,2018-01-05
0.18,0.18,0.18,0.18,2018-01-03
0.16,0.16,0.16,0.16,2017-12-29
0.13,0.14,0.13,0.14,2017-12-28
0.14,0.14,0.14,0.14,2017-12-27
0.16,0.16,0.16,0.16,2017-12-06
0.16,0.16,0.16,0.16,2017-12-04
0.16,0.16,0.16,0.16,2017-11-30
0.16,0.16,0.16,0.16,2017-11-13
0.16,0.16,0.16,0.16,2017-11-10
0.16,0.16,0.16,0.16,2017-11-09
0.18,0.18,0.18,0.18,2017-11-08
0.18,0.18,0.18,0.18,2017-10-16
0.18,0.18,0.18,0.18,2017-10-05
0.18,0.18,0.17,0.17,2017-10-04
0.17,0.17,0.17,0.17,2017-10-03
0.2,0.2,0.2,0.2,2017-10-02
0.15,0.15,0.15,0.15,2017-09-21
0.15,0.15,0.15,0.15,2017-09-06
0.15,0.15,0.15,0.15,2017-09-05
0.15,0.15,0.15,0.15,2017-08-28
0.19,0.2,0.19,0.2,2017-08-01
0.2,0.2,0.2,0.2,2017-07-31
0.19,0.19,0.19,0.19,2017-07-28
0.17,0.17,0.17,0.17,2017-07-26
0.15,0.15,0.15,0.15,2017-07-20
0.16,0.16,0.16,0.16,2017-07-19
0.16,0.16,0.16,0.16,2017-07-18
0.16,0.16,0.16,0.16,2017-07-17
0.16,0.16,0.16,0.16,2017-07-14
0.16,0.16,0.16,0.16,2017-07-13
0.16,0.16,0.16,0.16,2017-07-12
0.16,0.16,0.16,0.16,2017-07-11
0.16,0.16,0.16,0.16,2017-07-10
0.16,0.16,0.16,0.16,2017-07-07
0.16,0.16,0.16,0.16,2017-07-06
0.16,0.16,0.16,0.16,2017-07-05
0.16,0.16,0.16,0.16,2017-07-04
0.16,0.16,0.16,0.16,2017-07-03
0.16,0.16,0.16,0.16,2017-06-30
0.18,0.18,0.18,0.18,2017-06-29
0.18,0.18,0.18,0.18,2017-06-28
0.18,0.18,0.18,0.18,2017-06-27
0.18,0.18,0.18,0.18,2017-06-26
0.18,0.18,0.18,0.18,2017-06-23
0.18,0.18,0.18,0.18,2017-06-22
0.18,0.18,0.18,0.18,2017-06-21
0.18,0.18,0.18,0.18,2017-06-20
0.18,0.18,0.18,0.18,2017-06-16
0.16,0.16,0.16,0.16,2017-06-14
0.16,0.16,0.16,0.16,2017-06-13
0.16,0.16,0.16,0.16,2017-06-12
0.17,0.17,0.17,0.17,2017-06-09
0.16,0.16,0.16,0.16,2017-06-08
0.14,0.15,0.14,0.15,2017-06-07
0.13,0.14,0.13,0.14,2017-06-06
0.13,0.13,0.13,0.13,2017-06-05
0.13,0.13,0.13,0.13,2017-06-02
0.12,0.13,0.12,0.13,2017-05-30
0.11,0.11,0.11,0.11,2017-05-26
0.11,0.11,0.11,0.11,2017-05-23
0.11,0.11,0.11,0.11,2017-05-19
0.11,0.11,0.11,0.11,2017-05-18
0.11,0.11,0.11,0.11,2017-05-17
0.11,0.11,0.11,0.11,2017-05-16
0.11,0.11,0.11,0.11,2017-05-15
0.11,0.11,0.11,0.11,2017-05-12
0.11,0.11,0.11,0.11,2017-05-11
0.11,0.11,0.11,0.11,2017-05-10
0.11,0.11,0.11,0.11,2017-05-09
0.11,0.11,0.11,0.11,2017-05-08
0.11,0.11,0.11,0.11,2017-05-05
0.11,0.11,0.11,0.11,2017-05-02
0.13,0.13,0.13,0.13,2017-05-01
0.13,0.13,0.13,0.13,2017-04-28
0.13,0.13,0.13,0.13,2017-04-27
0.13,0.13,0.13,0.13,2017-04-26
0.13,0.13,0.13,0.13,2017-04-25
0.13,0.13,0.13,0.13,2017-04-24
0.13,0.13,0.13,0.13,2017-04-21
0.13,0.13,0.13,0.13,2017-04-20
0.13,0.13,0.13,0.13,2017-04-19
0.13,0.13,0.13,0.13,2017-04-18
0.13,0.13,0.13,0.13,2017-04-17
0.13,0.13,0.13,0.13,2017-04-14
0.13,0.13,0.13,0.13,2017-04-13
0.13,0.13,0.13,0.13,2017-04-12
0.13,0.13,0.13,0.13,2017-04-11
0.13,0.13,0.13,0.13,2017-04-10
0.13,0.13,0.13,0.13,2017-04-07
0.13,0.13,0.13,0.13,2017-04-04
0.13,0.13,0.13,0.13,2017-03-30
0.12,0.12,0.12,0.12,2017-03-28
0.11,0.11,0.11,0.11,2017-03-27
0.11,0.11,0.11,0.11,2017-03-24
0.11,0.11,0.11,0.11,2017-03-23
0.11,0.11,0.11,0.11,2017-03-17
0.11,0.11,0.11,0.11,2017-03-13
0.11,0.11,0.11,0.11,2017-03-10
0.11,0.11,0.11,0.11,2017-03-09
0.11,0.11,0.11,0.11,2017-03-08
0.11,0.11,0.11,0.11,2017-03-07
0.11,0.11,0.11,0.11,2017-03-06
0.11,0.11,0.11,0.11,2017-03-03
0.11,0.11,0.11,0.11,2017-03-02
0.11,0.11,0.11,0.11,2017-03-01
0.11,0.11,0.11,0.11,2017-02-28
0.11,0.11,0.11,0.11,2017-02-27
0.11,0.11,0.11,0.11,2017-02-24
0.11,0.11,0.11,0.11,2017-02-23
0.11,0.11,0.11,0.11,2017-02-22
0.11,0.11,0.11,0.11,2017-02-21
0.11,0.11,0.11,0.11,2017-02-20
0.11,0.11,0.11,0.11,2017-02-17
0.11,0.11,0.11,0.11,2017-02-16
0.11,0.11,0.11,0.11,2017-02-15
0.11,0.11,0.11,0.11,2017-02-14
0.11,0.11,0.11,0.11,2017-02-13
0.11,0.11,0.11,0.11,2017-02-10
0.11,0.11,0.11,0.11,2017-02-09
0.11,0.11,0.11,0.11,2017-02-08
0.11,0.11,0.11,0.11,2017-02-07
0.11,0.11,0.11,0.11,2017-02-06
0.11,0.11,0.11,0.11,2017-02-03
0.1,0.11,0.1,0.11,2017-02-02
0.11,0.11,0.11,0.11,2017-02-01
0.11,0.11,0.11,0.11,2017-01-31
0.11,0.11,0.11,0.11,2017-01-30
0.11,0.11,0.11,0.11,2017-01-27
0.11,0.11,0.11,0.11,2017-01-26
0.11,0.11,0.11,0.11,2017-01-25
0.11,0.11,0.11,0.11,2017-01-24
0.11,0.11,0.11,0.11,2017-01-23
0.11,0.11,0.11,0.11,2017-01-20
