open,high,low,close,date
3.122,3.122,3.047,3.08,2018-11-02
3.094,3.153,3.094,3.116,2018-11-01
3.11,3.13,3.063,3.104,2018-10-31
3.094,3.128,3.08,3.11,2018-10-30
3.119,3.119,3.07,3.088,2018-10-29
3.065,3.069,3.043,3.051,2018-10-26
3.079,3.097,3.062,3.072,2018-10-25
3.1,3.128,3.07,3.081,2018-10-24
3.143,3.148,3.095,3.101,2018-10-23
3.187,3.192,3.141,3.145,2018-10-22
3.154,3.188,3.154,3.169,2018-10-19
3.139,3.174,3.127,3.138,2018-10-18
3.131,3.291,3.128,3.14,2018-10-17
3.071,3.128,3.059,3.119,2018-10-16
3.063,3.095,3.049,3.066,2018-10-15
3.097,3.109,3.053,3.053,2018-10-12
3.12,3.134,3.08,3.08,2018-10-11
3.151,3.167,3.127,3.14,2018-10-10
3.2,3.2,3.138,3.15,2018-10-09
3.201,3.201,3.166,3.187,2018-10-08
3.176,3.205,3.168,3.185,2018-10-05
3.2,3.202,3.168,3.185,2018-10-04
3.15,3.22,3.144,3.201,2018-10-03
3.11,3.15,3.091,3.15,2018-10-02
3.17,3.17,3.104,3.12,2018-10-01
3.229,3.255,3.178,3.178,2018-09-28
3.242,3.293,3.242,3.287,2018-09-27
3.261,3.275,3.247,3.255,2018-09-26
3.242,3.275,3.242,3.26,2018-09-25
3.218,3.265,3.218,3.265,2018-09-24
3.237,3.255,3.222,3.224,2018-09-21
3.238,3.259,3.221,3.223,2018-09-20
3.264,3.269,3.238,3.24,2018-09-19
3.28,3.299,3.248,3.25,2018-09-18
3.235,3.278,3.235,3.264,2018-09-17
3.25,3.258,3.231,3.245,2018-09-14
3.266,3.28,3.243,3.243,2018-09-13
3.279,3.281,3.217,3.265,2018-09-12
3.278,3.298,3.265,3.275,2018-09-11
3.269,3.305,3.262,3.289,2018-09-10
3.29,3.297,3.277,3.29,2018-09-07
3.295,3.306,3.282,3.294,2018-09-06
3.317,3.334,3.297,3.305,2018-09-05
3.364,3.364,3.323,3.332,2018-09-04
3.364,3.368,3.336,3.344,2018-09-03
3.365,3.373,3.357,3.365,2018-08-31
3.375,3.385,3.361,3.37,2018-08-30
3.365,3.391,3.363,3.371,2018-08-29
3.36,3.395,3.36,3.36,2018-08-28
3.38,3.383,3.365,3.367,2018-08-27
3.387,3.397,3.37,3.37,2018-08-24
3.382,3.396,3.371,3.396,2018-08-23
3.382,3.405,3.371,3.393,2018-08-22
3.437,3.437,3.38,3.386,2018-08-21
3.407,3.419,3.382,3.382,2018-08-20
3.4,3.418,3.37,3.394,2018-08-17
3.4,3.423,3.392,3.4,2018-08-16
3.432,3.432,3.375,3.4,2018-08-15
3.44,3.459,3.41,3.41,2018-08-14
3.442,3.451,3.423,3.424,2018-08-13
3.45,3.466,3.444,3.462,2018-08-10
3.454,3.468,3.44,3.468,2018-08-09
3.485,3.485,3.453,3.462,2018-08-08
3.499,3.517,3.487,3.494,2018-08-07
3.527,3.534,3.492,3.515,2018-08-06
3.531,3.544,3.511,3.53,2018-08-03
3.529,3.549,3.515,3.541,2018-08-02
3.487,3.533,3.487,3.533,2018-08-01
3.5,3.536,3.489,3.489,2018-07-31
3.458,3.538,3.458,3.533,2018-07-30
3.445,3.494,3.442,3.49,2018-07-27
3.432,3.46,3.428,3.458,2018-07-26
3.443,3.448,3.425,3.445,2018-07-25
3.47,3.47,3.422,3.428,2018-07-24
3.449,3.471,3.43,3.459,2018-07-23
3.46,3.466,3.407,3.433,2018-07-20
3.45,3.461,3.411,3.45,2018-07-19
3.45,3.474,3.441,3.452,2018-07-18
3.443,3.481,3.443,3.47,2018-07-17
3.444,3.485,3.441,3.463,2018-07-16
3.491,3.51,3.46,3.46,2018-07-13
3.5,3.525,3.483,3.501,2018-07-12
3.492,3.527,3.475,3.505,2018-07-11
3.481,3.537,3.479,3.49,2018-07-10
3.43,3.492,3.43,3.492,2018-07-09
3.45,3.463,3.426,3.43,2018-07-06
3.424,3.47,3.424,3.455,2018-07-05
3.437,3.447,3.427,3.43,2018-07-04
