open,high,low,close,date
7.8,7.905,7.765,7.85,2018-11-02
7.97,7.97,7.895,7.95,2018-11-01
7.97,7.97,7.87,7.94,2018-10-31
7.865,7.89,7.78,7.83,2018-10-30
7.76,8.015,7.76,7.87,2018-10-29
7.91,7.98,7.88,7.98,2018-10-26
8.0,8.015,7.935,8.0,2018-10-25
7.95,7.995,7.92,7.99,2018-10-24
8.06,8.06,7.88,7.94,2018-10-23
8.135,8.2,8.065,8.1,2018-10-22
8.125,8.16,8.12,8.155,2018-10-19
8.165,8.165,8.105,8.13,2018-10-18
8.22,8.295,8.115,8.135,2018-10-17
8.13,8.22,8.025,8.15,2018-10-16
8.135,8.15,8.025,8.12,2018-10-15
8.08,8.195,8.08,8.13,2018-10-12
8.25,8.315,8.055,8.09,2018-10-11
8.445,8.525,8.265,8.3,2018-10-10
8.485,8.535,8.43,8.505,2018-10-09
8.4,8.7,8.35,8.52,2018-10-08
8.59,8.59,8.49,8.525,2018-10-05
8.705,8.705,8.57,8.59,2018-10-04
8.6,8.8,8.6,8.77,2018-10-03
8.6,8.655,8.505,8.62,2018-10-02
8.505,8.74,8.505,8.6,2018-10-01
8.82,8.83,8.695,8.74,2018-09-28
8.79,8.81,8.725,8.8,2018-09-27
8.7,8.79,8.7,8.78,2018-09-26
8.625,8.775,8.625,8.735,2018-09-25
8.655,8.705,8.58,8.705,2018-09-24
8.7,8.72,8.63,8.72,2018-09-21
8.52,8.645,8.48,8.575,2018-09-20
8.49,8.555,8.49,8.49,2018-09-19
8.395,8.505,8.395,8.46,2018-09-18
8.34,8.46,8.34,8.43,2018-09-17
8.575,8.575,8.285,8.335,2018-09-14
8.425,8.535,8.385,8.51,2018-09-13
8.505,8.54,8.42,8.505,2018-09-12
8.46,8.555,8.445,8.555,2018-09-11
8.48,8.48,8.41,8.47,2018-09-10
8.38,8.465,8.355,8.455,2018-09-07
8.25,8.39,8.25,8.385,2018-09-06
8.385,8.415,8.34,8.36,2018-09-05
8.53,8.53,8.385,8.425,2018-09-04
8.53,8.585,8.42,8.5,2018-09-03
8.56,8.65,8.44,8.545,2018-08-31
8.52,8.605,8.52,8.56,2018-08-30
8.605,8.645,8.58,8.615,2018-08-29
8.54,8.665,8.54,8.605,2018-08-28
8.68,8.695,8.605,8.61,2018-08-27
8.58,8.7,8.58,8.69,2018-08-24
8.69,8.77,8.595,8.655,2018-08-23
8.7,8.795,8.67,8.725,2018-08-22
8.76,8.79,8.59,8.7,2018-08-21
8.8,8.86,8.78,8.8,2018-08-20
8.8,8.82,8.71,8.78,2018-08-17
8.7,8.82,8.7,8.8,2018-08-16
8.755,8.81,8.67,8.725,2018-08-15
8.785,8.82,8.76,8.8,2018-08-14
8.785,8.83,8.69,8.78,2018-08-13
8.72,8.79,8.72,8.765,2018-08-10
8.655,8.8,8.655,8.8,2018-08-09
8.75,8.805,8.7,8.77,2018-08-08
8.775,8.82,8.75,8.77,2018-08-07
8.75,8.815,8.735,8.81,2018-08-06
8.68,8.8,8.68,8.8,2018-08-03
8.69,8.82,8.67,8.71,2018-08-02
8.83,8.87,8.76,8.78,2018-08-01
8.63,8.835,8.63,8.83,2018-07-31
8.675,8.85,8.635,8.69,2018-07-30
8.455,8.855,8.1,8.78,2018-07-27
8.85,8.86,8.74,8.8,2018-07-26
8.84,8.93,8.75,8.8,2018-07-25
8.86,8.915,8.81,8.875,2018-07-24
8.935,8.935,8.83,8.88,2018-07-23
8.815,8.94,8.815,8.9,2018-07-20
8.865,8.985,8.855,8.885,2018-07-19
8.86,9.025,8.86,8.975,2018-07-18
8.95,9.035,8.95,9.0,2018-07-17
8.855,8.995,8.855,8.97,2018-07-16
9.0,9.075,8.895,8.93,2018-07-13
8.99,9.08,8.97,9.0,2018-07-12
8.92,9.11,8.855,9.005,2018-07-11
9.0,9.16,9.0,9.085,2018-07-10
9.1,9.125,8.995,9.055,2018-07-09
9.15,9.165,9.08,9.1,2018-07-06
9.05,9.17,9.005,9.17,2018-07-05
8.92,9.075,8.92,8.99,2018-07-04
8.99,9.0,8.88,8.99,2018-07-03
8.81,9.0,8.81,8.915,2018-07-02
8.43,8.95,8.43,8.93,2018-06-29
8.85,8.895,8.78,8.845,2018-06-28
8.8,8.88,8.77,8.88,2018-06-27
8.99,8.99,8.56,8.89,2018-06-26
8.32,8.52,8.32,8.365,2018-06-25
8.325,8.325,8.325,8.325,2018-06-23
8.27,8.36,8.27,8.325,2018-06-22
8.28,8.35,8.28,8.285,2018-06-21
8.315,8.385,8.3,8.32,2018-06-20
8.3,8.42,8.3,8.345,2018-06-19
8.4,8.445,8.34,8.35,2018-06-18
8.35,8.5,8.325,8.425,2018-06-15
8.135,8.375,8.11,8.355,2018-06-14
8.17,8.195,8.095,8.17,2018-06-13
8.22,8.27,8.08,8.09,2018-06-12
8.15,8.345,8.145,8.245,2018-06-11
8.15,8.165,8.09,8.15,2018-06-08
8.195,8.255,8.16,8.2,2018-06-07
8.175,8.275,8.165,8.22,2018-06-06
8.15,8.19,8.135,8.18,2018-06-05
7.97,8.175,7.97,8.17,2018-06-04
8.1,8.1,7.935,7.95,2018-06-01
8.0,8.045,7.935,8.045,2018-05-31
7.955,8.01,7.94,7.99,2018-05-30
8.025,8.035,7.97,7.97,2018-05-29
8.045,8.09,7.97,8.02,2018-05-28
8.08,8.1,8.04,8.09,2018-05-25
8.13,8.165,8.06,8.06,2018-05-24
8.21,8.245,8.105,8.145,2018-05-23
8.245,8.29,8.23,8.245,2018-05-22
8.18,8.29,8.175,8.245,2018-05-21
8.18,8.195,8.115,8.18,2018-05-18
8.05,8.22,8.03,8.22,2018-05-17
8.07,8.095,8.03,8.03,2018-05-16
8.05,8.095,8.035,8.075,2018-05-15
8.01,8.08,7.99,8.055,2018-05-14
7.825,7.91,7.815,7.84,2018-05-11
7.91,7.91,7.8,7.8,2018-05-10
7.985,7.985,7.925,7.935,2018-05-09
8.03,8.04,7.97,8.035,2018-05-08
8.02,8.06,8.015,8.04,2018-05-07
7.965,8.04,7.965,8.0,2018-05-04
8.0,8.03,7.96,8.005,2018-05-03
7.985,8.02,7.94,8.005,2018-05-02
7.705,8.065,7.705,7.96,2018-04-30
7.975,8.095,7.975,8.06,2018-04-27
7.95,8.02,7.945,8.02,2018-04-26
7.95,7.97,7.91,7.95,2018-04-25
7.96,7.995,7.945,7.97,2018-04-24
7.875,7.935,7.85,7.93,2018-04-23
7.835,7.92,7.78,7.905,2018-04-20
7.92,7.945,7.765,7.885,2018-04-19
8.09,8.09,7.865,7.92,2018-04-18
7.99,8.03,7.865,8.005,2018-04-17
8.0,8.055,7.95,8.01,2018-04-16
8.0,8.1,7.965,8.1,2018-04-13
7.925,8.04,7.925,8.02,2018-04-12
8.025,8.025,7.895,8.005,2018-04-11
7.97,8.035,7.95,8.025,2018-04-10
8.01,8.2,7.91,7.97,2018-04-09
8.055,8.06,7.945,8.0,2018-04-06
8.01,8.08,8.01,8.04,2018-04-05
8.0,8.025,7.935,8.005,2018-04-04
7.96,8.03,7.89,8.0,2018-04-03
7.855,7.99,7.845,7.96,2018-03-29
7.68,7.99,7.635,7.905,2018-03-28
7.65,7.7,7.65,7.68,2018-03-27
7.695,7.695,7.575,7.62,2018-03-26
7.65,7.7,7.57,7.63,2018-03-23
7.65,7.68,7.57,7.68,2018-03-22
7.68,7.705,7.64,7.66,2018-03-21
7.47,7.705,7.47,7.655,2018-03-20
7.655,7.655,7.465,7.47,2018-03-19
7.565,7.74,7.555,7.62,2018-03-16
7.54,7.59,7.535,7.565,2018-03-15
7.48,7.6,7.44,7.545,2018-03-14
7.435,7.455,7.4,7.445,2018-03-13
7.45,7.45,7.4,7.4,2018-03-12
7.38,7.455,7.38,7.405,2018-03-09
7.15,7.41,7.15,7.37,2018-03-08
7.175,7.215,7.15,7.185,2018-03-07
7.165,7.255,7.165,7.185,2018-03-06
7.115,7.2,7.075,7.165,2018-03-05
7.2,7.2,7.05,7.085,2018-03-02
7.15,7.19,7.11,7.15,2018-03-01
7.18,7.205,7.12,7.175,2018-02-28
