open,high,low,close,date
0.69,0.69,0.69,0.69,2018-11-02
0.64,0.64,0.64,0.64,2018-10-30
0.64,0.64,0.64,0.64,2018-10-29
0.68,0.68,0.68,0.68,2018-10-26
0.69,0.69,0.69,0.69,2018-10-25
0.64,0.64,0.64,0.64,2018-10-23
0.64,0.64,0.64,0.64,2018-10-19
0.64,0.64,0.64,0.64,2018-10-17
0.64,0.64,0.64,0.64,2018-10-16
0.64,0.64,0.64,0.64,2018-10-15
0.64,0.69,0.64,0.69,2018-10-10
0.64,0.64,0.64,0.64,2018-10-08
0.64,0.64,0.64,0.64,2018-10-04
0.64,0.64,0.64,0.64,2018-10-03
0.64,0.64,0.64,0.64,2018-10-02
0.645,0.645,0.645,0.645,2018-10-01
0.64,0.64,0.64,0.64,2018-09-27
0.69,0.69,0.64,0.64,2018-09-24
0.64,0.685,0.64,0.685,2018-09-21
0.68,0.68,0.68,0.68,2018-09-19
0.66,0.66,0.66,0.66,2018-09-18
0.63,0.63,0.63,0.63,2018-09-14
0.63,0.63,0.63,0.63,2018-09-12
0.63,0.63,0.63,0.63,2018-09-11
0.65,0.65,0.65,0.65,2018-09-10
0.645,0.645,0.645,0.645,2018-09-07
0.72,0.72,0.72,0.72,2018-09-05
0.69,0.69,0.69,0.69,2018-09-03
0.55,0.57,0.55,0.57,2018-08-29
0.66,0.66,0.66,0.66,2018-08-24
0.66,0.66,0.66,0.66,2018-08-23
0.7,0.7,0.7,0.7,2018-08-22
0.68,0.7,0.68,0.7,2018-08-21
0.68,0.68,0.68,0.68,2018-08-16
0.68,0.68,0.68,0.68,2018-08-15
0.67,0.67,0.67,0.67,2018-08-14
0.66,0.66,0.66,0.66,2018-08-13
0.66,0.66,0.66,0.66,2018-08-10
0.66,0.66,0.66,0.66,2018-08-09
0.66,0.66,0.66,0.66,2018-08-07
0.66,0.66,0.66,0.66,2018-08-06
0.635,0.635,0.635,0.635,2018-08-03
0.635,0.635,0.635,0.635,2018-08-02
0.635,0.645,0.635,0.645,2018-07-31
0.63,0.63,0.63,0.63,2018-07-27
0.64,0.64,0.64,0.64,2018-07-24
0.615,0.615,0.615,0.615,2018-07-23
0.63,0.63,0.63,0.63,2018-07-19
0.635,0.635,0.635,0.635,2018-07-17
0.68,0.68,0.68,0.68,2018-07-16
0.625,0.625,0.625,0.625,2018-07-13
0.67,0.67,0.67,0.67,2018-07-12
0.65,0.65,0.65,0.65,2018-07-11
0.67,0.67,0.67,0.67,2018-07-09
0.65,0.65,0.65,0.65,2018-07-06
0.62,0.62,0.62,0.62,2018-07-05
0.67,0.67,0.61,0.61,2018-07-04
0.63,0.67,0.63,0.67,2018-07-03
0.68,0.68,0.68,0.68,2018-06-29
0.61,0.61,0.61,0.61,2018-06-28
0.68,0.68,0.68,0.68,2018-06-27
0.645,0.645,0.645,0.645,2018-06-22
0.61,0.61,0.61,0.61,2018-06-21
0.62,0.62,0.62,0.62,2018-06-20
0.62,0.62,0.62,0.62,2018-06-19
0.61,0.62,0.61,0.62,2018-06-18
0.615,0.615,0.615,0.615,2018-06-15
0.61,0.65,0.61,0.65,2018-06-14
0.615,0.615,0.615,0.615,2018-06-13
0.61,0.61,0.61,0.61,2018-06-12
0.65,0.65,0.61,0.61,2018-06-08
0.605,0.605,0.605,0.605,2018-06-07
0.66,0.66,0.66,0.66,2018-06-06
0.61,0.61,0.61,0.61,2018-06-05
0.66,0.66,0.605,0.605,2018-06-04
0.655,0.655,0.655,0.655,2018-06-01
0.605,0.605,0.605,0.605,2018-05-30
0.605,0.66,0.605,0.66,2018-05-28
0.605,0.605,0.605,0.605,2018-05-25
0.66,0.66,0.66,0.66,2018-05-24
0.66,0.66,0.66,0.66,2018-05-22
0.6,0.66,0.6,0.66,2018-05-21
0.63,0.63,0.63,0.63,2018-05-18
0.63,0.63,0.63,0.63,2018-05-17
0.63,0.63,0.63,0.63,2018-05-15
0.65,0.65,0.65,0.65,2018-05-07
0.705,0.705,0.7,0.7,2018-05-04
0.69,0.7,0.69,0.7,2018-05-03
0.69,0.69,0.69,0.69,2018-05-02
0.69,0.69,0.69,0.69,2018-04-30
0.65,0.65,0.65,0.65,2018-04-26
3.55,3.58,3.49,3.575,2018-04-25
3.63,3.66,3.555,3.565,2018-04-24
3.55,3.63,3.515,3.62,2018-04-23
0.6,0.65,0.6,0.65,2018-04-20
0.6,0.64,0.6,0.64,2018-04-19
0.6,0.6,0.6,0.6,2018-04-18
0.65,0.65,0.65,0.65,2018-04-16
0.6,0.61,0.6,0.61,2018-04-12
0.715,0.715,0.715,0.715,2018-04-09
