open,high,low,close,date
15.035,15.065,14.775,14.83,2018-11-02
15.2,15.3,14.82,14.985,2018-11-01
15.055,15.555,15.02,15.395,2018-10-31
14.995,15.11,14.745,14.98,2018-10-30
15.14,15.57,14.805,14.97,2018-10-29
15.0,15.085,14.5,15.0,2018-10-26
14.99,15.3,14.9,15.195,2018-10-25
15.05,15.49,14.87,15.16,2018-10-24
15.655,15.655,15.07,15.07,2018-10-23
15.7,15.92,15.645,15.675,2018-10-22
16.175,16.18,15.64,15.64,2018-10-19
15.7,15.87,15.57,15.695,2018-10-18
15.63,15.715,15.375,15.63,2018-10-17
15.58,15.63,15.225,15.565,2018-10-16
15.85,15.85,15.4,15.57,2018-10-15
15.99,15.99,15.64,15.65,2018-10-12
16.385,16.42,15.745,15.85,2018-10-11
16.805,16.895,16.5,16.505,2018-10-10
16.65,16.87,16.425,16.51,2018-10-09
16.67,16.67,16.315,16.325,2018-10-08
16.86,16.925,16.695,16.695,2018-10-05
16.985,17.265,16.86,16.95,2018-10-04
16.96,17.025,16.88,16.955,2018-10-03
16.905,17.04,16.7,16.945,2018-10-02
17.1,17.195,16.725,16.81,2018-10-01
16.88,17.19,16.815,17.09,2018-09-28
17.0,17.125,16.87,16.94,2018-09-27
17.2,17.2,16.85,16.95,2018-09-26
16.715,17.17,16.71,17.17,2018-09-25
16.5,16.83,16.495,16.78,2018-09-24
16.36,16.525,16.32,16.425,2018-09-21
16.28,16.43,16.23,16.35,2018-09-20
16.23,16.4,16.17,16.255,2018-09-19
16.25,16.49,16.21,16.33,2018-09-18
16.465,16.655,16.385,16.45,2018-09-17
16.625,16.69,16.51,16.53,2018-09-14
16.77,16.775,16.51,16.65,2018-09-13
16.495,16.78,16.47,16.78,2018-09-12
16.3,16.445,16.215,16.4,2018-09-11
16.26,16.495,16.26,16.44,2018-09-10
16.4,16.51,16.115,16.325,2018-09-07
16.775,17.115,16.405,16.405,2018-09-06
17.44,17.465,16.835,16.835,2018-09-05
17.435,17.665,17.435,17.445,2018-09-04
17.435,17.7,17.435,17.69,2018-09-03
17.73,17.79,17.37,17.47,2018-08-31
17.8,17.885,17.58,17.81,2018-08-30
17.85,17.89,17.755,17.82,2018-08-29
17.865,17.93,17.715,17.84,2018-08-28
17.685,17.93,17.6,17.87,2018-08-27
17.495,17.7,17.48,17.64,2018-08-24
17.655,17.685,17.405,17.545,2018-08-23
17.42,17.72,17.42,17.695,2018-08-22
17.36,17.655,17.345,17.455,2018-08-21
17.45,17.54,17.35,17.35,2018-08-20
17.37,17.405,17.235,17.375,2018-08-17
17.25,17.535,17.25,17.345,2018-08-16
17.69,17.74,17.14,17.25,2018-08-15
17.675,17.695,17.4,17.685,2018-08-14
17.74,17.75,17.57,17.66,2018-08-13
17.68,17.765,17.51,17.73,2018-08-10
17.895,17.895,17.66,17.73,2018-08-09
17.87,17.99,17.81,17.895,2018-08-08
17.58,17.995,17.57,17.915,2018-08-07
17.45,17.66,17.445,17.62,2018-08-06
17.8,17.8,17.42,17.42,2018-08-03
17.7,17.77,17.55,17.735,2018-08-02
17.52,17.755,17.365,17.735,2018-08-01
17.31,17.635,17.305,17.59,2018-07-31
17.75,17.75,17.395,17.395,2018-07-30
17.4,17.66,17.35,17.505,2018-07-27
17.15,17.43,17.025,17.43,2018-07-26
17.095,17.145,16.98,17.14,2018-07-25
16.96,17.075,16.765,17.05,2018-07-24
16.9,17.09,16.81,16.965,2018-07-23
16.9,17.0,16.79,16.96,2018-07-20
16.93,17.015,16.805,16.935,2018-07-19
16.935,16.955,16.69,16.825,2018-07-18
16.935,16.935,16.615,16.86,2018-07-17
16.815,17.315,16.815,16.88,2018-07-16
16.985,16.985,16.705,16.88,2018-07-13
16.97,17.14,16.855,16.855,2018-07-12
17.145,17.355,17.01,17.01,2018-07-11
17.225,17.525,17.155,17.265,2018-07-10
16.96,17.22,16.95,17.19,2018-07-09
16.775,16.915,16.595,16.915,2018-07-06
16.63,16.98,16.5,16.795,2018-07-05
16.485,16.725,16.365,16.65,2018-07-04
16.38,16.64,16.275,16.455,2018-07-03
16.27,16.38,16.115,16.21,2018-07-02
16.21,16.375,16.115,16.335,2018-06-29
16.215,16.355,16.12,16.205,2018-06-28
16.335,16.335,16.04,16.25,2018-06-27
16.285,16.285,16.02,16.03,2018-06-26
16.16,16.19,15.91,15.95,2018-06-25
16.09,16.09,16.09,16.09,2018-06-23
15.68,16.09,15.645,16.09,2018-06-22
15.51,15.715,15.51,15.61,2018-06-21
15.775,15.9,15.55,15.595,2018-06-20
15.9,16.0,15.66,15.765,2018-06-19
15.75,16.06,15.665,16.045,2018-06-18
16.255,16.255,15.785,15.785,2018-06-15
16.08,16.335,15.965,16.18,2018-06-14
16.245,16.37,16.13,16.17,2018-06-13
16.355,16.485,16.255,16.255,2018-06-12
16.18,16.365,15.985,16.25,2018-06-11
16.32,16.39,16.045,16.085,2018-06-08
16.25,16.475,16.18,16.405,2018-06-07
16.065,16.29,16.065,16.175,2018-06-06
16.025,16.255,15.91,15.94,2018-06-05
16.05,16.155,16.0,16.05,2018-06-04
15.91,16.325,15.905,15.955,2018-06-01
15.785,15.965,15.695,15.895,2018-05-31
15.49,15.825,15.455,15.78,2018-05-30
15.64,15.64,15.0,15.49,2018-05-29
15.965,15.965,15.36,15.6,2018-05-28
16.6,16.81,16.155,16.155,2018-05-25
