open,high,low,close,date
0.196,0.196,0.195,0.195,2018-11-02
0.196,0.196,0.196,0.196,2018-11-01
0.18,0.195,0.18,0.195,2018-10-29
0.183,0.183,0.178,0.178,2018-10-26
0.175,0.183,0.175,0.183,2018-10-25
0.191,0.191,0.191,0.191,2018-10-24
0.187,0.187,0.187,0.187,2018-10-23
0.185,0.193,0.18,0.182,2018-10-22
0.2,0.2,0.186,0.198,2018-10-19
0.186,0.199,0.186,0.187,2018-10-18
0.185,0.194,0.185,0.194,2018-10-17
0.19,0.198,0.19,0.198,2018-10-16
0.199,0.199,0.199,0.199,2018-10-15
0.196,0.196,0.185,0.186,2018-10-12
0.198,0.198,0.196,0.196,2018-10-11
0.198,0.198,0.198,0.198,2018-10-10
0.199,0.199,0.198,0.198,2018-10-09
0.199,0.199,0.198,0.198,2018-10-08
0.198,0.2,0.198,0.2,2018-10-03
0.202,0.21,0.2,0.2,2018-10-02
0.204,0.214,0.202,0.202,2018-10-01
0.204,0.204,0.202,0.202,2018-09-28
0.202,0.214,0.202,0.214,2018-09-27
0.202,0.204,0.202,0.204,2018-09-26
0.204,0.204,0.204,0.204,2018-09-25
0.204,0.204,0.204,0.204,2018-09-24
0.214,0.214,0.206,0.206,2018-09-21
0.214,0.214,0.204,0.204,2018-09-20
0.202,0.204,0.202,0.204,2018-09-19
0.214,0.214,0.212,0.214,2018-09-18
0.198,0.198,0.198,0.198,2018-09-17
0.212,0.212,0.212,0.212,2018-09-14
0.212,0.212,0.212,0.212,2018-09-13
0.204,0.204,0.197,0.197,2018-09-12
0.204,0.204,0.204,0.204,2018-09-10
0.206,0.214,0.204,0.214,2018-09-07
0.21,0.214,0.206,0.206,2018-09-06
0.206,0.206,0.206,0.206,2018-09-05
0.206,0.214,0.206,0.214,2018-09-04
0.208,0.214,0.204,0.214,2018-09-03
0.208,0.208,0.208,0.208,2018-08-30
0.206,0.206,0.206,0.206,2018-08-29
0.206,0.216,0.206,0.216,2018-08-28
0.21,0.218,0.204,0.218,2018-08-24
0.208,0.21,0.204,0.21,2018-08-23
0.208,0.208,0.208,0.208,2018-08-22
0.208,0.21,0.202,0.21,2018-08-21
0.208,0.208,0.208,0.208,2018-08-20
0.204,0.206,0.202,0.206,2018-08-17
0.202,0.202,0.202,0.202,2018-08-16
0.198,0.2,0.198,0.2,2018-08-15
0.196,0.202,0.193,0.202,2018-08-14
0.196,0.196,0.196,0.196,2018-08-13
0.202,0.202,0.195,0.195,2018-08-09
0.195,0.195,0.195,0.195,2018-08-08
0.193,0.204,0.193,0.204,2018-08-06
0.202,0.202,0.2,0.2,2018-08-03
0.19,0.208,0.19,0.202,2018-08-02
0.199,0.208,0.199,0.208,2018-08-01
0.2,0.212,0.184,0.198,2018-07-31
0.2,0.2,0.2,0.2,2018-07-30
0.202,0.202,0.2,0.202,2018-07-27
0.202,0.214,0.202,0.212,2018-07-26
0.21,0.212,0.21,0.212,2018-07-25
0.212,0.212,0.212,0.212,2018-07-24
0.21,0.21,0.21,0.21,2018-07-23
0.204,0.212,0.2,0.212,2018-07-20
0.206,0.206,0.206,0.206,2018-07-19
0.206,0.206,0.206,0.206,2018-07-18
0.206,0.206,0.206,0.206,2018-07-17
0.208,0.21,0.208,0.21,2018-07-16
0.208,0.216,0.208,0.216,2018-07-13
0.218,0.218,0.218,0.218,2018-07-12
0.214,0.218,0.214,0.218,2018-07-11
0.206,0.206,0.206,0.206,2018-07-10
0.216,0.216,0.216,0.216,2018-07-09
0.202,0.204,0.202,0.204,2018-07-06
0.218,0.218,0.199,0.199,2018-07-04
0.204,0.21,0.19,0.206,2018-07-02
