open,high,low,close,date
8.48,8.48,8.48,8.48,2018-11-02
8.48,8.52,8.48,8.48,2018-11-01
8.5,8.5,8.48,8.5,2018-10-31
8.52,8.52,8.48,8.48,2018-10-30
8.58,8.58,8.52,8.52,2018-10-29
8.54,8.58,8.54,8.56,2018-10-26
8.52,8.62,8.52,8.58,2018-10-25
8.54,8.58,8.52,8.56,2018-10-24
8.66,8.66,8.54,8.54,2018-10-23
8.74,8.74,8.66,8.66,2018-10-22
8.78,8.8,8.76,8.78,2018-10-19
8.8,8.8,8.74,8.74,2018-10-18
8.82,8.84,8.8,8.8,2018-10-17
8.9,8.9,8.8,8.8,2018-10-16
9.24,9.26,8.9,8.92,2018-10-15
9.0,9.0,8.94,9.0,2018-10-12
9.02,9.1,9.02,9.02,2018-10-11
9.06,9.08,9.04,9.04,2018-10-10
9.1,9.2,9.08,9.1,2018-10-09
9.14,9.18,9.06,9.06,2018-10-08
9.12,9.12,9.08,9.08,2018-10-05
9.1,9.16,9.1,9.1,2018-10-04
9.1,9.14,9.1,9.1,2018-10-03
9.3,9.3,9.1,9.1,2018-10-02
9.36,9.4,9.22,9.36,2018-10-01
9.36,9.56,9.3,9.4,2018-09-28
9.34,9.5,9.34,9.5,2018-09-27
9.48,9.5,9.48,9.5,2018-09-26
9.38,9.46,9.32,9.38,2018-09-25
9.4,9.4,9.26,9.32,2018-09-24
9.5,9.54,9.2,9.22,2018-09-21
9.52,9.6,9.5,9.6,2018-09-20
9.7,9.7,9.46,9.56,2018-09-19
9.6,9.66,9.56,9.56,2018-09-18
9.56,9.6,9.56,9.58,2018-09-17
9.88,9.88,9.36,9.4,2018-09-14
9.28,9.38,9.28,9.38,2018-09-13
9.4,9.56,9.38,9.38,2018-09-12
9.32,9.32,9.3,9.3,2018-09-11
9.32,9.4,9.32,9.34,2018-09-10
9.32,9.36,9.32,9.32,2018-09-07
9.1,9.32,9.1,9.32,2018-09-06
9.2,9.34,9.16,9.16,2018-09-05
9.5,9.5,9.2,9.22,2018-09-04
9.94,9.94,9.5,9.5,2018-09-03
9.7,9.7,9.6,9.6,2018-08-31
9.68,9.7,9.68,9.68,2018-08-30
9.68,9.76,9.68,9.68,2018-08-29
9.88,9.88,9.64,9.68,2018-08-28
9.68,9.72,9.68,9.68,2018-08-27
9.8,9.82,9.8,9.8,2018-08-24
9.82,9.88,9.82,9.84,2018-08-23
9.88,9.88,9.84,9.88,2018-08-22
9.98,9.98,9.98,9.98,2018-08-21
9.82,9.94,9.82,9.84,2018-08-20
9.8,9.8,9.8,9.8,2018-08-17
9.56,9.7,9.56,9.7,2018-08-16
9.58,9.74,9.58,9.6,2018-08-15
9.52,9.6,9.52,9.58,2018-08-14
9.7,9.7,9.62,9.64,2018-08-13
9.64,9.72,9.64,9.72,2018-08-10
9.6,9.64,9.6,9.64,2018-08-09
9.58,9.62,9.58,9.62,2018-08-08
9.52,9.58,9.52,9.52,2018-08-07
9.7,9.74,9.46,9.54,2018-08-06
9.74,9.9,9.7,9.78,2018-08-03
9.9,9.9,9.8,9.8,2018-08-02
10.2,10.2,9.8,9.84,2018-08-01
