open,high,low,close,date
0.1902,0.1902,0.184,0.19,2018-11-02
0.192,0.1956,0.1882,0.19,2018-11-01
0.1932,0.1958,0.193,0.1954,2018-10-31
0.1942,0.1966,0.1892,0.196,2018-10-30
0.194,0.1946,0.1884,0.1908,2018-10-29
0.1882,0.1942,0.1882,0.1932,2018-10-26
0.1946,0.1956,0.1892,0.1956,2018-10-25
0.1882,0.1956,0.187,0.1956,2018-10-24
0.1932,0.1932,0.185,0.1916,2018-10-23
0.2,0.2045,0.192,0.195,2018-10-22
0.2045,0.2075,0.198,0.205,2018-10-19
0.211,0.2125,0.2065,0.208,2018-10-18
0.208,0.2155,0.2065,0.211,2018-10-17
0.1944,0.2115,0.1922,0.2035,2018-10-16
0.191,0.1958,0.191,0.1958,2018-10-15
0.1922,0.1974,0.1898,0.195,2018-10-12
0.19,0.1942,0.19,0.192,2018-10-11
0.206,0.207,0.1922,0.1958,2018-10-10
0.218,0.218,0.197,0.207,2018-10-09
0.232,0.2335,0.2085,0.218,2018-10-08
0.243,0.2435,0.2305,0.2305,2018-10-05
0.2445,0.2445,0.241,0.244,2018-10-04
0.246,0.246,0.24,0.24,2018-10-03
0.2355,0.247,0.2345,0.246,2018-10-02
0.237,0.2395,0.2355,0.2395,2018-10-01
0.236,0.24,0.236,0.24,2018-09-28
0.234,0.237,0.234,0.237,2018-09-27
0.2315,0.236,0.2305,0.236,2018-09-26
0.2355,0.236,0.229,0.236,2018-09-25
0.237,0.242,0.23,0.236,2018-09-24
0.237,0.2435,0.237,0.24,2018-09-21
0.244,0.244,0.2385,0.2435,2018-09-20
0.2345,0.242,0.2345,0.242,2018-09-19
0.2385,0.24,0.2355,0.239,2018-09-18
0.236,0.2415,0.2355,0.24,2018-09-17
0.2365,0.238,0.2315,0.2355,2018-09-14
0.236,0.2365,0.2335,0.2365,2018-09-13
0.2325,0.2365,0.2325,0.235,2018-09-12
0.2325,0.2325,0.229,0.2325,2018-09-11
0.231,0.234,0.2225,0.2325,2018-09-10
0.235,0.235,0.23,0.2345,2018-09-07
0.24,0.242,0.231,0.2355,2018-09-06
0.245,0.245,0.2375,0.24,2018-09-05
0.246,0.246,0.237,0.245,2018-09-04
0.249,0.249,0.24,0.245,2018-09-03
0.2455,0.249,0.24,0.248,2018-08-31
0.244,0.2495,0.2425,0.245,2018-08-30
0.25,0.25,0.241,0.249,2018-08-29
0.2465,0.2505,0.246,0.2475,2018-08-28
0.251,0.255,0.2455,0.2505,2018-08-27
0.2565,0.2565,0.246,0.253,2018-08-24
0.255,0.265,0.2515,0.2545,2018-08-23
0.253,0.253,0.247,0.25,2018-08-22
0.2455,0.2535,0.2455,0.252,2018-08-21
0.24,0.249,0.24,0.249,2018-08-20
0.246,0.247,0.24,0.2445,2018-08-17
0.239,0.2475,0.239,0.245,2018-08-16
0.237,0.239,0.235,0.239,2018-08-15
0.237,0.239,0.236,0.239,2018-08-14
0.241,0.242,0.235,0.239,2018-08-13
0.245,0.247,0.243,0.243,2018-08-10
0.246,0.246,0.24,0.245,2018-08-09
0.2425,0.245,0.2415,0.2445,2018-08-08
0.2425,0.2455,0.238,0.2445,2018-08-07
0.242,0.2435,0.236,0.242,2018-08-06
0.2445,0.248,0.239,0.239,2018-08-03
0.235,0.249,0.235,0.244,2018-08-02
0.229,0.239,0.2265,0.2385,2018-08-01
0.226,0.229,0.2255,0.2255,2018-07-31
0.2275,0.229,0.2235,0.225,2018-07-30
0.23,0.231,0.2275,0.2275,2018-07-27
0.2265,0.234,0.225,0.2255,2018-07-26
0.239,0.244,0.23,0.233,2018-07-25
0.228,0.232,0.226,0.2315,2018-07-24
0.2215,0.2275,0.221,0.227,2018-07-23
0.2205,0.2245,0.2175,0.2215,2018-07-20
0.2265,0.229,0.215,0.222,2018-07-19
0.2255,0.229,0.2255,0.228,2018-07-18
0.229,0.2315,0.224,0.225,2018-07-17
0.2275,0.232,0.2275,0.232,2018-07-16
0.23,0.232,0.2265,0.232,2018-07-13
