open,high,low,close,date
11.04,11.07,10.78,10.825,2018-11-02
10.675,11.02,10.655,10.995,2018-11-01
11.0,11.13,10.655,10.86,2018-10-31
11.515,11.6,11.425,11.515,2018-10-30
11.41,11.795,11.305,11.41,2018-10-29
11.685,11.685,11.395,11.455,2018-10-26
11.585,11.8,11.57,11.735,2018-10-25
11.445,11.835,11.445,11.7,2018-10-24
11.2,11.555,11.05,11.465,2018-10-23
11.47,11.575,11.295,11.315,2018-10-22
11.365,11.48,11.285,11.45,2018-10-19
11.3,11.52,11.3,11.36,2018-10-18
11.33,11.575,11.3,11.35,2018-10-17
11.47,11.47,11.195,11.325,2018-10-16
11.435,11.5,11.215,11.39,2018-10-15
11.44,11.53,11.34,11.465,2018-10-12
11.155,11.445,10.785,11.285,2018-10-11
11.475,11.48,11.2,11.2,2018-10-10
11.49,11.51,11.34,11.455,2018-10-09
11.44,11.44,11.325,11.335,2018-10-08
11.7,11.735,11.495,11.495,2018-10-05
11.89,11.925,11.68,11.75,2018-10-04
12.29,12.375,11.69,11.83,2018-10-03
12.52,12.52,12.265,12.27,2018-10-02
12.695,12.695,12.56,12.56,2018-10-01
12.73,12.76,12.555,12.685,2018-09-28
12.63,12.755,12.63,12.735,2018-09-27
12.645,12.72,12.54,12.705,2018-09-26
12.62,12.7,12.52,12.63,2018-09-25
12.93,12.93,12.62,12.69,2018-09-24
12.95,13.075,12.87,12.875,2018-09-21
13.1,13.195,12.855,12.93,2018-09-20
12.98,13.195,12.98,13.15,2018-09-19
13.1,13.1,12.9,13.01,2018-09-18
12.88,13.11,12.88,13.01,2018-09-17
12.84,12.895,12.765,12.89,2018-09-14
12.78,12.91,12.72,12.77,2018-09-13
12.565,12.765,12.535,12.765,2018-09-12
12.63,12.68,12.45,12.565,2018-09-11
12.41,12.665,12.345,12.655,2018-09-10
12.5,12.535,12.26,12.34,2018-09-07
12.44,12.585,12.32,12.43,2018-09-06
12.76,12.8,12.38,12.435,2018-09-05
12.965,12.965,12.775,12.84,2018-09-04
12.965,13.07,12.905,12.905,2018-08-31
13.255,13.255,12.96,13.0,2018-08-30
13.435,13.435,13.12,13.215,2018-08-29
13.545,13.715,13.35,13.35,2018-08-28
13.45,13.66,13.41,13.625,2018-08-27
13.12,13.415,13.12,13.4,2018-08-24
13.125,13.225,13.105,13.15,2018-08-23
13.145,13.29,13.09,13.09,2018-08-22
13.03,13.25,13.02,13.22,2018-08-21
13.085,13.17,13.005,13.04,2018-08-20
12.89,13.1,12.89,12.99,2018-08-17
12.79,13.025,12.64,12.92,2018-08-16
12.8,12.845,12.61,12.67,2018-08-15
13.065,13.065,12.795,12.835,2018-08-14
12.94,13.05,12.78,12.925,2018-08-13
13.015,13.085,12.935,13.04,2018-08-10
13.07,13.135,13.005,13.065,2018-08-09
12.95,13.175,12.9,13.125,2018-08-08
12.8,12.995,12.8,12.965,2018-08-07
12.765,12.88,12.71,12.86,2018-08-06
12.74,12.895,12.635,12.83,2018-08-03
12.595,12.76,12.595,12.715,2018-08-02
12.67,12.77,12.62,12.645,2018-08-01
12.7,12.82,12.62,12.73,2018-07-31
12.51,12.835,12.51,12.71,2018-07-30
12.175,12.615,12.085,12.57,2018-07-27
12.5,12.905,11.99,12.385,2018-07-26
13.175,13.295,13.13,13.29,2018-07-25
13.22,13.265,13.13,13.22,2018-07-24
13.2,13.25,13.035,13.225,2018-07-23
13.065,13.245,12.985,13.245,2018-07-20
13.0,13.055,12.87,13.045,2018-07-19
13.015,13.025,12.82,13.0,2018-07-18
12.665,13.025,12.65,13.015,2018-07-17
12.68,12.715,12.64,12.655,2018-07-16
12.595,12.835,12.55,12.67,2018-07-13
12.75,12.75,12.58,12.58,2018-07-12
12.6,12.755,12.545,12.71,2018-07-11
12.555,12.765,12.475,12.695,2018-07-10
12.575,12.715,12.49,12.585,2018-07-09
12.355,12.57,12.2,12.57,2018-07-06
12.355,12.355,12.12,12.335,2018-07-05
12.04,12.34,11.98,12.245,2018-07-04
12.04,12.085,11.785,11.96,2018-07-03
12.35,12.37,12.005,12.035,2018-07-02
12.85,12.86,12.37,12.37,2018-06-29
13.04,13.12,12.705,12.76,2018-06-28
13.005,13.19,12.925,13.07,2018-06-27
13.005,13.15,13.005,13.005,2018-06-26
13.075,13.17,13.01,13.015,2018-06-25
13.18,13.18,13.18,13.18,2018-06-23
13.075,13.285,13.075,13.18,2018-06-22
13.095,13.3,13.06,13.085,2018-06-21
12.845,13.085,12.845,12.995,2018-06-20
13.0,13.005,12.775,12.775,2018-06-19
13.25,13.255,13.02,13.07,2018-06-18
13.355,13.435,13.23,13.23,2018-06-15
13.395,13.405,13.205,13.37,2018-06-14
13.26,13.44,13.21,13.38,2018-06-13
13.35,13.39,13.185,13.285,2018-06-12
13.32,13.43,13.245,13.29,2018-06-11
13.44,13.44,13.32,13.335,2018-06-08
13.635,13.645,13.44,13.45,2018-06-07
13.58,13.61,13.475,13.52,2018-06-06
13.7,13.7,13.5,13.52,2018-06-05
13.67,13.825,13.63,13.695,2018-06-04
13.525,13.7,13.46,13.535,2018-06-01
13.54,13.65,13.305,13.45,2018-05-31
13.45,13.61,13.41,13.52,2018-05-30
13.755,13.755,13.44,13.45,2018-05-29
14.04,14.07,13.73,13.79,2018-05-28
13.92,14.05,13.905,13.99,2018-05-25
13.78,13.91,13.71,13.91,2018-05-24
13.86,13.92,13.67,13.76,2018-05-23
13.845,13.91,13.82,13.9,2018-05-22
13.91,13.91,13.78,13.85,2018-05-21
13.875,13.945,13.785,13.8,2018-05-18
13.78,13.92,13.73,13.92,2018-05-17
13.76,13.9,13.695,13.815,2018-05-16
13.78,13.86,13.69,13.75,2018-05-15
13.655,13.915,13.655,13.82,2018-05-14
13.57,13.63,13.535,13.605,2018-05-11
13.415,13.57,13.415,13.505,2018-05-10
13.415,13.46,13.41,13.46,2018-05-09
13.4,13.535,13.35,13.535,2018-05-08
14.0,14.035,13.615,13.7,2018-05-07
14.21,14.225,13.98,13.98,2018-05-04
14.27,14.435,14.15,14.19,2018-05-03
14.55,14.625,14.19,14.265,2018-05-02
14.68,14.8,14.51,14.54,2018-04-30
14.415,14.87,14.36,14.65,2018-04-27
14.65,14.995,14.29,14.365,2018-04-26
14.35,14.53,14.28,14.335,2018-04-25
14.045,14.41,14.045,14.375,2018-04-24
14.17,14.22,14.025,14.045,2018-04-23
14.2,14.295,14.155,14.2,2018-04-20
14.25,14.385,14.175,14.19,2018-04-19
14.235,14.32,14.17,14.205,2018-04-18
14.45,14.54,14.155,14.205,2018-04-17
14.245,14.43,14.14,14.34,2018-04-16
14.36,14.395,14.255,14.255,2018-04-13
14.445,14.445,14.24,14.335,2018-04-12
14.28,14.595,14.245,14.475,2018-04-11
14.3,14.46,14.07,14.31,2018-04-10
14.365,14.515,14.32,14.34,2018-04-09
14.825,14.825,14.255,14.29,2018-04-06
14.615,14.895,14.49,14.895,2018-04-05
14.85,14.85,14.325,14.42,2018-04-04
14.76,14.8,14.615,14.615,2018-04-03
14.56,14.865,14.52,14.805,2018-03-29
14.5,14.51,14.37,14.48,2018-03-28
14.5,14.825,14.47,14.525,2018-03-27
14.455,14.465,14.18,14.23,2018-03-26
14.56,14.61,14.31,14.415,2018-03-23
14.74,14.785,14.565,14.67,2018-03-22
14.96,14.97,14.72,14.815,2018-03-21
14.815,14.985,14.75,14.94,2018-03-20
15.01,15.01,14.74,14.85,2018-03-19
15.14,15.225,14.935,14.975,2018-03-16
15.2,15.29,15.09,15.17,2018-03-15
15.21,15.255,15.035,15.115,2018-03-14
15.36,15.4,15.15,15.205,2018-03-13
15.35,15.39,15.2,15.345,2018-03-12
14.98,15.31,14.9,15.31,2018-03-09
15.1,15.165,14.91,14.96,2018-03-08
15.06,15.23,14.94,15.115,2018-03-07
15.45,15.475,15.035,15.075,2018-03-06
15.165,15.49,15.08,15.395,2018-03-05
