open,high,low,close,date
0.482,0.489,0.482,0.489,2018-11-02
0.481,0.489,0.476,0.483,2018-11-01
0.495,0.495,0.482,0.489,2018-10-31
0.48,0.496,0.477,0.495,2018-10-30
0.46,0.49,0.459,0.48,2018-10-29
0.455,0.459,0.432,0.459,2018-10-26
0.431,0.46,0.431,0.459,2018-10-25
0.428,0.47,0.428,0.46,2018-10-24
0.435,0.435,0.42,0.429,2018-10-23
0.422,0.435,0.411,0.435,2018-10-22
0.419,0.43,0.41,0.43,2018-10-19
0.418,0.427,0.412,0.42,2018-10-18
0.43,0.43,0.41,0.42,2018-10-17
0.388,0.43,0.38,0.43,2018-10-16
0.387,0.396,0.382,0.395,2018-10-15
0.384,0.391,0.37,0.38,2018-10-12
0.39,0.395,0.374,0.374,2018-10-11
0.39,0.408,0.39,0.39,2018-10-10
0.386,0.408,0.386,0.407,2018-10-09
0.4,0.409,0.39,0.409,2018-10-08
0.405,0.414,0.4,0.414,2018-10-05
0.402,0.415,0.402,0.415,2018-10-04
0.41,0.416,0.4,0.416,2018-10-03
0.42,0.42,0.4,0.418,2018-10-02
0.422,0.43,0.408,0.419,2018-10-01
0.421,0.428,0.412,0.422,2018-09-28
0.425,0.436,0.42,0.436,2018-09-27
0.417,0.437,0.417,0.437,2018-09-26
0.422,0.436,0.421,0.43,2018-09-25
0.428,0.439,0.421,0.435,2018-09-24
0.448,0.449,0.416,0.437,2018-09-21
0.425,0.449,0.425,0.449,2018-09-20
0.417,0.427,0.404,0.427,2018-09-19
0.388,0.409,0.383,0.397,2018-09-18
0.393,0.393,0.377,0.389,2018-09-17
0.394,0.396,0.377,0.385,2018-09-14
0.39,0.398,0.373,0.39,2018-09-13
0.408,0.414,0.365,0.39,2018-09-12
0.395,0.41,0.394,0.408,2018-09-11
0.396,0.42,0.396,0.402,2018-09-10
0.44,0.44,0.399,0.418,2018-09-07
0.451,0.459,0.438,0.439,2018-09-06
0.445,0.457,0.445,0.455,2018-09-05
0.45,0.45,0.424,0.447,2018-09-04
0.48,0.48,0.436,0.46,2018-09-03
0.512,0.516,0.475,0.49,2018-08-31
0.51,0.572,0.51,0.572,2018-08-30
0.524,0.526,0.506,0.52,2018-08-29
0.491,0.53,0.491,0.528,2018-08-28
0.486,0.499,0.486,0.496,2018-08-27
0.46,0.5,0.46,0.499,2018-08-24
0.452,0.47,0.452,0.47,2018-08-23
0.47,0.47,0.445,0.469,2018-08-22
0.465,0.47,0.465,0.465,2018-08-21
0.47,0.474,0.465,0.47,2018-08-20
0.469,0.475,0.46,0.47,2018-08-17
0.445,0.47,0.445,0.469,2018-08-16
0.449,0.47,0.449,0.454,2018-08-15
0.46,0.46,0.455,0.46,2018-08-14
0.47,0.47,0.444,0.46,2018-08-13
0.439,0.474,0.431,0.46,2018-08-10
0.392,0.433,0.392,0.43,2018-08-09
0.39,0.399,0.382,0.399,2018-08-08
0.394,0.404,0.39,0.4,2018-08-07
0.39,0.403,0.382,0.394,2018-08-06
0.398,0.403,0.391,0.399,2018-08-03
0.402,0.404,0.398,0.403,2018-08-02
0.4,0.414,0.398,0.405,2018-08-01
0.414,0.414,0.4,0.41,2018-07-31
0.415,0.415,0.395,0.412,2018-07-30
0.411,0.411,0.395,0.409,2018-07-27
0.402,0.416,0.398,0.41,2018-07-26
0.425,0.425,0.4,0.419,2018-07-25
0.416,0.439,0.403,0.419,2018-07-24
0.36,0.42,0.358,0.419,2018-07-23
0.356,0.358,0.351,0.358,2018-07-20
0.357,0.357,0.35,0.35,2018-07-19
0.353,0.358,0.352,0.357,2018-07-18
0.355,0.357,0.353,0.357,2018-07-17
0.351,0.357,0.351,0.357,2018-07-16
0.355,0.357,0.35,0.357,2018-07-13
0.355,0.359,0.355,0.359,2018-07-11
0.35,0.359,0.349,0.359,2018-07-10
0.346,0.357,0.344,0.357,2018-07-09
0.357,0.357,0.345,0.357,2018-07-06
0.35,0.357,0.342,0.357,2018-07-05
0.35,0.36,0.346,0.359,2018-07-04
0.346,0.355,0.343,0.355,2018-07-03
0.351,0.355,0.342,0.355,2018-07-02
0.345,0.358,0.345,0.358,2018-06-29
0.358,0.359,0.333,0.358,2018-06-28
0.35,0.358,0.342,0.358,2018-06-27
0.355,0.359,0.35,0.35,2018-06-26
0.363,0.363,0.34,0.36,2018-06-25
0.358,0.358,0.358,0.358,2018-06-23
0.345,0.358,0.345,0.358,2018-06-22
0.353,0.358,0.343,0.355,2018-06-21
0.351,0.358,0.351,0.358,2018-06-20
0.357,0.358,0.35,0.358,2018-06-19
0.341,0.358,0.341,0.358,2018-06-18
0.352,0.352,0.345,0.345,2018-06-15
0.35,0.35,0.35,0.35,2018-06-14
0.35,0.358,0.344,0.358,2018-06-13
0.35,0.35,0.35,0.35,2018-06-12
0.357,0.36,0.35,0.36,2018-06-11
0.348,0.35,0.344,0.35,2018-06-08
0.352,0.352,0.346,0.348,2018-06-07
0.362,0.362,0.35,0.358,2018-06-06
0.364,0.364,0.35,0.363,2018-06-05
0.352,0.362,0.35,0.362,2018-06-04
0.349,0.359,0.342,0.359,2018-06-01
0.348,0.349,0.348,0.349,2018-05-31
0.339,0.349,0.336,0.349,2018-05-30
0.343,0.343,0.333,0.338,2018-05-29
0.35,0.352,0.35,0.35,2018-05-28
0.353,0.357,0.352,0.352,2018-05-25
0.357,0.357,0.357,0.357,2018-05-24
0.358,0.358,0.357,0.358,2018-05-23
0.358,0.358,0.342,0.358,2018-05-22
0.353,0.36,0.353,0.36,2018-05-21
