open,high,low,close,date
2.48,2.49,2.48,2.48,2018-11-02
2.49,2.49,2.48,2.48,2018-11-01
2.45,2.49,2.45,2.48,2018-10-31
2.46,2.49,2.46,2.48,2018-10-30
2.48,2.49,2.48,2.48,2018-10-29
2.49,2.49,2.45,2.46,2018-10-26
2.48,2.49,2.48,2.48,2018-10-25
2.47,2.48,2.46,2.46,2018-10-24
2.48,2.5,2.43,2.48,2018-10-23
2.48,2.5,2.48,2.5,2018-10-22
2.4,2.5,2.4,2.48,2018-10-19
2.41,2.44,2.4,2.4,2018-10-18
2.41,2.43,2.4,2.4,2018-10-17
2.39,2.39,2.39,2.39,2018-10-16
2.45,2.45,2.35,2.39,2018-10-15
2.6,2.6,2.4,2.4,2018-10-12
2.63,2.64,2.61,2.62,2018-10-11
2.67,2.67,2.64,2.64,2018-10-10
2.65,2.65,2.64,2.64,2018-10-09
2.67,2.67,2.65,2.65,2018-10-08
2.67,2.67,2.65,2.65,2018-10-05
2.67,2.67,2.65,2.65,2018-10-04
2.69,2.69,2.65,2.65,2018-10-03
2.67,2.67,2.66,2.66,2018-10-02
2.7,2.7,2.66,2.66,2018-10-01
2.67,2.67,2.67,2.67,2018-09-28
2.66,2.69,2.66,2.69,2018-09-27
2.68,2.68,2.66,2.66,2018-09-26
2.67,2.68,2.67,2.68,2018-09-25
2.67,2.7,2.67,2.67,2018-09-24
2.68,2.69,2.68,2.69,2018-09-21
2.69,2.69,2.66,2.67,2018-09-20
2.67,2.69,2.67,2.69,2018-09-19
2.69,2.7,2.68,2.68,2018-09-18
2.7,2.72,2.68,2.69,2018-09-17
2.7,2.72,2.7,2.72,2018-09-14
2.7,2.7,2.7,2.7,2018-09-12
2.66,2.72,2.66,2.72,2018-09-11
2.71,2.74,2.7,2.74,2018-09-10
2.7,2.7,2.67,2.67,2018-09-07
2.68,2.72,2.68,2.72,2018-09-06
2.73,2.73,2.69,2.69,2018-09-05
2.72,2.72,2.68,2.72,2018-09-04
2.67,2.72,2.67,2.72,2018-09-03
2.68,2.72,2.68,2.72,2018-08-31
2.7,2.71,2.7,2.71,2018-08-30
2.72,2.72,2.7,2.72,2018-08-29
2.72,2.72,2.72,2.72,2018-08-28
