open,high,low,close,date
9.35,9.35,9.2,9.25,2018-11-02
9.05,9.4,9.05,9.3,2018-11-01
8.95,8.95,8.8,8.9,2018-10-31
9.0,9.0,8.7,8.9,2018-10-30
8.9,8.95,8.9,8.9,2018-10-29
8.8,8.8,8.8,8.8,2018-10-26
8.7,8.9,8.7,8.9,2018-10-25
9.0,9.0,8.55,8.8,2018-10-24
9.35,9.4,8.6,8.6,2018-10-23
9.55,9.55,9.35,9.35,2018-10-22
9.5,9.6,9.5,9.6,2018-10-19
9.45,9.6,9.45,9.6,2018-10-18
9.6,9.65,9.6,9.6,2018-10-17
9.7,9.7,9.6,9.6,2018-10-16
9.65,9.75,9.6,9.7,2018-10-15
9.65,9.65,9.4,9.55,2018-10-12
9.65,9.7,9.65,9.7,2018-10-11
9.8,9.85,9.6,9.6,2018-10-10
9.8,9.8,9.8,9.8,2018-10-09
9.85,9.9,9.85,9.9,2018-10-08
9.9,10.0,9.9,9.9,2018-10-05
9.85,10.0,9.85,9.95,2018-10-04
9.9,9.95,9.85,9.85,2018-10-03
9.85,10.0,9.85,9.95,2018-10-02
10.0,10.0,9.9,10.0,2018-10-01
9.9,10.0,9.9,9.95,2018-09-28
9.9,9.9,9.8,9.9,2018-09-27
9.7,9.8,9.7,9.8,2018-09-26
9.6,9.6,9.6,9.6,2018-09-25
9.7,9.7,9.6,9.6,2018-09-24
9.65,9.8,9.65,9.65,2018-09-21
9.75,9.8,9.7,9.8,2018-09-20
9.8,9.8,9.75,9.8,2018-09-19
9.6,9.8,9.6,9.8,2018-09-18
9.85,9.85,9.65,9.65,2018-09-17
10.0,10.0,9.65,9.65,2018-09-14
9.9,10.0,9.8,10.0,2018-09-13
10.0,10.0,10.0,10.0,2018-09-12
9.95,10.0,9.95,9.95,2018-09-11
9.7,9.9,9.65,9.9,2018-09-10
9.6,10.0,9.6,9.75,2018-09-07
9.5,9.55,9.5,9.55,2018-09-06
9.65,9.65,9.5,9.5,2018-09-05
9.8,9.8,9.65,9.7,2018-09-04
10.0,10.1,9.55,9.85,2018-09-03
10.1,10.1,10.0,10.0,2018-08-31
10.2,10.2,10.1,10.1,2018-08-30
10.2,10.2,10.1,10.1,2018-08-29
10.2,10.2,10.2,10.2,2018-08-28
10.2,10.2,10.2,10.2,2018-08-27
10.3,10.3,10.2,10.2,2018-08-24
10.2,10.3,10.2,10.3,2018-08-23
10.2,10.2,10.2,10.2,2018-08-22
10.0,10.3,10.0,10.3,2018-08-21
10.2,10.3,10.2,10.3,2018-08-20
10.2,10.2,10.1,10.1,2018-08-17
10.1,10.1,10.0,10.1,2018-08-16
10.2,10.2,10.0,10.0,2018-08-15
10.1,10.2,10.1,10.1,2018-08-14
10.0,10.2,10.0,10.1,2018-08-13
10.2,10.3,10.2,10.2,2018-08-10
10.2,10.2,10.1,10.1,2018-08-09
10.3,10.3,10.2,10.2,2018-08-08
10.2,10.3,10.2,10.2,2018-08-07
10.2,10.3,10.2,10.2,2018-08-06
10.2,10.3,10.2,10.2,2018-08-03
10.1,10.2,10.0,10.2,2018-08-02
10.0,10.0,10.0,10.0,2018-08-01
10.2,10.2,10.0,10.0,2018-07-31
10.1,10.2,10.0,10.2,2018-07-30
10.2,10.2,10.0,10.1,2018-07-27
10.2,10.2,10.1,10.1,2018-07-26
10.1,10.2,10.1,10.1,2018-07-25
10.3,10.3,10.2,10.2,2018-07-24
10.2,10.4,10.2,10.3,2018-07-23
10.2,10.3,10.1,10.2,2018-07-20
10.2,10.3,10.2,10.2,2018-07-19
10.1,10.1,10.1,10.1,2018-07-18
10.2,10.2,10.1,10.1,2018-07-17
10.2,10.3,10.1,10.2,2018-07-16
9.5,10.2,9.4,10.1,2018-07-13
8.95,9.5,8.95,9.5,2018-07-12
9.05,9.05,8.9,8.95,2018-07-11
8.9,9.1,8.9,8.95,2018-07-10
9.0,9.0,8.95,9.0,2018-07-09
