open,high,low,close,date
0.085,0.09,0.085,0.09,2018-11-02
0.09,0.09,0.09,0.09,2018-10-31
0.09,0.09,0.09,0.09,2018-10-29
0.085,0.085,0.085,0.085,2018-10-26
0.09,0.09,0.09,0.09,2018-10-18
0.09,0.09,0.09,0.09,2018-10-17
0.092,0.092,0.092,0.092,2018-10-16
0.093,0.093,0.093,0.093,2018-10-12
0.093,0.093,0.093,0.093,2018-10-10
0.095,0.095,0.095,0.095,2018-10-09
0.095,0.095,0.095,0.095,2018-10-03
0.105,0.105,0.105,0.105,2018-09-25
0.09,0.1,0.09,0.1,2018-09-24
0.09,0.09,0.09,0.09,2018-09-21
0.098,0.098,0.098,0.098,2018-09-19
0.09,0.09,0.09,0.09,2018-09-18
0.1,0.1,0.1,0.1,2018-09-06
0.1,0.1,0.1,0.1,2018-09-04
0.095,0.095,0.095,0.095,2018-08-31
0.095,0.095,0.095,0.095,2018-08-28
0.085,0.09,0.085,0.09,2018-08-27
0.09,0.09,0.09,0.09,2018-08-22
0.108,0.108,0.108,0.108,2018-08-20
0.099,0.099,0.099,0.099,2018-08-17
0.099,0.099,0.099,0.099,2018-08-15
0.104,0.104,0.104,0.104,2018-08-09
0.1,0.1,0.1,0.1,2018-08-08
0.086,0.089,0.086,0.089,2018-08-06
0.1,0.1,0.1,0.1,2018-08-03
0.1,0.1,0.1,0.1,2018-08-02
0.085,0.085,0.085,0.085,2018-07-31
0.085,0.085,0.085,0.085,2018-07-24
0.096,0.096,0.085,0.085,2018-07-23
0.097,0.097,0.097,0.097,2018-07-20
0.096,0.096,0.096,0.096,2018-07-18
0.1,0.1,0.1,0.1,2018-07-17
0.101,0.101,0.101,0.101,2018-07-16
0.105,0.105,0.102,0.102,2018-07-13
0.102,0.105,0.102,0.105,2018-07-12
0.109,0.109,0.109,0.109,2018-07-06
0.1,0.1,0.1,0.1,2018-07-03
0.103,0.103,0.103,0.103,2018-06-29
0.095,0.095,0.095,0.095,2018-06-26
0.104,0.104,0.104,0.104,2018-06-22
0.104,0.104,0.104,0.104,2018-06-19
0.104,0.104,0.104,0.104,2018-06-15
0.11,0.11,0.11,0.11,2018-06-05
0.109,0.109,0.109,0.109,2018-06-04
0.101,0.107,0.101,0.107,2018-06-01
0.1,0.1,0.1,0.1,2018-05-31
0.1,0.1,0.1,0.1,2018-05-30
0.107,0.107,0.107,0.107,2018-05-25
0.11,0.11,0.11,0.11,2018-05-23
0.0905,0.0905,0.0905,0.0905,2018-05-22
0.108,0.108,0.108,0.108,2018-05-15
