open,high,low,close,date
2.36,2.378,2.354,2.37,2018-11-02
2.354,2.368,2.348,2.352,2018-11-01
2.338,2.356,2.332,2.354,2018-10-31
2.34,2.352,2.33,2.33,2018-10-30
2.326,2.346,2.326,2.34,2018-10-29
2.334,2.336,2.322,2.336,2018-10-26
2.33,2.344,2.328,2.34,2018-10-25
2.348,2.348,2.32,2.334,2018-10-24
2.362,2.362,2.33,2.33,2018-10-23
2.362,2.364,2.352,2.356,2018-10-22
2.376,2.38,2.356,2.36,2018-10-19
2.382,2.4,2.376,2.378,2018-10-18
2.396,2.398,2.378,2.388,2018-10-17
2.348,2.396,2.348,2.382,2018-10-16
2.35,2.366,2.328,2.354,2018-10-15
2.356,2.366,2.322,2.334,2018-10-12
2.362,2.378,2.35,2.35,2018-10-11
2.368,2.382,2.36,2.36,2018-10-10
2.386,2.386,2.36,2.368,2018-10-09
2.386,2.386,2.368,2.368,2018-10-08
2.394,2.394,2.38,2.384,2018-10-05
2.39,2.394,2.38,2.388,2018-10-04
2.408,2.41,2.392,2.392,2018-10-03
2.42,2.426,2.388,2.388,2018-10-02
2.442,2.442,2.416,2.416,2018-10-01
2.44,2.44,2.416,2.43,2018-09-28
2.42,2.448,2.414,2.444,2018-09-27
2.42,2.426,2.412,2.42,2018-09-26
2.43,2.436,2.42,2.422,2018-09-25
2.422,2.436,2.422,2.424,2018-09-24
2.436,2.436,2.422,2.422,2018-09-21
2.432,2.442,2.42,2.42,2018-09-20
2.454,2.464,2.43,2.432,2018-09-19
2.44,2.466,2.44,2.456,2018-09-18
2.42,2.446,2.42,2.442,2018-09-17
2.428,2.444,2.424,2.424,2018-09-14
2.426,2.44,2.424,2.428,2018-09-13
2.434,2.438,2.422,2.426,2018-09-12
2.43,2.444,2.416,2.43,2018-09-11
2.408,2.43,2.408,2.428,2018-09-10
2.43,2.43,2.4,2.408,2018-09-07
2.424,2.436,2.412,2.418,2018-09-06
2.44,2.44,2.417,2.428,2018-09-05
2.44,2.44,2.418,2.422,2018-09-04
2.44,2.456,2.434,2.44,2018-09-03
2.432,2.444,2.43,2.44,2018-08-31
2.468,2.468,2.434,2.436,2018-08-30
2.476,2.478,2.452,2.456,2018-08-29
2.478,2.478,2.47,2.47,2018-08-28
2.45,2.48,2.448,2.47,2018-08-27
2.45,2.452,2.44,2.446,2018-08-24
2.452,2.454,2.44,2.44,2018-08-23
2.458,2.468,2.45,2.452,2018-08-22
2.45,2.47,2.444,2.466,2018-08-21
2.442,2.46,2.44,2.446,2018-08-20
2.44,2.452,2.426,2.442,2018-08-17
2.442,2.452,2.432,2.44,2018-08-16
2.45,2.458,2.416,2.426,2018-08-15
2.47,2.47,2.45,2.45,2018-08-14
2.482,2.486,2.446,2.446,2018-08-13
2.492,2.492,2.476,2.482,2018-08-10
2.5,2.5,2.484,2.49,2018-08-09
2.488,2.494,2.484,2.494,2018-08-08
2.486,2.498,2.484,2.494,2018-08-07
2.498,2.508,2.494,2.496,2018-08-06
2.504,2.504,2.492,2.498,2018-08-03
2.498,2.504,2.482,2.496,2018-08-02
2.518,2.518,2.494,2.5,2018-08-01
2.52,2.52,2.5,2.506,2018-07-31
2.496,2.54,2.496,2.52,2018-07-30
2.466,2.518,2.466,2.49,2018-07-27
2.476,2.49,2.46,2.474,2018-07-26
2.466,2.48,2.466,2.476,2018-07-25
2.49,2.49,2.466,2.47,2018-07-24
2.48,2.496,2.468,2.486,2018-07-23
2.488,2.488,2.464,2.484,2018-07-20
2.48,2.49,2.474,2.488,2018-07-19
2.466,2.49,2.466,2.47,2018-07-18
2.462,2.47,2.458,2.47,2018-07-17
2.454,2.474,2.454,2.462,2018-07-16
2.46,2.472,2.45,2.464,2018-07-13
2.45,2.474,2.45,2.468,2018-07-12
2.47,2.472,2.45,2.456,2018-07-11
2.464,2.48,2.462,2.478,2018-07-10
2.47,2.48,2.46,2.474,2018-07-09
2.458,2.47,2.444,2.47,2018-07-06
2.442,2.456,2.44,2.45,2018-07-05
2.434,2.458,2.422,2.448,2018-07-04
2.448,2.454,2.43,2.434,2018-07-03
2.392,2.434,2.376,2.434,2018-07-02
2.396,2.408,2.392,2.4,2018-06-29
2.366,2.396,2.366,2.396,2018-06-28
2.362,2.384,2.348,2.374,2018-06-27
2.346,2.358,2.344,2.356,2018-06-26
2.34,2.36,2.336,2.342,2018-06-25
2.342,2.342,2.342,2.342,2018-06-23
2.36,2.366,2.34,2.342,2018-06-22
2.39,2.394,2.348,2.348,2018-06-21
2.394,2.408,2.388,2.39,2018-06-20
2.366,2.394,2.366,2.39,2018-06-19
2.38,2.388,2.36,2.384,2018-06-18
2.384,2.396,2.37,2.372,2018-06-15
2.378,2.384,2.352,2.376,2018-06-14
2.344,2.38,2.336,2.368,2018-06-13
2.346,2.35,2.34,2.342,2018-06-12
2.354,2.354,2.33,2.336,2018-06-11
2.364,2.364,2.33,2.334,2018-06-08
2.37,2.37,2.344,2.364,2018-06-07
2.376,2.38,2.354,2.356,2018-06-06
2.366,2.382,2.366,2.37,2018-06-05
2.36,2.38,2.36,2.37,2018-06-04
2.388,2.394,2.352,2.356,2018-06-01
2.372,2.4,2.346,2.378,2018-05-31
2.352,2.36,2.326,2.356,2018-05-30
2.41,2.41,2.316,2.326,2018-05-29
2.438,2.438,2.4,2.406,2018-05-28
2.464,2.464,2.412,2.42,2018-05-25
2.47,2.48,2.444,2.45,2018-05-24
2.49,2.51,2.468,2.47,2018-05-23
2.616,2.644,2.614,2.638,2018-05-22
2.63,2.64,2.614,2.614,2018-05-21
2.626,2.632,2.618,2.624,2018-05-18
2.616,2.63,2.604,2.62,2018-05-17
2.65,2.65,2.614,2.614,2018-05-16
2.63,2.67,2.62,2.65,2018-05-15
2.63,2.64,2.596,2.63,2018-05-14
2.57,2.598,2.566,2.597,2018-05-11
2.582,2.582,2.57,2.572,2018-05-10
2.572,2.584,2.572,2.576,2018-05-09
2.582,2.592,2.571,2.59,2018-05-08
2.612,2.614,2.584,2.598,2018-05-07
2.592,2.616,2.59,2.596,2018-05-04
2.598,2.606,2.58,2.594,2018-05-03
2.62,2.62,2.572,2.594,2018-05-02
2.586,2.618,2.586,2.612,2018-04-30
2.56,2.586,2.56,2.58,2018-04-27
2.566,2.582,2.554,2.56,2018-04-26
2.588,2.588,2.554,2.562,2018-04-25
2.568,2.59,2.552,2.59,2018-04-24
2.56,2.57,2.552,2.564,2018-04-23
2.558,2.57,2.552,2.562,2018-04-20
2.54,2.556,2.534,2.554,2018-04-19
