open,high,low,close,date
4.32,4.3445,4.2695,4.284,2018-11-02
4.2,4.2795,4.2,4.233,2018-11-01
4.2365,4.2865,4.195,4.195,2018-10-31
4.1215,4.1685,4.092,4.1085,2018-10-30
4.083,4.1595,4.052,4.1235,2018-10-29
4.037,4.041,3.958,4.021,2018-10-26
3.966,4.097,3.9625,4.07,2018-10-25
4.06,4.066,3.981,3.981,2018-10-24
4.038,4.099,4.017,4.038,2018-10-23
4.199,4.22,4.08,4.1005,2018-10-22
4.11,4.1685,4.027,4.125,2018-10-19
4.205,4.244,4.105,4.1385,2018-10-18
4.2951,4.3119,4.2132,4.2256,2018-10-17
4.2232,4.2951,4.1899,4.2653,2018-10-16
4.1751,4.2068,4.1612,4.1959,2018-10-15
4.3125,4.3295,4.214,4.222,2018-10-12
4.29,4.333,4.2505,4.26,2018-10-11
4.3415,4.43,4.3335,4.363,2018-10-10
4.363,4.3985,4.304,4.3755,2018-10-09
4.318,4.3645,4.297,4.3325,2018-10-08
4.362,4.3645,4.2985,4.3155,2018-10-05
4.341,4.3945,4.3235,4.351,2018-10-04
4.3245,4.3835,4.278,4.337,2018-10-03
4.2295,4.291,4.194,4.2595,2018-10-02
4.308,4.379,4.2755,4.2915,2018-10-01
4.4335,4.4345,4.252,4.3355,2018-09-28
4.453,4.481,4.391,4.481,2018-09-27
4.493,4.4985,4.4615,4.485,2018-09-26
4.49,4.524,4.474,4.476,2018-09-25
4.5115,4.54,4.4705,4.4785,2018-09-24
4.6115,4.636,4.535,4.572,2018-09-21
4.485,4.61,4.4845,4.553,2018-09-20
4.401,4.5035,4.3975,4.4755,2018-09-19
4.35,4.394,4.331,4.3865,2018-09-18
4.29,4.3565,4.2815,4.331,2018-09-17
4.2995,4.3065,4.2465,4.283,2018-09-14
4.237,4.317,4.23,4.2675,2018-09-13
4.26,4.26,4.1965,4.237,2018-09-12
4.264,4.2735,4.1925,4.2415,2018-09-11
4.1685,4.287,4.16,4.254,2018-09-10
4.2425,4.255,4.14,4.178,2018-09-07
4.2485,4.284,4.223,4.2285,2018-09-06
4.2705,4.3405,4.2415,4.2735,2018-09-05
4.275,4.3045,4.2325,4.2865,2018-09-04
4.275,4.298,4.2585,4.2815,2018-08-31
