open,high,low,close,date
0.725,0.725,0.725,0.725,2018-11-02
0.7,0.735,0.7,0.735,2018-11-01
0.74,0.74,0.74,0.74,2018-10-31
0.69,0.7,0.69,0.7,2018-10-30
0.7,0.7,0.7,0.7,2018-10-29
0.7,0.7,0.69,0.69,2018-10-26
0.7,0.7,0.7,0.7,2018-10-24
0.71,0.71,0.71,0.71,2018-10-23
0.71,0.71,0.71,0.71,2018-10-22
0.71,0.71,0.71,0.71,2018-10-19
0.705,0.705,0.69,0.69,2018-10-17
0.71,0.71,0.71,0.71,2018-10-16
0.7,0.7,0.7,0.7,2018-10-15
0.75,0.75,0.72,0.72,2018-10-12
0.72,0.72,0.72,0.72,2018-10-11
0.71,0.72,0.71,0.72,2018-10-09
0.8,0.8,0.8,0.8,2018-10-03
0.81,0.81,0.75,0.75,2018-10-01
0.74,0.74,0.74,0.74,2018-09-27
0.75,0.75,0.75,0.75,2018-09-26
0.75,0.75,0.75,0.75,2018-09-25
0.8,0.8,0.75,0.75,2018-09-21
0.75,0.825,0.75,0.825,2018-09-20
0.75,0.75,0.75,0.75,2018-09-19
0.8,0.8,0.75,0.75,2018-09-18
0.75,0.8,0.75,0.8,2018-09-17
0.8,0.8,0.8,0.8,2018-09-14
0.8,0.8,0.8,0.8,2018-09-13
0.82,0.82,0.75,0.75,2018-09-11
0.75,0.825,0.75,0.825,2018-09-10
0.75,0.75,0.7,0.7,2018-09-07
0.75,0.75,0.75,0.75,2018-09-06
0.695,0.695,0.695,0.695,2018-09-04
0.695,0.695,0.695,0.695,2018-09-03
0.79,0.79,0.79,0.79,2018-08-29
0.695,0.695,0.695,0.695,2018-08-28
0.695,0.695,0.695,0.695,2018-08-27
0.69,0.69,0.69,0.69,2018-08-24
0.7,0.75,0.7,0.75,2018-08-23
0.7,0.7,0.7,0.7,2018-08-22
0.79,0.79,0.715,0.715,2018-08-20
0.72,0.72,0.72,0.72,2018-08-16
0.72,0.72,0.72,0.72,2018-08-15
0.72,0.72,0.72,0.72,2018-08-14
0.89,0.89,0.845,0.845,2018-08-13
0.71,0.71,0.71,0.71,2018-08-09
0.71,0.71,0.71,0.71,2018-08-08
0.71,0.71,0.71,0.71,2018-08-07
0.71,0.71,0.71,0.71,2018-08-06
0.765,0.765,0.765,0.765,2018-08-03
0.71,0.71,0.71,0.71,2018-08-02
0.71,0.71,0.71,0.71,2018-08-01
0.765,0.765,0.71,0.71,2018-07-31
0.7,0.7,0.7,0.7,2018-07-30
0.71,0.71,0.71,0.71,2018-07-27
0.72,0.72,0.7,0.7,2018-07-26
0.7,0.73,0.7,0.73,2018-07-25
0.8,0.8,0.8,0.8,2018-07-23
0.69,0.69,0.69,0.69,2018-07-20
0.75,0.75,0.69,0.69,2018-07-19
0.69,0.7,0.69,0.7,2018-07-18
0.85,0.85,0.85,0.85,2018-07-16
0.675,0.675,0.675,0.675,2018-07-13
0.71,0.71,0.71,0.71,2018-07-12
0.7,0.7,0.7,0.7,2018-07-11
0.69,0.7,0.69,0.7,2018-07-10
0.7,0.7,0.7,0.7,2018-07-09
0.72,0.72,0.72,0.72,2018-07-06
0.75,0.75,0.75,0.75,2018-07-04
0.75,0.75,0.75,0.75,2018-07-03
0.8,0.8,0.8,0.8,2018-07-02
0.87,0.87,0.87,0.87,2018-06-29
0.89,0.89,0.88,0.88,2018-06-28
0.79,0.79,0.79,0.79,2018-06-27
0.77,0.77,0.77,0.77,2018-06-26
0.78,0.78,0.76,0.76,2018-06-25
0.705,0.71,0.705,0.71,2018-06-22
0.68,0.68,0.68,0.68,2018-06-21
0.66,0.66,0.66,0.66,2018-06-20
0.79,0.79,0.79,0.79,2018-06-19
0.78,0.79,0.78,0.79,2018-06-18
0.65,0.65,0.65,0.65,2018-06-15
0.79,0.79,0.79,0.79,2018-06-14
0.79,0.79,0.79,0.79,2018-06-13
0.61,0.61,0.61,0.61,2018-06-12
0.65,0.65,0.65,0.65,2018-06-11
0.65,0.65,0.65,0.65,2018-06-08
0.65,0.65,0.65,0.65,2018-06-07
0.675,0.675,0.65,0.65,2018-06-05
0.7,0.7,0.7,0.7,2018-06-04
0.7,0.7,0.7,0.7,2018-06-01
0.7,0.7,0.7,0.7,2018-05-31
0.675,0.68,0.675,0.68,2018-05-30
0.795,0.795,0.75,0.75,2018-05-29
0.795,0.795,0.795,0.795,2018-05-28
0.75,0.795,0.75,0.795,2018-05-25
0.675,0.705,0.675,0.705,2018-05-23
0.825,0.825,0.825,0.825,2018-05-22
0.75,0.75,0.75,0.75,2018-05-21
0.66,0.715,0.66,0.715,2018-05-18
0.7,0.7,0.63,0.63,2018-05-17
0.76,0.76,0.76,0.76,2018-05-16
0.75,0.75,0.75,0.75,2018-05-03
0.71,0.75,0.71,0.75,2018-05-02
0.7,0.7,0.7,0.7,2018-04-30
0.7,0.7,0.7,0.7,2018-04-27
0.75,0.75,0.75,0.75,2018-04-24
0.7,0.7,0.7,0.7,2018-04-23
0.75,0.75,0.75,0.75,2018-04-20
0.7,0.7,0.7,0.7,2018-04-19
0.7,0.7,0.7,0.7,2018-04-18
0.83,0.83,0.83,0.83,2018-04-17
0.7,0.7,0.7,0.7,2018-04-16
0.8,0.8,0.8,0.8,2018-04-11
0.8,0.8,0.8,0.8,2018-04-10
0.63,0.63,0.63,0.63,2018-04-06
0.6,0.6,0.6,0.6,2018-04-04
0.9,0.9,0.9,0.9,2018-03-29
0.61,0.61,0.61,0.61,2018-03-22
0.6,0.6,0.6,0.6,2018-03-21
0.64,0.64,0.64,0.64,2018-03-19
0.62,0.62,0.62,0.62,2018-03-15
0.55,0.6,0.55,0.6,2018-03-14
0.64,0.64,0.64,0.64,2018-03-09
0.66,0.66,0.66,0.66,2018-03-08
0.65,0.65,0.65,0.65,2018-03-07
0.64,0.64,0.64,0.64,2018-03-06
0.7,0.7,0.7,0.7,2018-03-05
0.7,0.7,0.7,0.7,2018-03-02
0.7,0.7,0.7,0.7,2018-03-01
0.7,0.7,0.7,0.7,2018-02-28
0.7,0.7,0.65,0.65,2018-02-27
0.735,0.735,0.735,0.735,2018-02-26
0.71,0.71,0.7,0.7,2018-02-23
0.7,0.7,0.7,0.7,2018-02-22
0.7,0.7,0.7,0.7,2018-02-19
0.7,0.7,0.7,0.7,2018-02-16
0.7,0.7,0.7,0.7,2018-02-15
0.73,0.73,0.73,0.73,2018-02-12
0.75,0.75,0.75,0.75,2018-02-08
0.75,0.75,0.75,0.75,2018-02-07
0.75,0.75,0.75,0.75,2018-02-06
0.75,0.75,0.75,0.75,2018-02-05
0.85,0.85,0.83,0.83,2018-02-02
0.78,0.81,0.78,0.81,2018-02-01
0.73,0.76,0.73,0.76,2018-01-31
0.75,0.75,0.75,0.75,2018-01-30
0.73,0.73,0.73,0.73,2018-01-29
0.73,0.73,0.73,0.73,2018-01-26
0.73,0.73,0.73,0.73,2018-01-25
0.73,0.73,0.73,0.73,2018-01-24
0.65,0.65,0.65,0.65,2018-01-23
0.655,0.655,0.655,0.655,2018-01-22
0.655,0.655,0.655,0.655,2018-01-19
0.64,0.64,0.64,0.64,2018-01-18
0.64,0.64,0.64,0.64,2018-01-17
0.64,0.64,0.64,0.64,2018-01-16
0.645,0.645,0.645,0.645,2018-01-15
0.64,0.64,0.64,0.64,2018-01-11
0.61,0.61,0.61,0.61,2018-01-10
0.675,0.675,0.675,0.675,2018-01-04
0.68,0.68,0.68,0.68,2018-01-03
0.67,0.67,0.67,0.67,2017-12-29
0.68,0.68,0.68,0.68,2017-12-28
0.68,0.68,0.68,0.68,2017-12-22
0.69,0.71,0.69,0.71,2017-12-21
0.67,0.67,0.67,0.67,2017-12-20
0.69,0.69,0.69,0.69,2017-12-19
0.68,0.68,0.68,0.68,2017-12-18
0.67,0.72,0.67,0.72,2017-12-15
0.67,0.72,0.67,0.72,2017-12-12
0.67,0.67,0.67,0.67,2017-12-11
0.75,0.75,0.69,0.69,2017-12-07
0.69,0.69,0.69,0.69,2017-12-05
0.7,0.7,0.7,0.7,2017-12-04
0.68,0.68,0.68,0.68,2017-12-01
0.68,0.68,0.68,0.68,2017-11-30
0.69,0.7,0.69,0.7,2017-11-28
0.69,0.75,0.69,0.75,2017-11-27
0.7,0.7,0.7,0.7,2017-11-24
0.68,0.68,0.68,0.68,2017-11-23
0.75,0.75,0.68,0.68,2017-11-22
0.7,0.7,0.7,0.7,2017-11-21
0.7,0.7,0.7,0.7,2017-11-20
0.7,0.7,0.7,0.7,2017-11-16
0.68,0.68,0.68,0.68,2017-11-15
0.68,0.68,0.68,0.68,2017-11-14
0.67,0.67,0.67,0.67,2017-11-13
0.67,0.67,0.67,0.67,2017-11-10
0.68,0.68,0.68,0.68,2017-11-09
0.67,0.67,0.67,0.67,2017-11-07
0.72,0.72,0.72,0.72,2017-11-03
0.72,0.72,0.72,0.72,2017-11-02
0.72,0.72,0.72,0.72,2017-11-01
0.72,0.72,0.72,0.72,2017-10-31
0.73,0.73,0.73,0.73,2017-10-30
0.72,0.72,0.72,0.72,2017-10-27
0.81,0.81,0.81,0.81,2017-10-26
0.62,0.62,0.62,0.62,2017-10-23
0.75,0.75,0.75,0.75,2017-10-19
0.73,0.73,0.73,0.73,2017-10-18
0.71,0.71,0.71,0.71,2017-10-17
0.7,0.7,0.7,0.7,2017-10-16
0.74,0.74,0.7,0.7,2017-10-13
0.74,0.74,0.74,0.74,2017-10-12
0.75,0.75,0.75,0.75,2017-10-10
0.75,0.75,0.75,0.75,2017-10-09
0.75,0.75,0.75,0.75,2017-10-06
0.75,0.75,0.75,0.75,2017-10-04
0.75,0.75,0.75,0.75,2017-10-03
0.74,0.74,0.74,0.74,2017-10-02
0.74,0.74,0.74,0.74,2017-09-29
0.74,0.74,0.74,0.74,2017-09-28
0.72,0.72,0.72,0.72,2017-09-26
0.72,0.72,0.72,0.72,2017-09-25
0.76,0.77,0.76,0.77,2017-09-22
0.73,0.73,0.73,0.73,2017-09-21
0.71,0.71,0.71,0.71,2017-09-20
0.71,0.71,0.71,0.71,2017-09-19
0.75,0.75,0.7,0.7,2017-09-15
0.72,0.74,0.72,0.74,2017-09-14
0.68,0.68,0.68,0.68,2017-09-12
