open,high,low,close,date
16.34,16.7,15.84,15.96,2018-11-02
16.94,17.32,16.5,16.5,2018-11-01
16.74,17.16,16.72,16.88,2018-10-31
16.36,16.86,16.36,16.78,2018-10-30
16.58,16.74,16.06,16.46,2018-10-29
16.34,16.44,16.0,16.28,2018-10-26
16.04,16.48,15.66,16.34,2018-10-25
16.48,16.48,15.7,15.72,2018-10-24
16.4,16.42,15.9,15.9,2018-10-23
16.48,16.66,16.4,16.4,2018-10-22
16.52,16.7,16.42,16.5,2018-10-19
16.7,16.8,16.52,16.52,2018-10-18
16.72,17.26,16.52,16.7,2018-10-17
16.8,17.16,16.6,17.08,2018-10-16
16.76,16.98,16.66,16.82,2018-10-15
16.94,17.28,16.82,16.84,2018-10-12
15.92,17.36,15.66,17.04,2018-10-11
16.92,16.92,16.06,16.06,2018-10-10
17.08,17.08,16.52,16.84,2018-10-09
17.4,17.4,16.44,16.82,2018-10-08
17.46,17.46,17.06,17.14,2018-10-05
17.32,17.8,17.32,17.44,2018-10-04
17.6,17.74,17.5,17.62,2018-10-03
17.32,17.66,17.06,17.54,2018-10-02
17.28,17.5,17.16,17.26,2018-10-01
17.36,17.36,16.94,17.12,2018-09-28
17.1,17.34,17.04,17.28,2018-09-27
17.16,17.18,17.04,17.1,2018-09-26
17.38,17.42,17.1,17.24,2018-09-25
17.4,17.52,17.04,17.32,2018-09-24
17.46,17.64,17.1,17.1,2018-09-21
17.72,18.02,17.48,17.48,2018-09-20
17.52,17.8,17.52,17.72,2018-09-19
17.6,17.74,17.58,17.58,2018-09-18
17.64,17.7,17.52,17.64,2018-09-17
17.92,17.92,17.36,17.52,2018-09-14
17.84,18.22,17.84,17.94,2018-09-13
17.56,18.0,17.56,17.92,2018-09-12
17.58,17.68,17.4,17.62,2018-09-11
17.34,17.64,17.2,17.5,2018-09-10
17.9,17.9,17.08,17.34,2018-09-07
17.8,17.84,17.54,17.58,2018-09-06
17.76,17.76,17.48,17.64,2018-09-05
17.76,17.76,17.18,17.5,2018-09-04
17.76,18.14,16.88,17.4,2018-09-03
18.32,18.32,17.8,17.8,2018-08-31
18.58,18.58,18.2,18.22,2018-08-30
18.66,18.66,18.36,18.44,2018-08-29
18.26,18.62,18.22,18.46,2018-08-28
17.98,18.36,17.98,18.32,2018-08-27
18.2,18.2,17.84,17.92,2018-08-24
18.24,18.28,17.86,17.94,2018-08-23
18.34,18.52,18.14,18.14,2018-08-22
18.5,18.68,18.24,18.52,2018-08-21
18.4,18.74,18.26,18.3,2018-08-20
18.34,18.54,18.04,18.42,2018-08-17
18.0,18.52,18.0,18.3,2018-08-16
18.56,18.68,18.0,18.04,2018-08-15
19.06,19.06,18.32,18.44,2018-08-14
19.54,19.6,18.34,18.82,2018-08-13
20.0,20.05,19.6,19.74,2018-08-10
20.15,20.15,20.0,20.05,2018-08-09
20.2,20.5,20.1,20.15,2018-08-08
20.65,20.7,20.4,20.4,2018-08-07
20.25,20.65,20.25,20.6,2018-08-06
20.1,20.3,20.05,20.3,2018-08-03
20.3,20.35,20.2,20.3,2018-08-02
20.2,20.35,20.1,20.35,2018-08-01
20.6,20.6,20.1,20.1,2018-07-31
