open,high,low,close,date
1.95,1.995,1.95,1.95,2018-11-02
2.0,2.0,2.0,2.0,2018-11-01
1.975,1.975,1.95,1.95,2018-10-31
1.95,2.0,1.95,1.96,2018-10-30
1.95,1.995,1.95,1.95,2018-10-29
2.0,2.05,1.95,2.03,2018-10-26
2.06,2.06,2.0,2.01,2018-10-25
1.95,2.04,1.95,2.04,2018-10-24
2.0,2.0,2.0,2.0,2018-10-23
2.0,2.09,2.0,2.0,2018-10-22
2.01,2.05,1.95,2.0,2018-10-19
1.9,2.07,1.9,2.01,2018-10-18
1.955,2.07,1.955,2.07,2018-10-17
1.99,2.05,1.955,2.05,2018-10-16
2.05,2.1,1.995,1.995,2018-10-15
1.955,1.99,1.955,1.99,2018-10-12
2.11,2.11,1.95,2.11,2018-10-11
2.02,2.12,2.0,2.1,2018-10-10
2.05,2.13,2.01,2.13,2018-10-09
2.07,2.07,2.05,2.05,2018-10-08
2.07,2.07,2.07,2.07,2018-10-05
2.1,2.15,2.1,2.1,2018-10-04
2.16,2.16,2.04,2.04,2018-10-03
2.09,2.16,2.03,2.13,2018-10-02
2.06,2.07,2.06,2.06,2018-10-01
2.06,2.11,2.06,2.11,2018-09-28
2.08,2.18,2.07,2.18,2018-09-27
2.06,2.1,2.06,2.09,2018-09-26
2.01,2.19,2.01,2.07,2018-09-25
2.12,2.2,1.94,2.19,2018-09-24
2.09,2.2,2.09,2.1,2018-09-21
2.09,2.09,1.95,1.995,2018-09-20
2.05,2.09,2.04,2.09,2018-09-19
2.09,2.09,2.05,2.06,2018-09-18
2.03,2.09,2.03,2.06,2018-09-17
2.02,2.06,2.01,2.01,2018-09-14
2.05,2.09,2.0,2.02,2018-09-13
2.0,2.03,2.0,2.03,2018-09-12
2.0,2.04,2.0,2.01,2018-09-11
2.0,2.14,2.0,2.03,2018-09-10
2.05,2.09,1.95,2.0,2018-09-07
1.875,2.05,1.755,2.05,2018-09-06
2.14,2.14,1.865,1.885,2018-09-05
2.37,2.37,2.14,2.22,2018-09-04
2.33,2.33,2.33,2.33,2018-09-03
2.32,2.36,2.3,2.33,2018-08-31
2.6,2.74,2.38,2.38,2018-08-30
2.19,2.24,2.12,2.24,2018-08-29
2.13,2.16,2.12,2.15,2018-08-28
2.2,2.2,2.16,2.16,2018-08-27
2.19,2.23,2.13,2.2,2018-08-24
2.2,2.22,2.17,2.22,2018-08-23
2.23,2.23,2.13,2.2,2018-08-22
2.1,2.24,2.1,2.24,2018-08-21
1.98,2.18,1.96,2.18,2018-08-20
1.93,1.975,1.93,1.975,2018-08-17
1.975,1.975,1.9,1.97,2018-08-16
1.85,2.01,1.85,2.0,2018-08-15
1.805,1.83,1.77,1.8,2018-08-14
1.85,1.85,1.78,1.79,2018-08-13
1.745,1.85,1.74,1.85,2018-08-10
1.75,1.75,1.705,1.715,2018-08-09
1.74,1.745,1.7,1.705,2018-08-08
1.745,1.75,1.71,1.74,2018-08-07
1.62,1.745,1.62,1.745,2018-08-06
1.7,1.7,1.7,1.7,2018-08-03
1.765,1.765,1.675,1.695,2018-08-02
1.68,1.77,1.68,1.765,2018-08-01
1.68,1.755,1.67,1.68,2018-07-31
1.645,1.775,1.64,1.68,2018-07-30
1.655,1.655,1.635,1.635,2018-07-27
1.66,1.66,1.65,1.655,2018-07-26
1.67,1.67,1.66,1.66,2018-07-25
1.75,1.75,1.655,1.67,2018-07-24
1.65,1.68,1.65,1.655,2018-07-23
1.64,1.68,1.635,1.635,2018-07-20
1.64,1.66,1.635,1.66,2018-07-19
1.635,1.66,1.635,1.66,2018-07-18
1.66,1.7,1.66,1.7,2018-07-17
1.745,1.745,1.61,1.65,2018-07-16
1.745,1.825,1.745,1.8,2018-07-13
1.745,1.835,1.745,1.755,2018-07-12
1.84,1.84,1.71,1.82,2018-07-11
1.8,1.84,1.7,1.84,2018-07-10
1.77,1.8,1.655,1.795,2018-07-09
1.83,1.83,1.75,1.8,2018-07-06
1.75,1.85,1.7,1.83,2018-07-05
1.52,1.87,1.475,1.78,2018-07-04
1.41,1.615,1.41,1.59,2018-07-03
1.35,1.4,1.35,1.365,2018-07-02
1.35,1.35,1.35,1.35,2018-06-29
1.35,1.36,1.35,1.36,2018-06-28
1.35,1.35,1.35,1.35,2018-06-27
1.35,1.35,1.35,1.35,2018-06-26
1.35,1.35,1.35,1.35,2018-06-23
1.4,1.435,1.35,1.35,2018-06-22
1.4,1.4,1.4,1.4,2018-06-21
1.355,1.4,1.35,1.4,2018-06-20
1.355,1.355,1.35,1.35,2018-06-19
1.35,1.355,1.35,1.355,2018-06-18
1.35,1.4,1.35,1.4,2018-06-15
1.335,1.4,1.335,1.335,2018-06-14
1.335,1.4,1.335,1.395,2018-06-13
1.3,1.42,1.3,1.335,2018-06-12
1.325,1.365,1.255,1.265,2018-06-11
1.325,1.325,1.325,1.325,2018-06-08
1.34,1.38,1.325,1.325,2018-06-07
1.35,1.38,1.35,1.35,2018-06-06
1.35,1.35,1.35,1.35,2018-06-05
1.33,1.39,1.33,1.345,2018-06-04
1.39,1.39,1.305,1.325,2018-06-01
1.395,1.395,1.395,1.395,2018-05-31
1.33,1.33,1.32,1.32,2018-05-30
1.38,1.38,1.33,1.34,2018-05-29
1.36,1.36,1.34,1.34,2018-05-28
1.35,1.355,1.35,1.355,2018-05-25
1.345,1.35,1.34,1.35,2018-05-24
1.36,1.36,1.36,1.36,2018-05-23
1.365,1.365,1.36,1.36,2018-05-22
1.38,1.435,1.32,1.365,2018-05-21
1.4,1.445,1.4,1.4,2018-05-18
1.4,1.42,1.4,1.42,2018-05-17
1.32,1.445,1.32,1.4,2018-05-16
1.44,1.44,1.365,1.365,2018-05-15
1.45,1.45,1.34,1.43,2018-05-14
1.32,1.32,1.32,1.32,2018-05-08
1.32,1.325,1.32,1.325,2018-05-07
1.32,1.335,1.32,1.32,2018-05-04
1.31,1.36,1.31,1.36,2018-05-03
1.3,1.39,1.3,1.37,2018-05-02
1.35,1.35,1.3,1.3,2018-04-30
1.385,1.405,1.385,1.395,2018-04-27
1.385,1.39,1.38,1.38,2018-04-26
1.365,1.365,1.365,1.365,2018-04-24
1.335,1.4,1.335,1.4,2018-04-23
1.49,1.49,1.375,1.38,2018-04-20
1.37,1.37,1.36,1.37,2018-04-19
1.375,1.375,1.365,1.37,2018-04-18
1.335,1.49,1.335,1.365,2018-04-17
1.4,1.405,1.335,1.39,2018-04-16
1.435,1.53,1.435,1.5,2018-04-13
1.435,1.515,1.435,1.5,2018-04-12
1.415,1.515,1.415,1.45,2018-04-11
1.435,1.435,1.39,1.405,2018-04-10
1.5,1.5,1.405,1.405,2018-04-09
1.495,1.59,1.4,1.48,2018-04-06
1.365,1.47,1.365,1.47,2018-04-05
1.4,1.495,1.4,1.415,2018-04-04
1.385,1.505,1.38,1.49,2018-04-03
1.37,1.37,1.33,1.36,2018-03-29
1.37,1.37,1.37,1.37,2018-03-28
1.4,1.55,1.4,1.4,2018-03-27
1.37,1.45,1.355,1.37,2018-03-26
1.37,1.37,1.37,1.37,2018-03-23
1.37,1.37,1.37,1.37,2018-03-22
1.37,1.375,1.37,1.37,2018-03-21
1.38,1.38,1.38,1.38,2018-03-20
1.38,1.4,1.38,1.38,2018-03-19
1.38,1.4,1.38,1.4,2018-03-16
1.36,1.485,1.36,1.415,2018-03-15
1.5,1.505,1.365,1.365,2018-03-14
1.45,1.47,1.33,1.355,2018-03-13
1.4,1.45,1.4,1.45,2018-03-12
1.37,1.4,1.37,1.4,2018-03-09
1.37,1.4,1.37,1.4,2018-03-08
1.37,1.375,1.37,1.375,2018-03-07
1.37,1.4,1.37,1.37,2018-03-06
1.37,1.4,1.37,1.4,2018-03-05
1.37,1.37,1.37,1.37,2018-03-02
1.33,1.5,1.33,1.37,2018-03-01
1.29,1.29,1.29,1.29,2018-02-28
1.35,1.38,1.27,1.29,2018-02-27
1.31,1.325,1.265,1.325,2018-02-26
1.26,1.305,1.26,1.305,2018-02-23
1.255,1.265,1.255,1.265,2018-02-22
1.325,1.325,1.25,1.25,2018-02-21
1.295,1.3,1.25,1.3,2018-02-20
1.3,1.3,1.295,1.295,2018-02-19
1.25,1.3,1.25,1.295,2018-02-16
1.25,1.25,1.25,1.25,2018-02-15
1.255,1.26,1.255,1.26,2018-02-14
1.31,1.32,1.255,1.255,2018-02-12
1.26,1.26,1.245,1.25,2018-02-09
1.26,1.26,1.26,1.26,2018-02-08
1.26,1.265,1.26,1.265,2018-02-07
1.245,1.265,1.245,1.26,2018-02-06
1.32,1.325,1.3,1.3,2018-02-05
1.28,1.3,1.215,1.245,2018-02-02
1.265,1.33,1.265,1.33,2018-02-01
1.34,1.34,1.26,1.265,2018-01-31
1.395,1.395,1.255,1.3,2018-01-30
1.305,1.42,1.3,1.395,2018-01-29
1.35,1.415,1.35,1.37,2018-01-26
1.305,1.365,1.3,1.36,2018-01-25
1.29,1.365,1.29,1.295,2018-01-24
1.22,1.4,1.22,1.365,2018-01-23
1.25,1.29,1.22,1.29,2018-01-22
1.25,1.25,1.22,1.22,2018-01-19
1.22,1.25,1.22,1.25,2018-01-18
1.22,1.27,1.22,1.23,2018-01-17
1.28,1.28,1.23,1.23,2018-01-16
1.235,1.27,1.225,1.27,2018-01-15
1.205,1.245,1.2,1.245,2018-01-12
1.24,1.24,1.185,1.195,2018-01-11
1.2,1.235,1.2,1.23,2018-01-10
1.18,1.245,1.18,1.2,2018-01-09
1.175,1.2,1.175,1.2,2018-01-08
1.14,1.34,1.14,1.18,2018-01-05
1.2,1.3,1.14,1.165,2018-01-04
1.11,1.225,1.11,1.225,2018-01-03
1.1,1.11,1.1,1.11,2018-01-02
1.189,1.189,1.145,1.15,2017-12-29
1.144,1.15,1.144,1.146,2017-12-28
1.124,1.213,1.124,1.213,2017-12-27
1.12,1.18,1.12,1.144,2017-12-22
1.121,1.2,1.121,1.15,2017-12-21
1.2,1.2,1.17,1.17,2017-12-20
1.251,1.251,1.2,1.2,2017-12-19
1.105,1.2,1.105,1.2,2017-12-18
1.13,1.18,1.13,1.18,2017-12-15
1.2,1.2,1.151,1.151,2017-12-14
1.13,1.19,1.13,1.16,2017-12-13
1.11,1.16,1.11,1.13,2017-12-12
1.104,1.11,1.104,1.11,2017-12-11
1.12,1.19,1.104,1.15,2017-12-07
1.12,1.12,1.12,1.12,2017-12-06
1.12,1.2,1.12,1.2,2017-12-05
1.121,1.2,1.121,1.131,2017-12-04
1.104,1.2,1.104,1.2,2017-11-30
1.26,1.26,1.104,1.145,2017-11-29
1.282,1.282,1.22,1.22,2017-11-28
1.101,1.107,1.101,1.107,2017-11-27
1.171,1.173,1.117,1.126,2017-11-24
1.171,1.171,1.171,1.171,2017-11-23
1.17,1.172,1.17,1.172,2017-11-22
1.2,1.2,1.2,1.2,2017-11-21
1.211,1.25,1.202,1.202,2017-11-20
1.211,1.211,1.211,1.211,2017-11-17
1.23,1.25,1.211,1.212,2017-11-16
1.231,1.232,1.226,1.232,2017-11-15
1.213,1.33,1.213,1.217,2017-11-14
1.329,1.329,1.206,1.206,2017-11-13
1.202,1.329,1.202,1.329,2017-11-10
1.285,1.285,1.28,1.28,2017-11-09
1.27,1.344,1.27,1.285,2017-11-08
1.266,1.3,1.266,1.3,2017-11-07
1.32,1.35,1.25,1.35,2017-11-06
1.326,1.327,1.325,1.325,2017-11-03
1.32,1.409,1.32,1.325,2017-11-02
1.342,1.342,1.342,1.342,2017-11-01
1.338,1.4,1.338,1.338,2017-10-31
1.342,1.36,1.342,1.342,2017-10-30
1.462,1.462,1.334,1.336,2017-10-27
1.332,1.469,1.332,1.336,2017-10-26
1.324,1.332,1.324,1.332,2017-10-25
1.45,1.45,1.321,1.323,2017-10-24
1.32,1.486,1.32,1.322,2017-10-23
