open,high,low,close,date
0.769,0.769,0.76,0.761,2018-11-02
0.76,0.769,0.76,0.763,2018-11-01
0.74,0.77,0.74,0.77,2018-10-31
0.742,0.759,0.742,0.759,2018-10-30
0.74,0.749,0.733,0.733,2018-10-29
0.74,0.75,0.74,0.743,2018-10-26
0.74,0.75,0.736,0.75,2018-10-25
0.727,0.75,0.727,0.745,2018-10-24
0.742,0.742,0.726,0.734,2018-10-23
0.73,0.734,0.73,0.733,2018-10-22
0.73,0.734,0.73,0.734,2018-10-19
0.735,0.735,0.73,0.73,2018-10-18
0.726,0.733,0.716,0.73,2018-10-17
0.735,0.735,0.711,0.711,2018-10-16
0.722,0.73,0.717,0.717,2018-10-15
0.728,0.769,0.728,0.742,2018-10-12
0.765,0.799,0.72,0.72,2018-10-11
0.784,0.8,0.766,0.766,2018-10-10
0.724,0.804,0.712,0.8,2018-10-09
0.739,0.739,0.7,0.715,2018-10-08
0.69,0.717,0.69,0.7,2018-10-05
0.712,0.726,0.694,0.696,2018-10-04
0.712,0.712,0.7,0.71,2018-10-03
0.74,0.74,0.7,0.7,2018-10-02
0.745,0.745,0.725,0.74,2018-10-01
0.759,0.759,0.74,0.741,2018-09-28
0.76,0.76,0.745,0.748,2018-09-27
0.757,0.759,0.745,0.746,2018-09-26
0.758,0.758,0.74,0.756,2018-09-25
0.789,0.789,0.753,0.753,2018-09-24
0.79,0.791,0.766,0.766,2018-09-21
0.796,0.804,0.79,0.794,2018-09-20
0.799,0.81,0.795,0.796,2018-09-19
0.799,0.809,0.798,0.8,2018-09-18
0.81,0.81,0.795,0.797,2018-09-17
0.82,0.82,0.8,0.801,2018-09-14
0.818,0.82,0.809,0.82,2018-09-13
0.818,0.818,0.804,0.805,2018-09-12
0.803,0.816,0.8,0.81,2018-09-11
0.799,0.811,0.791,0.804,2018-09-10
0.8,0.806,0.79,0.8,2018-09-07
0.78,0.812,0.761,0.805,2018-09-06
0.828,0.839,0.804,0.807,2018-09-05
0.886,0.886,0.84,0.84,2018-09-04
0.886,0.886,0.856,0.874,2018-09-03
0.895,0.895,0.86,0.86,2018-08-31
0.882,0.884,0.873,0.873,2018-08-30
0.895,0.895,0.882,0.885,2018-08-29
0.87,0.895,0.87,0.894,2018-08-28
0.862,0.893,0.862,0.893,2018-08-27
0.893,0.893,0.877,0.885,2018-08-24
0.895,0.895,0.873,0.89,2018-08-23
0.88,0.895,0.872,0.891,2018-08-22
0.868,0.878,0.864,0.873,2018-08-21
0.868,0.871,0.866,0.871,2018-08-20
0.86,0.864,0.857,0.864,2018-08-17
0.86,0.868,0.86,0.868,2018-08-16
0.866,0.866,0.857,0.857,2018-08-15
0.86,0.879,0.857,0.857,2018-08-14
0.88,0.896,0.857,0.857,2018-08-13
0.865,0.882,0.865,0.872,2018-08-10
0.887,0.887,0.885,0.886,2018-08-09
0.9,0.9,0.889,0.889,2018-08-08
0.9,0.9,0.891,0.891,2018-08-07
0.895,0.896,0.894,0.894,2018-08-06
