open,high,low,close,date
2.05,2.08,2.04,2.05,2018-11-02
2.06,2.09,2.03,2.06,2018-11-01
2.1,2.12,2.06,2.09,2018-10-31
2.06,2.1,2.06,2.08,2018-10-30
2.12,2.12,2.07,2.08,2018-10-29
2.18,2.18,2.05,2.08,2018-10-26
2.09,2.27,2.09,2.16,2018-10-25
2.18,2.29,2.16,2.28,2018-10-24
2.12,2.16,2.1,2.16,2018-10-23
2.09,2.19,2.09,2.16,2018-10-22
2.19,2.19,2.13,2.18,2018-10-19
2.18,2.22,2.18,2.19,2018-10-18
2.18,2.18,2.15,2.18,2018-10-17
2.1,2.17,2.1,2.17,2018-10-16
2.14,2.15,2.07,2.08,2018-10-15
2.1,2.14,2.01,2.02,2018-10-12
2.1,2.14,2.06,2.09,2018-10-11
2.18,2.19,2.11,2.17,2018-10-10
2.16,2.24,2.16,2.21,2018-10-09
2.21,2.22,2.15,2.21,2018-10-08
2.26,2.26,2.26,2.26,2018-10-05
2.24,2.29,2.23,2.25,2018-10-04
2.21,2.29,2.2,2.23,2018-10-03
2.35,2.37,2.2,2.2,2018-10-02
2.36,2.36,2.27,2.33,2018-10-01
2.32,2.34,2.27,2.34,2018-09-28
2.32,2.33,2.32,2.32,2018-09-27
2.35,2.35,2.28,2.31,2018-09-26
2.31,2.35,2.31,2.32,2018-09-25
2.3,2.36,2.3,2.35,2018-09-24
2.39,2.39,2.33,2.33,2018-09-21
2.36,2.4,2.34,2.39,2018-09-20
2.41,2.41,2.4,2.4,2018-09-19
2.4,2.41,2.35,2.4,2018-09-18
2.33,2.41,2.33,2.38,2018-09-17
2.38,2.4,2.33,2.39,2018-09-14
2.34,2.38,2.32,2.36,2018-09-13
2.3,2.38,2.28,2.35,2018-09-12
2.38,2.38,2.3,2.33,2018-09-11
2.37,2.41,2.36,2.41,2018-09-10
2.34,2.36,2.3,2.3,2018-09-07
2.32,2.36,2.31,2.32,2018-09-06
2.32,2.32,2.31,2.31,2018-09-05
2.49,2.49,2.33,2.35,2018-09-04
2.49,2.6,2.49,2.52,2018-08-31
2.54,2.54,2.46,2.54,2018-08-30
2.38,2.56,2.38,2.51,2018-08-29
2.31,2.48,2.31,2.4,2018-08-28
2.3,2.32,2.27,2.32,2018-08-27
2.26,2.31,2.26,2.31,2018-08-24
2.26,2.29,2.25,2.25,2018-08-23
2.27,2.27,2.25,2.26,2018-08-22
2.28,2.29,2.26,2.26,2018-08-21
2.3,2.32,2.28,2.29,2018-08-20
2.28,2.31,2.25,2.27,2018-08-17
2.27,2.35,2.26,2.35,2018-08-16
2.32,2.34,2.26,2.27,2018-08-15
2.34,2.34,2.3,2.34,2018-08-14
2.33,2.38,2.3,2.32,2018-08-13
2.33,2.38,2.33,2.35,2018-08-10
2.37,2.38,2.33,2.38,2018-08-09
2.31,2.39,2.31,2.38,2018-08-08
2.25,2.31,2.24,2.31,2018-08-07
2.26,2.33,2.23,2.26,2018-08-06
2.31,2.35,2.26,2.3,2018-08-03
2.39,2.39,2.31,2.32,2018-08-02
2.44,2.45,2.36,2.36,2018-08-01
2.54,2.57,2.43,2.48,2018-07-31
2.47,2.77,2.45,2.57,2018-07-30
2.29,2.32,2.24,2.32,2018-07-27
2.29,2.31,2.24,2.29,2018-07-26
2.25,2.32,2.25,2.26,2018-07-25
2.25,2.32,2.25,2.32,2018-07-24
2.28,2.32,2.28,2.32,2018-07-23
2.25,2.29,2.25,2.28,2018-07-20
2.28,2.28,2.24,2.24,2018-07-19
2.3,2.32,2.25,2.29,2018-07-18
2.28,2.35,2.28,2.3,2018-07-17
2.34,2.34,2.28,2.29,2018-07-16
2.36,2.39,2.34,2.34,2018-07-13
2.33,2.36,2.3,2.35,2018-07-12
2.29,2.34,2.29,2.33,2018-07-11
2.41,2.43,2.31,2.37,2018-07-10
2.39,2.42,2.36,2.42,2018-07-09
2.23,2.48,2.23,2.36,2018-07-06
2.11,2.29,2.1,2.26,2018-07-05
2.09,2.17,2.09,2.11,2018-07-04
2.23,2.24,2.01,2.13,2018-07-03
2.31,2.31,2.21,2.23,2018-07-02
2.4,2.41,2.31,2.35,2018-06-29
2.4,2.43,2.4,2.41,2018-06-28
2.46,2.47,2.41,2.41,2018-06-27
2.51,2.52,2.45,2.47,2018-06-26
2.61,2.61,2.5,2.5,2018-06-25
