open,high,low,close,date
0.178,0.178,0.171,0.174,2018-11-02
0.177,0.1785,0.1715,0.177,2018-11-01
0.175,0.1845,0.175,0.177,2018-10-31
0.172,0.176,0.172,0.175,2018-10-30
0.174,0.177,0.1715,0.1715,2018-10-29
0.177,0.177,0.17,0.172,2018-10-26
0.171,0.177,0.171,0.177,2018-10-25
0.175,0.175,0.17,0.171,2018-10-24
0.172,0.1765,0.167,0.173,2018-10-23
0.1765,0.1765,0.172,0.173,2018-10-22
0.18,0.181,0.1765,0.1765,2018-10-19
0.18,0.182,0.179,0.179,2018-10-18
0.182,0.1845,0.1735,0.18,2018-10-17
0.1765,0.182,0.1745,0.1805,2018-10-16
0.18,0.181,0.1735,0.179,2018-10-15
0.184,0.184,0.166,0.1775,2018-10-12
0.174,0.1795,0.173,0.1795,2018-10-11
0.187,0.1895,0.174,0.177,2018-10-10
0.1905,0.192,0.186,0.187,2018-10-09
0.19,0.192,0.1875,0.19,2018-10-08
0.195,0.196,0.19,0.19,2018-10-05
0.1825,0.195,0.182,0.195,2018-10-04
0.19,0.1925,0.178,0.1845,2018-10-03
0.191,0.1975,0.1835,0.185,2018-10-02
0.207,0.21,0.192,0.195,2018-10-01
0.206,0.212,0.205,0.208,2018-09-28
0.212,0.212,0.207,0.21,2018-09-27
0.196,0.212,0.196,0.212,2018-09-26
0.202,0.204,0.186,0.2,2018-09-25
0.208,0.21,0.202,0.202,2018-09-24
0.213,0.213,0.205,0.208,2018-09-21
0.208,0.211,0.208,0.21,2018-09-20
0.21,0.214,0.202,0.209,2018-09-19
0.214,0.217,0.21,0.211,2018-09-18
0.219,0.219,0.215,0.217,2018-09-17
0.221,0.222,0.207,0.219,2018-09-14
0.223,0.223,0.216,0.222,2018-09-13
0.223,0.226,0.212,0.22,2018-09-12
0.223,0.229,0.215,0.224,2018-09-11
0.225,0.232,0.225,0.226,2018-09-10
0.235,0.235,0.224,0.231,2018-09-07
0.239,0.239,0.235,0.236,2018-09-06
0.242,0.242,0.236,0.238,2018-09-05
0.253,0.253,0.237,0.24,2018-09-04
0.258,0.268,0.248,0.248,2018-09-03
0.241,0.253,0.239,0.252,2018-08-31
0.238,0.242,0.237,0.242,2018-08-30
0.239,0.24,0.237,0.238,2018-08-29
0.238,0.243,0.233,0.239,2018-08-28
0.237,0.237,0.232,0.237,2018-08-27
0.238,0.239,0.234,0.234,2018-08-24
0.237,0.239,0.235,0.237,2018-08-23
0.236,0.237,0.235,0.235,2018-08-22
0.236,0.238,0.236,0.237,2018-08-21
0.238,0.238,0.235,0.235,2018-08-20
0.235,0.238,0.232,0.238,2018-08-17
0.234,0.236,0.233,0.234,2018-08-16
0.234,0.237,0.233,0.233,2018-08-15
0.238,0.238,0.233,0.234,2018-08-14
0.239,0.24,0.233,0.233,2018-08-13
0.243,0.244,0.24,0.24,2018-08-10
0.242,0.245,0.24,0.242,2018-08-09
0.236,0.244,0.235,0.244,2018-08-08
0.236,0.238,0.231,0.237,2018-08-07
0.236,0.238,0.235,0.238,2018-08-06
0.238,0.238,0.236,0.236,2018-08-03
0.238,0.241,0.236,0.241,2018-08-02
0.237,0.239,0.237,0.238,2018-08-01
0.238,0.239,0.237,0.237,2018-07-31
0.237,0.242,0.237,0.237,2018-07-30
0.237,0.24,0.235,0.236,2018-07-27
0.24,0.241,0.238,0.238,2018-07-26
0.244,0.245,0.24,0.243,2018-07-25
0.244,0.247,0.241,0.241,2018-07-24
0.237,0.242,0.237,0.242,2018-07-23
0.24,0.241,0.236,0.236,2018-07-20
0.241,0.243,0.241,0.241,2018-07-19
0.245,0.246,0.24,0.24,2018-07-18
0.238,0.246,0.236,0.242,2018-07-17
0.237,0.239,0.236,0.237,2018-07-16
0.241,0.241,0.236,0.236,2018-07-13
0.24,0.243,0.24,0.241,2018-07-12
0.246,0.246,0.232,0.238,2018-07-11
0.246,0.252,0.244,0.244,2018-07-10
0.242,0.25,0.242,0.25,2018-07-09
0.241,0.246,0.239,0.241,2018-07-06
0.229,0.24,0.229,0.24,2018-07-05
0.233,0.238,0.228,0.23,2018-07-04
0.243,0.244,0.224,0.231,2018-07-03
0.25,0.255,0.235,0.243,2018-07-02
0.252,0.263,0.25,0.251,2018-06-29
0.244,0.248,0.244,0.245,2018-06-28
0.248,0.251,0.242,0.248,2018-06-27
0.249,0.253,0.248,0.251,2018-06-26
0.25,0.254,0.245,0.248,2018-06-25
0.257,0.257,0.257,0.257,2018-06-23
0.256,0.259,0.253,0.257,2018-06-22
0.253,0.254,0.252,0.252,2018-06-21
0.253,0.254,0.251,0.251,2018-06-20
0.253,0.255,0.25,0.252,2018-06-19
0.255,0.255,0.252,0.253,2018-06-18
0.258,0.26,0.255,0.255,2018-06-15
0.251,0.262,0.25,0.26,2018-06-14
0.252,0.252,0.25,0.251,2018-06-13
0.251,0.252,0.25,0.25,2018-06-12
0.25,0.254,0.25,0.25,2018-06-11
0.252,0.257,0.252,0.254,2018-06-08
0.254,0.258,0.253,0.255,2018-06-07
0.26,0.263,0.25,0.253,2018-06-06
0.263,0.263,0.26,0.26,2018-06-05
0.26,0.262,0.258,0.258,2018-06-04
0.264,0.264,0.255,0.258,2018-06-01
0.258,0.263,0.258,0.258,2018-05-31
0.248,0.259,0.248,0.259,2018-05-30
0.258,0.258,0.244,0.25,2018-05-29
0.268,0.269,0.26,0.26,2018-05-28
0.262,0.262,0.26,0.261,2018-05-25
0.262,0.265,0.26,0.26,2018-05-24
0.265,0.266,0.261,0.261,2018-05-23
0.261,0.267,0.26,0.265,2018-05-22
0.261,0.265,0.261,0.261,2018-05-21
0.263,0.263,0.261,0.261,2018-05-18
