open,high,low,close,date
1.5,1.5,1.5,1.5,2018-11-02
1.75,1.75,1.75,1.75,2018-11-01
1.75,1.75,1.75,1.75,2018-10-30
1.75,1.75,1.75,1.75,2018-10-25
1.79,1.79,1.79,1.79,2018-10-18
1.73,1.73,1.72,1.72,2018-10-17
1.73,1.73,1.73,1.73,2018-10-16
1.74,1.75,1.74,1.75,2018-10-12
1.73,1.73,1.73,1.73,2018-10-11
1.77,1.77,1.77,1.77,2018-10-08
1.75,1.75,1.75,1.75,2018-10-02
1.8,1.8,1.8,1.8,2018-10-01
1.75,1.79,1.75,1.79,2018-09-28
1.75,1.75,1.75,1.75,2018-09-27
1.75,1.75,1.75,1.75,2018-09-26
1.75,1.8,1.75,1.8,2018-09-21
1.8,1.8,1.8,1.8,2018-09-20
1.8,1.8,1.8,1.8,2018-09-19
1.8,1.8,1.8,1.8,2018-09-17
1.8,1.8,1.8,1.8,2018-09-14
1.74,1.74,1.74,1.74,2018-09-13
1.8,1.8,1.8,1.8,2018-09-12
0.185,0.185,0.185,0.185,2018-09-11
0.185,0.185,0.185,0.185,2018-09-10
0.185,0.185,0.185,0.185,2018-09-07
0.17,0.17,0.17,0.17,2018-09-06
0.18,0.18,0.18,0.18,2018-09-05
0.18,0.18,0.18,0.18,2018-09-04
0.18,0.18,0.18,0.18,2018-09-03
0.175,0.175,0.175,0.175,2018-08-31
0.161,0.161,0.161,0.161,2018-08-30
0.17,0.17,0.17,0.17,2018-08-29
0.168,0.168,0.168,0.168,2018-08-28
0.161,0.161,0.161,0.161,2018-08-23
0.167,0.167,0.167,0.167,2018-08-22
0.168,0.168,0.168,0.168,2018-08-21
0.168,0.168,0.168,0.168,2018-08-16
0.168,0.168,0.168,0.168,2018-08-09
0.168,0.168,0.168,0.168,2018-08-08
0.175,0.175,0.175,0.175,2018-08-03
0.175,0.175,0.175,0.175,2018-08-02
0.161,0.168,0.161,0.168,2018-08-01
0.167,0.167,0.167,0.167,2018-07-30
0.167,0.167,0.167,0.167,2018-07-27
0.168,0.168,0.168,0.168,2018-07-26
0.168,0.168,0.168,0.168,2018-07-24
0.17,0.17,0.17,0.17,2018-07-23
0.17,0.17,0.17,0.17,2018-07-20
0.17,0.17,0.17,0.17,2018-07-19
0.171,0.171,0.17,0.17,2018-07-18
0.175,0.175,0.175,0.175,2018-07-17
0.174,0.174,0.174,0.174,2018-07-16
0.169,0.169,0.169,0.169,2018-07-12
0.169,0.169,0.169,0.169,2018-07-10
0.174,0.174,0.173,0.173,2018-07-09
0.15,0.15,0.15,0.15,2018-07-06
0.169,0.169,0.169,0.169,2018-07-05
0.169,0.169,0.169,0.169,2018-07-04
0.169,0.169,0.169,0.169,2018-07-03
0.17,0.17,0.17,0.17,2018-07-02
0.17,0.17,0.17,0.17,2018-06-29
0.17,0.17,0.17,0.17,2018-06-27
0.175,0.175,0.175,0.175,2018-06-25
0.169,0.169,0.169,0.169,2018-06-23
0.169,0.169,0.169,0.169,2018-06-22
0.17,0.17,0.17,0.17,2018-06-21
0.175,0.175,0.175,0.175,2018-06-20
0.173,0.173,0.173,0.173,2018-06-19
0.17,0.17,0.17,0.17,2018-06-18
0.175,0.175,0.175,0.175,2018-06-15
0.169,0.17,0.169,0.17,2018-06-14
0.169,0.169,0.169,0.169,2018-06-11
0.169,0.169,0.169,0.169,2018-06-08
0.169,0.169,0.169,0.169,2018-06-07
0.172,0.172,0.172,0.172,2018-06-06
0.174,0.174,0.172,0.172,2018-06-05
0.17,0.174,0.17,0.174,2018-06-04
0.171,0.171,0.171,0.171,2018-06-01
0.171,0.171,0.171,0.171,2018-05-31
0.17,0.17,0.17,0.17,2018-05-30
0.17,0.17,0.17,0.17,2018-05-29
0.17,0.17,0.162,0.162,2018-05-28
0.169,0.17,0.169,0.17,2018-05-25
0.167,0.169,0.167,0.169,2018-05-24
0.167,0.167,0.167,0.167,2018-05-22
0.16,0.167,0.16,0.167,2018-05-17
0.16,0.16,0.16,0.16,2018-05-16
0.165,0.165,0.16,0.16,2018-05-15
0.166,0.166,0.166,0.166,2018-05-14
0.165,0.165,0.165,0.165,2018-05-07
0.166,0.166,0.166,0.166,2018-05-04
0.165,0.166,0.165,0.166,2018-05-03
0.16,0.165,0.16,0.165,2018-05-02
0.167,0.167,0.155,0.155,2018-04-30
0.167,0.167,0.167,0.167,2018-04-27
0.167,0.167,0.165,0.165,2018-04-26
0.168,0.168,0.168,0.168,2018-04-25
0.168,0.168,0.165,0.165,2018-04-24
0.165,0.168,0.165,0.168,2018-04-23
0.17,0.17,0.165,0.165,2018-04-20
0.169,0.169,0.168,0.168,2018-04-19
0.169,0.169,0.169,0.169,2018-04-18
0.169,0.169,0.169,0.169,2018-04-17
0.16,0.169,0.16,0.169,2018-04-16
0.17,0.17,0.169,0.169,2018-04-13
0.165,0.165,0.165,0.165,2018-04-12
0.16,0.16,0.16,0.16,2018-04-10
0.165,0.165,0.165,0.165,2018-04-09
0.175,0.175,0.175,0.175,2018-04-06
0.168,0.168,0.168,0.168,2018-04-05
0.17,0.17,0.165,0.165,2018-04-04
0.165,0.165,0.165,0.165,2018-03-29
0.17,0.17,0.17,0.17,2018-03-28
0.17,0.17,0.17,0.17,2018-03-27
0.165,0.168,0.165,0.168,2018-03-26
0.158,0.158,0.158,0.158,2018-03-23
0.168,0.168,0.168,0.168,2018-03-22
0.168,0.168,0.165,0.165,2018-03-21
0.168,0.168,0.168,0.168,2018-03-20
0.15,0.155,0.15,0.155,2018-03-19
0.15,0.15,0.15,0.15,2018-03-16
0.18,0.18,0.175,0.175,2018-03-15
0.16,0.17,0.16,0.17,2018-03-14
0.15,0.15,0.15,0.15,2018-03-13
0.15,0.15,0.15,0.15,2018-03-12
0.146,0.146,0.146,0.146,2018-03-08
0.143,0.143,0.143,0.143,2018-03-07
0.14,0.14,0.14,0.14,2018-03-05
0.135,0.141,0.135,0.141,2018-03-02
0.139,0.139,0.139,0.139,2018-03-01
0.139,0.139,0.139,0.139,2018-02-28
0.143,0.143,0.143,0.143,2018-02-27
0.143,0.143,0.142,0.142,2018-02-22
0.14,0.14,0.14,0.14,2018-02-16
0.14,0.14,0.14,0.14,2018-02-12
0.147,0.147,0.147,0.147,2018-02-09
0.143,0.143,0.135,0.135,2018-02-07
0.135,0.141,0.135,0.141,2018-02-06
0.14,0.14,0.14,0.14,2018-02-05
0.143,0.143,0.143,0.143,2018-02-02
0.134,0.143,0.134,0.143,2018-02-01
0.147,0.147,0.147,0.147,2018-01-30
0.14,0.14,0.14,0.14,2018-01-29
0.14,0.14,0.14,0.14,2018-01-24
0.14,0.14,0.14,0.14,2018-01-23
0.141,0.141,0.141,0.141,2018-01-22
0.14,0.14,0.14,0.14,2018-01-18
0.14,0.14,0.14,0.14,2018-01-17
0.14,0.149,0.14,0.149,2018-01-16
0.14,0.14,0.14,0.14,2018-01-15
0.14,0.14,0.14,0.14,2018-01-12
0.15,0.15,0.15,0.15,2018-01-11
0.14,0.14,0.14,0.14,2018-01-10
0.15,0.15,0.15,0.15,2018-01-09
0.15,0.15,0.15,0.15,2018-01-08
0.14,0.15,0.14,0.15,2018-01-05
0.15,0.15,0.15,0.15,2018-01-02
0.15,0.15,0.15,0.15,2017-12-29
0.14,0.15,0.14,0.15,2017-12-28
0.13,0.14,0.13,0.14,2017-12-27
0.14,0.14,0.14,0.14,2017-12-22
0.15,0.15,0.14,0.14,2017-12-21
0.15,0.15,0.15,0.15,2017-12-20
0.14,0.14,0.14,0.14,2017-12-19
