,altr:pl
2018-11-23,6.6
2018-11-22,6.81
2018-11-21,6.95
2018-11-20,6.85
2018-11-19,6.99
2018-11-16,6.99
2018-11-15,6.94
2018-11-14,7.09
2018-11-13,7.17
2018-11-12,7.11
2018-11-09,7.34
2018-11-08,7.47
2018-11-07,7.44
2018-11-06,7.27
2018-11-05,7.34
2018-11-02,7.45
2018-11-01,7.66
2018-10-31,7.75
2018-10-30,7.74
2018-10-29,7.63
2018-10-26,7.56
2018-10-25,7.56
2018-10-24,6.98
2018-10-23,7.14
2018-10-22,7.44
2018-10-19,7.4
2018-10-18,7.29
2018-10-17,7.34
2018-10-16,7.59
2018-10-15,7.47
2018-10-12,7.73
2018-10-11,7.46
2018-10-10,7.82
2018-10-09,8.77
2018-10-08,8.65
2018-10-05,8.83
2018-10-04,8.61
2018-10-03,8.19
2018-10-02,8.24
2018-10-01,8.28
2018-09-28,8.26
2018-09-27,8.33
2018-09-26,8.36
2018-09-25,8.38
2018-09-24,8.3
2018-09-21,8.16
2018-09-20,8.22
2018-09-19,8.3
2018-09-18,8.39
2018-09-17,8.13
2018-09-14,8.05
2018-09-13,8.02
2018-09-12,7.98
2018-09-11,7.83
2018-09-10,7.82
2018-09-07,7.73
2018-09-06,7.71
2018-09-05,7.74
2018-09-04,7.88
2018-09-03,7.97
2018-08-31,7.96
2018-08-30,8.07
2018-08-29,8.22
2018-08-28,8.31
2018-08-27,8.3
2018-08-24,8.31
2018-08-23,8.34
2018-08-22,8.37
2018-08-21,8.23
2018-08-20,8.28
2018-08-17,8.35
2018-08-16,8.4
2018-08-15,8.26
2018-08-14,8.57
2018-08-13,8.67
2018-08-10,8.97
2018-08-09,8.97
2018-08-08,8.88
2018-08-07,8.89
2018-08-06,8.88
2018-08-03,8.71
2018-08-02,8.68
2018-08-01,8.8
2018-07-31,8.75
2018-07-30,8.88
2018-07-27,8.87
2018-07-26,8.96
2018-07-25,8.79
2018-07-24,8.82
2018-07-23,8.81
2018-07-20,8.93
2018-07-19,9.09
2018-07-18,9.03
2018-07-17,9.07
2018-07-16,9.03
2018-07-13,9.1
2018-07-12,9.13
2018-07-11,9.06
2018-07-10,8.97
2018-07-09,8.73
2018-07-06,8.64
2018-07-05,8.58
2018-07-04,8.6
2018-07-03,8.56
2018-07-02,8.57
2018-06-29,8.65
2018-06-28,8.78
2018-06-27,8.78
2018-06-26,8.65
2018-06-25,8.55
2018-06-23,8.61
2018-06-22,8.61
2018-06-21,8.19
2018-06-20,8.16
