,bcp:pl
2018-11-23,0.2361
2018-11-22,0.2355
2018-11-21,0.2404
2018-11-20,0.2414
2018-11-19,0.248
2018-11-16,0.2465
2018-11-15,0.25
2018-11-14,0.2508
2018-11-13,0.2511
2018-11-12,0.2535
2018-11-09,0.2567
2018-11-08,0.2476
2018-11-07,0.2485
2018-11-06,0.2446
2018-11-05,0.2433
2018-11-02,0.2428
2018-11-01,0.2399
2018-10-31,0.2382
2018-10-30,0.229
2018-10-29,0.2202
2018-10-26,0.2171
2018-10-25,0.2234
2018-10-24,0.2182
2018-10-23,0.2228
2018-10-22,0.2251
2018-10-19,0.224
2018-10-18,0.228
2018-10-17,0.2345
2018-10-16,0.234
2018-10-15,0.2344
2018-10-12,0.2278
2018-10-11,0.2267
2018-10-10,0.2266
2018-10-09,0.2265
2018-10-08,0.224
2018-10-05,0.2336
2018-10-04,0.2399
2018-10-03,0.2453
2018-10-02,0.2445
2018-10-01,0.2488
2018-09-28,0.255
2018-09-27,0.2642
2018-09-26,0.2625
2018-09-25,0.2608
2018-09-24,0.2533
2018-09-21,0.251
2018-09-20,0.2537
2018-09-19,0.2534
2018-09-18,0.2494
2018-09-17,0.2454
2018-09-14,0.2367
2018-09-13,0.2398
2018-09-12,0.2411
2018-09-11,0.2458
2018-09-10,0.2469
2018-09-07,0.2433
2018-09-06,0.25
2018-09-05,0.2519
2018-09-04,0.2502
2018-08-31,0.2508
2018-08-30,0.2532
2018-08-29,0.2553
2018-08-28,0.2556
2018-08-27,0.2551
2018-08-24,0.2547
2018-08-23,0.2559
2018-08-22,0.2568
2018-08-21,0.252
2018-08-20,0.253
2018-08-17,0.2503
2018-08-16,0.2556
2018-08-15,0.2516
2018-08-14,0.257
2018-08-13,0.26
2018-08-10,0.264
2018-08-09,0.2634
2018-08-08,0.2617
2018-08-07,0.2625
2018-08-06,0.2596
2018-08-03,0.2617
2018-08-02,0.265
2018-08-01,0.2695
2018-07-31,0.2684
2018-07-30,0.2659
2018-07-27,0.268
2018-07-26,0.2685
2018-07-25,0.2674
2018-07-24,0.2672
2018-07-23,0.2708
2018-07-20,0.2641
2018-07-19,0.2622
2018-07-18,0.2621
2018-07-17,0.2611
2018-07-16,0.2596
2018-07-13,0.2594
2018-07-12,0.2582
2018-07-11,0.2581
2018-07-10,0.2574
2018-07-09,0.2594
2018-07-06,0.2576
2018-07-05,0.26
2018-07-04,0.2561
2018-07-03,0.2534
2018-07-02,0.2542
2018-06-29,0.2574
2018-06-28,0.2551
2018-06-27,0.2595
2018-06-26,0.2633
2018-06-25,0.2654
2018-06-23,0.2689
2018-06-22,0.2689
2018-06-21,0.267
2018-06-20,0.2714
2018-06-19,0.2682
2018-06-18,0.265
2018-06-15,0.2658
2018-06-14,0.2741
2018-06-13,0.274
2018-06-12,0.2745
2018-06-11,0.2737
2018-06-08,0.2654
2018-06-07,0.2705
2018-06-06,0.269
2018-06-05,0.2683
2018-06-04,0.2672
2018-06-01,0.2636
2018-05-31,0.2512
2018-05-30,0.2466
2018-05-29,0.2392
2018-05-28,0.2603
2018-05-25,0.2693
2018-05-24,0.2762
2018-05-23,0.2812
2018-05-22,0.2825
2018-05-21,0.2773
2018-05-18,0.274
2018-05-17,0.2859
2018-05-16,0.2816
2018-05-15,0.2863
2018-05-14,0.2943
2018-05-11,0.2984
2018-05-10,0.294
2018-05-09,0.2967
2018-05-08,0.2912
2018-04-27,0.2818
2018-04-26,0.2795
2018-04-25,0.2885
2018-04-24,0.2918
2018-04-23,0.2909
2018-04-20,0.2888
2018-04-19,0.2854
2018-04-18,0.2833
2018-04-17,0.2808
2018-04-16,0.2811
2018-04-13,0.28
2018-04-12,0.2816
2018-04-11,0.2733
2018-04-10,0.2755
2018-04-09,0.2726
2018-04-06,0.2708
2018-04-05,0.2769
2018-04-04,0.2634
2018-04-03,0.266
2018-03-29,0.272
2018-03-28,0.2687
2018-03-27,0.2762
2018-03-26,0.2741
2018-03-23,0.2754
2018-03-22,0.2767
2018-03-21,0.2798
2018-03-20,0.2807
2018-03-19,0.28
2018-03-16,0.2782
2018-03-15,0.2858
2018-03-14,0.2861
2018-03-13,0.291
2018-03-12,0.2851
2018-03-09,0.2892
2018-03-08,0.2925
2018-03-07,0.291
2018-03-06,0.2954
2018-03-05,0.302
2018-03-02,0.3121
2018-03-01,0.2987
2018-02-28,0.295
2018-02-27,0.2915
2018-02-26,0.2859
2018-02-23,0.2861
2018-02-22,0.2895
2018-02-21,0.2955
2018-02-20,0.2936
2018-02-19,0.2945
2018-02-16,0.3054
2018-02-15,0.3095
2018-02-14,0.3048
2018-02-13,0.2948
2018-02-12,0.2963
2018-02-09,0.2894
2018-02-08,0.2988
2018-02-07,0.305
2018-02-06,0.2925
2018-02-05,0.2987
2018-02-02,0.3042
2018-02-01,0.3102
2018-01-31,0.3221
2018-01-30,0.3245
2018-01-29,0.3295
2018-01-26,0.3324
2018-01-25,0.3292
2018-01-24,0.3265
2018-01-23,0.3339
2018-01-22,0.3199
2018-01-19,0.3045
2018-01-18,0.3034
2018-01-17,0.2924
2018-01-16,0.2891
2018-01-15,0.291
2018-01-12,0.2959
2018-01-11,0.3008
2018-01-10,0.3025
2018-01-09,0.3027
2018-01-08,0.3008
2018-01-05,0.2977
2018-01-04,0.2985
2018-01-03,0.2875
2018-01-02,0.28
2017-12-29,0.272
2017-12-28,0.2702
2017-12-27,0.2697
2017-12-22,0.27
2017-12-21,0.2705
2017-12-20,0.2702
2017-12-19,0.2695
2017-12-18,0.2653
2017-12-15,0.263
2017-12-14,0.26
2017-12-13,0.2603
2017-12-12,0.2609
2017-12-11,0.2585
2017-12-08,0.2603
2017-12-07,0.2622
2017-12-06,0.2612
2017-12-05,0.2663
2017-12-04,0.2599
2017-12-01,0.2581
2017-11-30,0.2575
2017-11-29,0.255
2017-11-28,0.2421
2017-11-27,0.2458
2017-11-24,0.2493
2017-11-23,0.249
2017-11-22,0.249
2017-11-21,0.2508
2017-11-20,0.2517
2017-11-17,0.254
2017-11-16,0.2537
2017-11-15,0.2522
2017-11-14,0.2509
2017-11-13,0.2523
2017-11-10,0.2495
2017-11-09,0.2453
2017-11-08,0.2464
2017-11-07,0.2527
2017-11-06,0.2552
2017-11-03,0.2545
2017-11-02,0.2556
2017-11-01,0.2538
2017-10-31,0.2565
2017-10-30,0.255
2017-10-27,0.2475
2017-10-26,0.2499
2017-10-25,0.2497
2017-10-24,0.2531
2017-10-23,0.255
2017-10-20,0.2592
2017-10-19,0.2569
2017-10-18,0.2571
2017-10-17,0.256
2017-10-16,0.2572
2017-10-13,0.2513
2017-10-12,0.2462
2017-10-11,0.2465
2017-10-10,0.2415
2017-10-09,0.2479
2017-10-06,0.2442
2017-10-05,0.2449
2017-10-04,0.2401
2017-10-03,0.245
2017-10-02,0.246
2017-09-29,0.2453
2017-09-28,0.244
2017-09-27,0.2398
2017-09-26,0.2304
2017-09-25,0.2274
2017-09-22,0.2312
2017-09-21,0.231
2017-09-20,0.228
2017-09-19,0.2322
2017-09-18,0.2265
2017-09-15,0.2145
2017-09-14,0.2157
2017-09-13,0.2138
2017-09-12,0.21
2017-09-11,0.2019
2017-09-08,0.2117
2017-09-07,0.1995
2017-09-06,0.2148
2017-09-05,0.2151
2017-09-04,0.223
2017-09-01,0.2265
2017-08-31,0.2234
2017-08-30,0.2163
2017-08-29,0.22
2017-08-28,0.222
2017-08-25,0.2258
2017-08-24,0.23
2017-08-23,0.2263
2017-08-22,0.227
2017-08-21,0.2285
2017-08-18,0.23
2017-08-17,0.2349
2017-08-16,0.2377
2017-08-15,0.2388
2017-08-14,0.2404
2017-08-11,0.232
2017-08-10,0.2355
2017-08-09,0.234
2017-08-08,0.238
2017-08-07,0.2386
2017-08-04,0.2367
2017-08-03,0.2292
2017-08-02,0.2385
2017-08-01,0.245
2017-07-31,0.2414
2017-07-28,0.2411
2017-07-27,0.2529
2017-07-26,0.2502
2017-07-25,0.2535
2017-07-24,0.2512
2017-07-21,0.2493
2017-07-20,0.251
2017-07-19,0.2462
2017-07-18,0.251
2017-07-17,0.2445
2017-07-14,0.2514
2017-07-13,0.2588
2017-07-12,0.2435
2017-07-11,0.2419
2017-07-10,0.2392
2017-07-07,0.2388
2017-07-06,0.2405
2017-07-05,0.2421
2017-07-04,0.242
2017-07-03,0.2405
2017-06-30,0.2357
2017-06-29,0.2332
2017-06-28,0.238
2017-06-27,0.2355
2017-06-26,0.2362
2017-06-23,0.2314
2017-06-22,0.2365
2017-06-21,0.237
2017-06-20,0.24
2017-06-19,0.2421
2017-06-16,0.2374
2017-06-15,0.2378
2017-06-14,0.2394
2017-06-13,0.2388
2017-06-12,0.238
2017-06-09,0.2341
2017-06-08,0.2245
2017-06-07,0.2279
2017-06-06,0.2341
2017-06-05,0.2362
2017-06-02,0.238
2017-06-01,0.2308
2017-05-31,0.2294
2017-05-30,0.2317
2017-05-29,0.228
2017-05-26,0.2285
2017-05-25,0.2299
2017-05-24,0.222
2017-05-23,0.2173
2017-05-22,0.2129
2017-05-19,0.2143
2017-05-18,0.2149
2017-05-17,0.2103
2017-05-16,0.2129
2017-05-15,0.2207
2017-05-12,0.22
2017-05-11,0.2253
2017-05-10,0.226
2017-05-09,0.2265
2017-05-08,0.2246
2017-05-05,0.23
2017-05-04,0.226
2017-05-03,0.2147
2017-05-02,0.2137
2017-04-28,0.2048
2017-04-27,0.2014
2017-04-26,0.204
2017-04-25,0.2063
2017-04-24,0.198
2017-04-21,0.1875
2017-04-20,0.187
2017-04-19,0.1889
2017-04-18,0.1785
2017-04-13,0.1779
2017-04-12,0.18
2017-04-11,0.1801
2017-04-10,0.1799
2017-04-07,0.1805
2017-04-06,0.1845
2017-04-05,0.1819
2017-04-04,0.1811
2017-04-03,0.1901
2017-03-31,0.1961
2017-03-30,0.1979
2017-03-29,0.1896
2017-03-28,0.1856
2017-03-27,0.1804
2017-03-24,0.1722
2017-03-23,0.1735
2017-03-22,0.1654
2017-03-21,0.1683
2017-03-20,0.163
2017-03-17,0.1637
2017-03-16,0.1613
2017-03-15,0.1583
2017-03-14,0.1574
2017-03-13,0.1604
2017-03-10,0.16
2017-03-09,0.1585
2017-03-08,0.1551
2017-03-07,0.1535
2017-03-06,0.1585
2017-03-03,0.159
2017-03-02,0.1569
2017-03-01,0.1567
2017-02-28,0.1507
2017-02-27,0.1457
2017-02-24,0.1467
2017-02-23,0.1495
2017-02-22,0.153
2017-02-21,0.1575
2017-02-20,0.1547
2017-02-17,0.151
2017-02-16,0.1474
2017-02-15,0.1485
2017-02-14,0.1451
2017-02-13,0.1451
2017-02-10,0.1472
2017-02-09,0.1467
2017-02-08,0.146
2017-02-07,0.157
2017-02-06,0.1734
2017-02-03,0.1679
2017-02-02,0.1616
2017-02-01,0.1635
2017-01-31,0.1564
2017-01-30,0.1462
2017-01-27,0.1533
2017-01-26,0.1469
2017-01-25,0.15
2017-01-24,0.1508
2017-01-23,0.1568
2017-01-20,0.1575
2017-01-19,0.1427
2017-01-18,0.161
2017-01-17,0.16
2017-01-16,0.1383
2017-01-15,0.1383
2017-01-13,0.1496
2017-01-12,0.1416
2017-01-11,0.1456
2017-01-10,0.159
2017-01-09,0.159
2017-01-06,1.0552
2017-01-05,1.068
2017-01-04,1.0624
2017-01-03,1.073
2017-01-02,1.0888
2016-12-30,1.071
2016-12-29,1.05
2016-12-28,1.04
2016-12-27,1.0653
2016-12-23,1.09
2016-12-22,1.0842
2016-12-21,1.1142
2016-12-20,1.14
2016-12-19,1.1226
2016-12-16,1.1495
2016-12-15,1.093
2016-12-14,1.09
2016-12-13,1.1305
2016-12-12,1.2902
2016-12-09,1.3087
2016-12-08,1.35
2016-12-07,1.2597
2016-12-06,1.19
2016-12-05,1.1251
2016-12-02,1.1578
2016-12-01,1.183
2016-11-30,1.18
2016-11-29,1.1752
2016-11-28,1.18
2016-11-25,1.2001
2016-11-24,1.1902
2016-11-23,1.175
2016-11-22,1.2213
2016-11-21,1.24
2016-11-18,1.249
2016-11-17,1.2174
2016-11-16,1.222
2016-11-15,1.2654
2016-11-14,1.25
2016-11-11,1.2355
2016-11-10,1.177
2016-11-09,1.15
2016-11-08,1.16
2016-11-07,1.1791
2016-11-04,1.165
2016-11-03,1.197
2016-11-02,1.2041
2016-11-01,1.226
2016-10-31,1.213
2016-10-28,1.25
2016-10-27,1.2798
2016-10-26,1.301
2016-10-25,1.3034
2016-10-24,1.305
2016-10-21,1.3425
2016-10-20,1.335
2016-10-19,1.275
2016-10-18,1.2825
2016-10-17,1.17
2016-10-14,1.155
2016-10-13,1.155
2016-10-12,1.1475
2016-10-11,1.155
2016-10-10,1.17
2016-10-07,1.155
2016-10-06,1.1625
2016-10-05,1.155
2016-10-04,1.1625
2016-10-03,1.1625
2016-09-30,1.155
2016-09-29,1.1475
2016-09-28,1.1325
2016-09-27,1.125
2016-09-26,1.155
2016-09-23,1.095
2016-09-22,1.155
2016-09-21,1.17
2016-09-20,1.1625
2016-09-19,1.1775
2016-09-16,1.2225
2016-09-15,1.35
2016-09-14,1.335
2016-09-13,1.35
2016-09-12,1.395
2016-09-09,1.4025
2016-09-08,1.3875
2016-09-07,1.3725
2016-09-06,1.3575
2016-09-05,1.3875
2016-09-02,1.4175
2016-09-01,1.38
2016-08-31,1.35
2016-08-30,1.35
2016-08-29,1.35
2016-08-26,1.365
2016-08-25,1.365
2016-08-24,1.35
2016-08-23,1.3575
2016-08-22,1.32
2016-08-19,1.32
2016-08-18,1.3425
2016-08-17,1.365
2016-08-16,1.4025
2016-08-15,1.4325
2016-08-12,1.4325
2016-08-11,1.44
2016-08-10,1.425
2016-08-09,1.425
2016-08-08,1.4025
2016-08-05,1.35
2016-08-04,1.3725
2016-08-03,1.3725
2016-08-02,1.3575
2016-08-01,1.4325
2016-07-29,1.515
2016-07-28,1.4175
2016-07-27,1.395
2016-07-26,1.47
2016-07-25,1.4625
2016-07-22,1.515
2016-07-21,1.5075
2016-07-20,1.455
2016-07-19,1.4325
2016-07-18,1.44
2016-07-15,1.4475
2016-07-14,1.485
2016-07-13,1.4775
2016-07-12,1.62
2016-07-11,1.5675
2016-07-08,1.4775
2016-07-07,1.335
2016-07-06,1.3125
2016-07-05,1.335
2016-07-04,1.3875
2016-07-01,1.4025
2016-06-30,1.365
2016-06-29,1.4175
2016-06-28,1.365
2016-06-27,1.3125
