,edp:pl
2018-11-23,3.045
2018-11-22,3.041
2018-11-21,3.065
2018-11-20,3.08
2018-11-19,3.08
2018-11-16,3.075
2018-11-15,3.07
2018-11-14,3.097
2018-11-13,3.078
2018-11-12,3.11
2018-11-09,3.11
2018-11-08,3.178
2018-11-07,3.11
2018-11-06,3.115
2018-11-05,3.096
2018-11-02,3.08
2018-11-01,3.116
2018-10-31,3.104
2018-10-30,3.11
2018-10-29,3.088
2018-10-26,3.051
2018-10-25,3.072
2018-10-24,3.081
2018-10-23,3.101
2018-10-22,3.145
2018-10-19,3.169
2018-10-18,3.138
2018-10-17,3.14
2018-10-16,3.119
2018-10-15,3.066
2018-10-12,3.053
2018-10-11,3.08
2018-10-10,3.14
2018-10-09,3.15
2018-10-08,3.187
2018-10-05,3.185
2018-10-04,3.185
2018-10-03,3.201
2018-10-02,3.15
2018-10-01,3.12
2018-09-28,3.178
2018-09-27,3.287
2018-09-26,3.255
2018-09-25,3.26
2018-09-24,3.265
2018-09-21,3.224
2018-09-20,3.223
2018-09-19,3.24
2018-09-18,3.25
2018-09-17,3.264
2018-09-14,3.245
2018-09-13,3.243
2018-09-12,3.265
2018-09-11,3.275
2018-09-10,3.289
2018-09-07,3.29
2018-09-06,3.294
2018-09-05,3.305
2018-09-04,3.332
2018-09-03,3.344
2018-08-31,3.365
2018-08-30,3.37
2018-08-29,3.371
2018-08-28,3.36
2018-08-27,3.367
2018-08-24,3.37
2018-08-23,3.396
2018-08-22,3.393
2018-08-21,3.386
2018-08-20,3.382
2018-08-17,3.394
2018-08-16,3.4
2018-08-15,3.4
2018-08-14,3.41
2018-08-13,3.424
2018-08-10,3.462
2018-08-09,3.468
2018-08-08,3.462
2018-08-07,3.494
2018-08-06,3.515
2018-08-03,3.53
2018-08-02,3.541
2018-08-01,3.533
2018-07-31,3.489
2018-07-30,3.533
2018-07-27,3.49
2018-07-26,3.458
2018-07-25,3.445
2018-07-24,3.428
2018-07-23,3.459
2018-07-20,3.433
2018-07-19,3.45
2018-07-18,3.452
2018-07-17,3.47
2018-07-16,3.463
2018-07-13,3.46
2018-07-12,3.501
2018-07-11,3.505
2018-07-10,3.49
2018-07-09,3.492
2018-07-06,3.43
2018-07-05,3.455
2018-07-04,3.43
2018-07-03,3.42
2018-07-02,3.41
2018-06-29,3.4
2018-06-28,3.44
2018-06-27,3.43
2018-06-26,3.41
2018-06-25,3.4
2018-06-23,3.395
2018-06-22,3.395
2018-06-21,3.344
