,edpr:pl
2018-11-23,7.535
2018-11-22,7.525
2018-11-21,7.55
2018-11-20,7.5
2018-11-19,7.655
2018-11-16,7.745
2018-11-15,7.745
2018-11-14,7.8
2018-11-13,7.855
2018-11-12,7.885
2018-11-09,7.86
2018-11-08,7.795
2018-11-07,7.855
2018-11-06,7.82
2018-11-05,7.89
2018-11-02,7.85
2018-11-01,7.95
2018-10-31,7.94
2018-10-30,7.83
2018-10-29,7.87
2018-10-26,7.98
2018-10-25,8.0
2018-10-24,7.99
2018-10-23,7.94
2018-10-22,8.1
2018-10-19,8.155
2018-10-18,8.13
2018-10-17,8.135
2018-10-16,8.15
2018-10-15,8.12
2018-10-12,8.13
2018-10-11,8.09
2018-10-10,8.3
2018-10-09,8.505
2018-10-08,8.52
2018-10-05,8.525
2018-10-04,8.59
2018-10-03,8.77
2018-10-02,8.62
2018-10-01,8.6
2018-09-28,8.74
2018-09-27,8.8
2018-09-26,8.78
2018-09-25,8.735
2018-09-24,8.705
2018-09-21,8.72
2018-09-20,8.575
2018-09-19,8.49
2018-09-18,8.46
2018-09-17,8.43
2018-09-14,8.335
2018-09-13,8.51
2018-09-12,8.505
2018-09-11,8.555
2018-09-10,8.47
2018-09-07,8.455
2018-09-06,8.385
2018-09-05,8.36
2018-09-04,8.425
2018-09-03,8.5
2018-08-31,8.545
2018-08-30,8.56
2018-08-29,8.615
2018-08-28,8.605
2018-08-27,8.61
2018-08-24,8.69
2018-08-23,8.655
2018-08-22,8.725
2018-08-21,8.7
2018-08-20,8.8
2018-08-17,8.78
2018-08-16,8.8
2018-08-15,8.725
2018-08-14,8.8
2018-08-13,8.78
2018-08-10,8.765
2018-08-09,8.8
2018-08-08,8.77
2018-08-07,8.77
2018-08-06,8.81
2018-08-03,8.8
2018-08-02,8.71
2018-08-01,8.78
2018-07-31,8.83
2018-07-30,8.69
2018-07-27,8.78
2018-07-26,8.8
2018-07-25,8.8
2018-07-24,8.875
2018-07-23,8.88
2018-07-20,8.9
2018-07-19,8.885
2018-07-18,8.975
2018-07-17,9.0
2018-07-16,8.97
2018-07-13,8.93
2018-07-12,9.0
2018-07-11,9.005
2018-07-10,9.085
2018-07-09,9.055
2018-07-06,9.1
2018-07-05,9.17
2018-07-04,8.99
2018-07-03,8.99
2018-07-02,8.915
2018-06-29,8.93
2018-06-28,8.845
2018-06-27,8.88
2018-06-26,8.89
2018-06-25,8.365
2018-06-23,8.325
2018-06-22,8.325
2018-06-21,8.285
2018-06-20,8.32
2018-06-19,8.345
2018-06-18,8.35
2018-06-15,8.425
2018-06-14,8.355
2018-06-13,8.17
2018-06-12,8.09
2018-06-11,8.245
2018-06-08,8.15
2018-06-07,8.2
2018-06-06,8.22
2018-06-05,8.18
2018-06-04,8.17
2018-06-01,7.95
2018-05-31,8.045
2018-05-30,7.99
2018-05-29,7.97
2018-05-28,8.02
2018-05-25,8.09
2018-05-24,8.06
2018-05-23,8.145
2018-05-22,8.245
2018-05-21,8.245
2018-05-18,8.18
2018-05-17,8.22
2018-05-16,8.03
2018-05-15,8.075
2018-05-14,8.055
2018-05-11,7.84
2018-05-10,7.8
2018-05-09,7.935
2018-05-08,8.035
2018-05-07,8.04
2018-05-04,8.0
2018-05-03,8.005
2018-05-02,8.005
2018-04-30,7.96
2018-04-27,8.06
2018-04-26,8.02
2018-04-25,7.95
2018-04-24,7.97
2018-04-23,7.93
2018-04-20,7.905
2018-04-19,7.885
2018-04-18,7.92
2018-04-17,8.005
2018-04-16,8.01
2018-04-13,8.1
2018-04-12,8.02
2018-04-11,8.005
2018-04-10,8.025
2018-04-09,7.97
2018-04-06,8.0
2018-04-05,8.04
2018-04-04,8.005
2018-04-03,8.0
2018-03-29,7.96
2018-03-28,7.905
2018-03-27,7.68
2018-03-26,7.62
2018-03-23,7.63
2018-03-22,7.68
2018-03-21,7.66
2018-03-20,7.655
2018-03-19,7.47
2018-03-16,7.62
2018-03-15,7.565
2018-03-14,7.545
2018-03-13,7.445
2018-03-12,7.4
2018-03-09,7.405
2018-03-08,7.37
2018-03-07,7.185
2018-03-06,7.185
2018-03-05,7.165
2018-03-02,7.085
2018-03-01,7.15
2018-02-28,7.175
2018-02-27,7.15
2018-02-26,7.15
2018-02-23,7.15
2018-02-22,7.14
2018-02-21,7.08
2018-02-20,7.09
2018-02-19,7.135
2018-02-16,7.185
2018-02-15,7.14
2018-02-14,7.12
2018-02-13,7.11
2018-02-12,6.965
2018-02-09,6.885
2018-02-08,6.94
2018-02-07,6.995
2018-02-06,6.86
2018-02-05,6.97
2018-02-02,7.07
2018-02-01,7.085
2018-01-31,7.05
2018-01-30,7.06
2018-01-29,7.09
2018-01-26,7.1
2018-01-25,7.1
2018-01-24,7.06
2018-01-23,7.105
2018-01-22,7.11
2018-01-19,7.06
2018-01-18,7.07
2018-01-17,7.1
2018-01-16,7.07
2018-01-15,7.08
2018-01-12,7.07
2018-01-11,7.05
2018-01-10,7.0
2018-01-09,6.97
2018-01-08,7.01
2018-01-05,6.79
2018-01-04,6.78
2018-01-03,6.785
2018-01-02,6.92
2017-12-29,6.967
2017-12-28,6.788
2017-12-27,6.722
2017-12-22,6.7
2017-12-21,6.72
2017-12-20,6.75
2017-12-19,6.832
2017-12-18,6.865
2017-12-15,6.711
2017-12-14,6.686
2017-12-13,6.622
2017-12-12,6.612
2017-12-11,6.556
2017-12-08,6.622
2017-12-07,6.708
2017-12-06,6.727
2017-12-05,6.742
2017-12-04,6.809
2017-12-01,6.802
2017-11-30,6.85
2017-11-29,6.814
2017-11-28,6.9
2017-11-27,6.83
2017-11-24,6.895
2017-11-23,6.93
2017-11-22,6.871
2017-11-21,6.877
2017-11-20,6.876
2017-11-17,6.896
2017-11-16,6.934
2017-11-15,6.94
2017-11-14,6.938
2017-11-13,6.952
2017-11-10,6.994
2017-11-09,6.987
2017-11-08,7.051
2017-11-07,6.995
2017-11-06,6.978
2017-11-03,6.9
2017-11-02,7.159
2017-11-01,7.189
2017-10-31,7.1
2017-10-30,7.109
2017-10-27,7.09
2017-10-26,7.039
2017-10-25,6.991
2017-10-24,7.058
2017-10-23,7.06
2017-10-20,7.003
2017-10-19,7.081
2017-10-18,7.026
2017-10-17,7.065
2017-10-16,7.034
2017-10-13,7.063
2017-10-12,7.12
2017-10-11,7.126
2017-10-10,7.11
2017-10-09,7.105
2017-10-06,7.086
2017-10-05,7.158
2017-10-04,7.076
2017-10-03,7.115
2017-10-02,7.17
2017-09-29,7.2
2017-09-28,7.16
2017-09-27,7.183
2017-09-26,7.198
2017-09-25,7.189
2017-09-22,7.2
2017-09-21,7.199
2017-09-20,7.2
2017-09-19,7.119
2017-09-18,7.094
2017-09-15,7.031
2017-09-14,7.059
2017-09-13,7.08
2017-09-12,7.023
2017-09-11,6.997
2017-09-08,6.953
2017-09-07,6.925
2017-09-06,6.898
2017-09-05,6.901
2017-09-04,6.898
2017-09-01,6.908
2017-08-31,6.874
2017-08-30,6.85
2017-08-29,6.85
2017-08-28,6.85
2017-08-25,6.823
2017-08-24,6.854
2017-08-23,6.824
2017-08-22,6.866
2017-08-21,6.848
2017-08-18,6.86
2017-08-17,6.853
2017-08-16,6.864
2017-08-15,6.826
2017-08-14,6.86
2017-08-11,6.807
2017-08-10,6.818
2017-08-09,6.81
2017-08-08,6.786
2017-08-07,6.818
2017-08-04,6.797
2017-08-03,6.766
2017-08-02,6.765
2017-08-01,6.772
2017-07-31,6.754
2017-07-28,6.759
2017-07-27,6.787
2017-07-26,6.778
2017-07-25,6.96
2017-07-24,6.931
2017-07-21,6.898
2017-07-20,6.9
