,ibs:pl
2018-11-23,8.1
2018-11-22,8.16
2018-11-21,8.22
2018-11-20,8.12
2018-11-19,8.2
2018-11-16,8.32
2018-11-15,8.36
2018-11-14,8.34
2018-11-13,8.22
2018-11-12,8.38
2018-11-09,8.44
2018-11-08,8.42
2018-11-07,8.46
2018-11-06,8.44
2018-11-05,8.46
2018-11-02,8.48
2018-11-01,8.48
2018-10-31,8.5
2018-10-30,8.48
2018-10-29,8.52
2018-10-26,8.56
2018-10-25,8.58
2018-10-24,8.56
2018-10-23,8.54
2018-10-22,8.66
2018-10-19,8.78
2018-10-18,8.74
2018-10-17,8.8
2018-10-16,8.8
2018-10-15,8.92
2018-10-12,9.0
2018-10-11,9.02
2018-10-10,9.04
2018-10-09,9.1
2018-10-08,9.06
2018-10-05,9.08
2018-10-04,9.1
2018-10-03,9.1
2018-10-02,9.1
2018-10-01,9.36
2018-09-28,9.4
2018-09-27,9.5
2018-09-26,9.5
2018-09-25,9.38
2018-09-24,9.32
2018-09-21,9.22
2018-09-20,9.6
2018-09-19,9.56
2018-09-18,9.56
2018-09-17,9.58
2018-09-14,9.4
2018-09-13,9.38
2018-09-12,9.38
2018-09-11,9.3
2018-09-10,9.34
2018-09-07,9.32
2018-09-06,9.32
2018-09-05,9.16
2018-09-04,9.22
2018-09-03,9.5
2018-08-31,9.6
2018-08-30,9.68
2018-08-29,9.68
2018-08-28,9.68
2018-08-27,9.68
2018-08-24,9.8
2018-08-23,9.84
2018-08-22,9.88
2018-08-21,9.98
2018-08-20,9.84
2018-08-17,9.8
2018-08-16,9.7
2018-08-15,9.6
2018-08-14,9.58
2018-08-13,9.64
2018-08-10,9.72
2018-08-09,9.64
2018-08-08,9.62
2018-08-07,9.52
2018-08-06,9.54
2018-08-03,9.78
2018-08-02,9.8
2018-08-01,9.84
2018-07-31,10.0
2018-07-30,10.2
2018-07-27,10.05
2018-07-26,10.15
2018-07-25,10.15
2018-07-24,10.35
2018-07-23,10.5
2018-07-20,10.5
2018-07-19,10.25
2018-07-18,10.35
2018-07-17,10.2083
2018-07-16,10.0833
2018-07-13,10.1667
2018-07-12,12.15
2018-07-11,12.05
2018-07-10,12.3
2018-07-09,12.3
2018-07-06,12.25
2018-07-05,11.65
2018-07-04,11.8
2018-07-03,12.0
2018-07-02,11.95
2018-06-29,12.0
2018-06-28,12.15
2018-06-27,11.85
2018-06-26,11.9
2018-06-25,11.8
2018-06-23,12.0
2018-06-22,12.0
2018-06-21,12.05
2018-06-20,12.2
2018-06-19,11.65
2018-06-18,11.4
2018-06-15,11.2
2018-06-14,11.15
2018-06-13,11.05
2018-06-12,10.85
2018-06-11,10.95
2018-06-08,11.0
2018-06-07,10.9
2018-06-06,10.75
2018-06-05,11.15
2018-06-04,11.0
2018-06-01,10.95
2018-05-31,11.05
2018-05-30,11.05
2018-05-29,11.1
2018-05-28,11.3
2018-05-25,11.15
2018-05-24,11.1
2018-05-23,11.3
2018-05-22,11.35
2018-05-21,11.35
2018-05-18,11.35
2018-05-17,11.35
2018-05-16,11.3
2018-05-15,11.35
2018-05-14,11.4
2018-05-08,11.3
2018-05-07,11.2
2018-05-04,11.1
2018-05-03,11.2
2018-05-02,11.3
2018-04-30,11.35
2018-04-27,11.25
2018-04-26,11.35
2018-04-25,11.25
2018-04-24,11.5
2018-04-23,11.3
2018-04-20,11.4
2018-04-19,11.35
2018-04-18,11.5
2018-04-17,11.25
2018-04-16,11.4
2018-04-13,11.35
2018-04-12,11.5
2018-04-11,11.55
2018-04-10,11.35
2018-04-09,11.35
2018-04-06,11.3
2018-04-05,11.2
2018-04-04,11.2
2018-04-03,11.15
2018-03-29,11.25
2018-03-28,11.25
2018-03-27,11.4
2018-03-26,11.7
2018-03-23,11.65
2018-03-22,11.45
2018-03-21,11.4
2018-03-20,11.2
2018-03-19,11.2
2018-03-16,11.35
2018-03-15,11.45
2018-03-14,11.7
2018-03-13,11.4
2018-03-12,11.45
2018-03-09,11.3
2018-03-08,11.25
2018-03-07,11.3
2018-03-06,11.4
2018-03-05,11.2
2018-03-02,11.2
2018-03-01,11.3
2018-02-28,11.6
2018-02-27,11.75
