,ina:pl
2018-11-23,0.085
2018-11-22,0.087
2018-11-21,0.0888
2018-11-20,0.0886
2018-11-19,0.0936
2018-11-16,0.0998
2018-11-15,0.1
2018-11-14,0.098
2018-11-13,0.1
2018-11-12,0.0988
2018-11-09,0.095
2018-11-08,0.0984
2018-11-07,0.099
2018-11-06,0.0984
2018-11-05,0.0966
2018-11-02,0.102
2018-11-01,0.101
2018-10-31,0.105
2018-10-30,0.109
2018-10-29,0.1025
2018-10-26,0.099
2018-10-25,0.105
2018-10-24,0.12
2018-10-23,0.0968
2018-10-22,0.0982
2018-10-19,0.1015
2018-10-18,0.1035
2018-10-17,0.1
2018-10-16,0.0956
2018-10-15,0.0952
2018-10-12,0.0948
2018-10-11,0.095
2018-10-10,0.0948
2018-10-09,0.0998
2018-10-08,0.0998
2018-10-04,0.101
2018-10-03,0.099
2018-10-02,0.1005
2018-10-01,0.1
2018-09-28,0.0972
2018-09-27,0.1
2018-09-26,0.101
2018-09-25,0.101
2018-09-24,0.104
2018-09-21,0.1045
2018-09-20,0.104
2018-09-19,0.1025
2018-09-18,0.103
2018-09-17,0.103
2018-09-14,0.1045
2018-09-13,0.102
2018-09-12,0.0996
2018-09-11,0.113
2018-09-10,0.113
2018-09-07,0.114
2018-09-06,0.1145
2018-09-05,0.1135
2018-09-04,0.1135
2018-09-03,0.114
2018-08-31,0.1145
2018-08-29,0.1145
2018-08-28,0.115
2018-08-27,0.114
2018-08-24,0.1145
2018-08-23,0.1145
2018-08-22,0.114
2018-08-21,0.1135
2018-08-20,0.114
2018-08-17,0.1135
2018-08-16,0.1115
2018-08-15,0.109
2018-08-14,0.111
2018-08-13,0.11
2018-08-09,0.1145
2018-08-08,0.1155
2018-08-07,0.1155
2018-08-06,0.116
2018-08-03,0.116
2018-08-02,0.116
2018-08-01,0.115
2018-07-31,0.116
2018-07-30,0.114
2018-07-27,0.1145
2018-07-26,0.116
2018-07-25,0.115
2018-07-24,0.1135
2018-07-23,0.117
2018-07-20,0.114
2018-07-19,0.114
2018-07-18,0.1135
2018-07-17,0.114
2018-07-16,0.1125
2018-07-11,0.116
2018-07-10,0.1155
2018-07-09,0.115
2018-07-06,0.115
2018-07-05,0.115
2018-07-04,0.115
2018-07-03,0.1125
2018-07-02,0.114
2018-06-29,0.115
2018-06-28,0.1155
2018-06-27,0.115
2018-06-26,0.114
2018-06-25,0.1175
2018-06-23,0.121
2018-06-22,0.121
2018-06-21,0.121
2018-06-20,0.1205
2018-06-19,0.1225
2018-06-18,0.123
2018-06-15,0.122
2018-06-14,0.1255
2018-06-12,0.126
2018-06-11,0.126
2018-06-08,0.1245
2018-06-07,0.123
2018-06-06,0.123
2018-06-05,0.126
2018-06-04,0.124
2018-06-01,0.123
2018-05-31,0.1205
2018-05-30,0.12
2018-05-29,0.121
2018-05-28,0.123
2018-05-25,0.124
2018-05-24,0.126
2018-05-23,0.124
2018-05-22,0.127
2018-05-21,0.1285
2018-05-17,0.125
2018-05-16,0.128
2018-05-15,0.124
