,ipr:pl
2018-11-23,0.176
2018-11-22,0.1752
2018-11-21,0.178
2018-11-20,0.175
2018-11-19,0.1796
2018-11-16,0.1798
2018-11-15,0.176
2018-11-14,0.18
2018-11-13,0.186
2018-11-12,0.187
2018-11-09,0.1882
2018-11-08,0.1864
2018-11-07,0.185
2018-11-06,0.19
2018-11-05,0.19
2018-11-02,0.19
2018-11-01,0.19
2018-10-31,0.1954
2018-10-30,0.196
2018-10-29,0.1908
2018-10-26,0.1932
2018-10-25,0.1956
2018-10-24,0.1956
2018-10-23,0.1916
2018-10-22,0.195
2018-10-19,0.205
2018-10-18,0.208
2018-10-17,0.211
2018-10-16,0.2035
2018-10-15,0.1958
2018-10-12,0.195
2018-10-11,0.192
2018-10-10,0.1958
2018-10-09,0.207
2018-10-08,0.218
2018-10-05,0.2305
2018-10-04,0.244
2018-10-03,0.24
2018-10-02,0.246
2018-10-01,0.2395
2018-09-28,0.24
2018-09-27,0.237
2018-09-26,0.236
2018-09-25,0.236
2018-09-24,0.236
2018-09-21,0.24
2018-09-20,0.2435
2018-09-19,0.242
2018-09-18,0.239
2018-09-17,0.24
2018-09-14,0.2355
2018-09-13,0.2365
2018-09-12,0.235
2018-09-11,0.2325
2018-09-10,0.2325
2018-09-07,0.2345
2018-09-06,0.2355
2018-09-05,0.24
2018-09-04,0.245
2018-09-03,0.245
2018-08-31,0.248
2018-08-30,0.245
2018-08-29,0.249
2018-08-28,0.2475
2018-08-27,0.2505
2018-08-24,0.253
2018-08-23,0.2545
2018-08-22,0.25
2018-08-21,0.252
2018-08-20,0.249
2018-08-17,0.2445
2018-08-16,0.245
2018-08-15,0.239
2018-08-14,0.239
2018-08-13,0.239
2018-08-10,0.243
2018-08-09,0.245
2018-08-08,0.2445
2018-08-07,0.2445
2018-08-06,0.242
2018-08-03,0.239
2018-08-02,0.244
2018-08-01,0.2385
2018-07-31,0.2255
2018-07-30,0.225
2018-07-27,0.2275
2018-07-26,0.2255
2018-07-25,0.233
2018-07-24,0.2315
2018-07-23,0.227
2018-07-20,0.2215
2018-07-19,0.222
2018-07-18,0.228
2018-07-17,0.225
2018-07-16,0.232
2018-07-13,0.232
2018-07-12,0.232
2018-07-11,0.2295
2018-07-10,0.231
2018-07-09,0.238
2018-07-06,0.2375
2018-07-05,0.2385
2018-07-04,0.2375
2018-07-03,0.231
2018-07-02,0.243
2018-06-29,0.2475
2018-06-28,0.25
2018-06-27,0.256
2018-06-26,0.2545
2018-06-25,0.252
2018-06-22,0.2595
2018-06-21,0.25
2018-06-20,0.25
2018-06-19,0.25
2018-06-18,0.2505
2018-06-15,0.252
2018-06-14,0.25
2018-06-13,0.249
2018-06-12,0.251
2018-06-11,0.25
2018-06-08,0.253
2018-06-07,0.25
2018-06-06,0.249
2018-06-05,0.253
2018-06-04,0.254
2018-06-01,0.247
2018-05-31,0.2425
2018-05-30,0.2435
2018-05-29,0.248
2018-05-28,0.2585
2018-05-25,0.26
2018-05-24,0.262
2018-05-23,0.2625
2018-05-22,0.259
2018-05-21,0.2605
2018-05-18,0.2615
2018-05-17,0.2595
2018-05-16,0.26
2018-05-15,0.2585
2018-05-14,0.2625
2018-05-07,0.263
2018-05-04,0.263
2018-05-03,0.2625
2018-05-02,0.259
2018-04-30,0.2655
2018-04-27,0.264
2018-04-26,0.2585
2018-04-25,0.264
2018-04-24,0.262
2018-04-23,0.265
2018-04-20,0.2625
2018-04-19,0.264
2018-04-18,0.269
2018-04-17,0.266
2018-04-16,0.265
2018-04-13,0.263
2018-04-12,0.265
2018-04-11,0.27
2018-04-10,0.2715
2018-04-09,0.259
2018-04-06,0.2515
2018-04-05,0.2535
2018-04-04,0.248
2018-04-03,0.254
2018-03-29,0.2455
2018-03-28,0.247
2018-03-27,0.253
2018-03-26,0.249
2018-03-23,0.251
2018-03-22,0.2565
2018-03-21,0.255
2018-03-20,0.2565
2018-03-19,0.2485
2018-03-16,0.2525
2018-03-15,0.2465
2018-03-14,0.2435
2018-03-13,0.2365
2018-03-12,0.244
2018-03-09,0.244
2018-03-08,0.2455
2018-03-07,0.25
2018-03-06,0.267
2018-03-05,0.262
2018-03-02,0.251
2018-03-01,0.2515
2018-02-28,0.255
2018-02-27,0.2535
2018-02-26,0.261
2018-02-23,0.2605
2018-02-22,0.2625
2018-02-21,0.273
2018-02-20,0.258
2018-02-19,0.2715
2018-02-16,0.295
2018-02-15,0.2905
2018-02-14,0.29
2018-02-13,0.3005
2018-02-12,0.311
2018-02-09,0.299
2018-02-08,0.3095
2018-02-07,0.313
2018-02-06,0.299
2018-02-05,0.309
2018-02-02,0.325
2018-02-01,0.325
2018-01-31,0.3265
2018-01-30,0.336
2018-01-29,0.339
2018-01-26,0.34
2018-01-25,0.341
2018-01-24,0.344
2018-01-23,0.3385
2018-01-22,0.329
2018-01-19,0.323
2018-01-18,0.32
2018-01-17,0.329
2018-01-16,0.32
2018-01-15,0.324
2018-01-12,0.325
2018-01-11,0.33
2018-01-10,0.3365
2018-01-09,0.34
2018-01-08,0.3505
2018-01-05,0.3635
2018-01-04,0.359
2018-01-03,0.3525
2018-01-02,0.352
2017-12-29,0.342
2017-12-28,0.327
2017-12-27,0.318
2017-12-22,0.324
2017-12-21,0.319
2017-12-20,0.335
2017-12-19,0.353
2017-12-18,0.357
2017-12-15,0.357
2017-12-14,0.356
2017-12-13,0.369
2017-12-12,0.363
2017-12-11,0.368
2017-12-08,0.376
2017-12-07,0.38
2017-12-06,0.377
2017-12-05,0.38
2017-12-04,0.389
2017-12-01,0.376
2017-11-30,0.368
2017-11-29,0.358
2017-11-28,0.353
2017-11-27,0.351
2017-11-24,0.36
2017-11-23,0.379
2017-11-22,0.378
2017-11-21,0.379
2017-11-20,0.359
2017-11-17,0.358
2017-11-16,0.357
2017-11-15,0.336
2017-11-14,0.339
2017-11-13,0.337
2017-11-10,0.351
2017-11-09,0.37
2017-11-08,0.362
2017-11-07,0.373
2017-11-06,0.381
2017-11-03,0.359
2017-11-02,0.378
2017-11-01,0.389
2017-10-31,0.375
2017-10-30,0.341
2017-10-27,0.331
2017-10-26,0.333
2017-10-25,0.332
2017-10-24,0.322
2017-10-23,0.325
2017-10-20,0.334
2017-10-19,0.319
2017-10-18,0.319
2017-10-17,0.319
2017-10-16,0.32
2017-10-13,0.315
2017-10-12,0.319
2017-10-11,0.319
2017-10-10,0.321
2017-10-09,0.33
2017-10-06,0.327
2017-10-05,0.328
2017-10-04,0.324
2017-10-03,0.339
2017-10-02,0.344
2017-09-29,0.334
2017-09-28,0.318
2017-09-27,0.303
2017-09-26,0.298
2017-09-25,0.296
2017-09-22,0.297
2017-09-21,0.291
2017-09-20,0.294
2017-09-19,0.287
2017-09-18,0.306
2017-09-15,0.306
2017-09-14,0.297
2017-09-13,0.272
2017-09-12,0.265
2017-09-11,0.246
2017-09-08,0.23
2017-09-07,0.225
2017-09-06,0.27
2017-09-05,0.3
2017-09-04,0.301
2017-09-01,0.309
2017-08-31,0.309
2017-08-30,0.313
2017-08-29,0.308
2017-08-28,0.315
2017-08-25,0.316
2017-08-24,0.307
2017-08-23,0.323
2017-08-22,0.326
2017-08-21,0.324
2017-08-18,0.331
2017-08-17,0.335
2017-08-16,0.342
2017-08-15,0.339
2017-08-14,0.346
2017-08-11,0.334
2017-08-10,0.343
2017-08-09,0.35
2017-08-08,0.351
2017-08-07,0.339
2017-08-04,0.329
2017-08-03,0.33
2017-08-02,0.333
2017-08-01,0.332
2017-07-31,0.319
2017-07-28,0.32
2017-07-27,0.318
2017-07-26,0.34
2017-07-25,0.315
2017-07-24,0.365
2017-07-21,0.391
2017-07-20,0.393
2017-07-19,0.402
2017-07-18,0.409
2017-07-17,0.41
2017-07-14,0.426
2017-07-13,0.376
2017-07-12,0.404
2017-07-11,0.421
2017-07-10,0.43
2017-07-07,0.458
2017-07-06,0.468
2017-07-05,0.476
2017-07-04,0.433
2017-07-03,0.443
2017-06-30,0.477
2017-06-29,0.478
2017-06-28,0.448
2017-06-27,0.417
2017-06-26,0.44
2017-06-23,0.398
2017-06-22,0.387
2017-06-21,0.37
2017-06-20,0.362
2017-06-19,0.35
2017-06-16,0.34
2017-06-15,0.349
2017-06-14,0.349
2017-06-13,0.311
2017-06-12,0.324
2017-06-09,0.335
2017-06-08,0.325
2017-06-07,0.35
2017-06-06,0.331
2017-06-05,0.315
2017-06-02,0.303
2017-06-01,0.291
2017-05-31,0.294
2017-05-30,0.289
2017-05-29,0.274
2017-05-26,0.265
2017-05-25,0.27
2017-05-24,0.26
2017-05-23,0.26
2017-05-22,0.257
2017-05-19,0.254
2017-05-18,0.238
2017-05-17,0.237
2017-05-16,0.236
2017-05-15,0.234
2017-05-12,0.233
2017-05-11,0.236
2017-05-10,0.232
2017-05-09,0.235
2017-05-08,0.22
2017-05-05,0.218
2017-05-04,0.207
2017-05-03,0.205
2017-05-02,0.199
2017-04-28,0.199
2017-04-27,0.202
2017-04-26,0.204
2017-04-25,0.202
2017-04-24,0.201
2017-04-21,0.2
2017-04-20,0.201
2017-04-19,0.201
2017-04-18,0.201
2017-04-13,0.201
2017-04-12,0.201
2017-04-11,0.203
2017-04-10,0.204
2017-04-07,0.199
2017-04-06,0.209
2017-04-05,0.215
2017-04-04,0.195
2017-04-03,0.196
2017-03-31,0.2
2017-03-30,0.2
2017-03-29,0.205
2017-03-28,0.213
2017-03-27,0.21
2017-03-24,0.214
2017-03-23,0.191
2017-03-22,0.18
2017-03-21,0.174
2017-03-20,0.176
2017-03-17,0.175
2017-03-16,0.173
2017-03-15,0.175
