,nos:pl
2018-11-23,5.06
2018-11-22,5.07
2018-11-21,5.045
2018-11-20,4.946
2018-11-19,5.105
2018-11-16,5.085
2018-11-15,5.155
2018-11-14,5.165
2018-11-13,5.165
2018-11-12,5.13
2018-11-09,5.195
2018-11-08,5.155
2018-11-07,5.19
2018-11-06,5.12
2018-11-05,5.12
2018-11-02,5.04
2018-11-01,5.06
2018-10-31,4.96
2018-10-30,5.005
2018-10-29,4.94
2018-10-26,4.88
2018-10-25,5.005
2018-10-24,4.998
2018-10-23,5.055
2018-10-22,5.15
2018-10-19,5.14
2018-10-18,5.26
2018-10-17,5.13
2018-10-16,5.085
2018-10-15,4.87
2018-10-12,4.9
2018-10-11,4.878
2018-10-10,4.882
2018-10-09,4.936
2018-10-08,4.98
2018-10-05,5.09
2018-10-04,5.085
2018-10-03,5.13
2018-10-02,5.07
2018-10-01,5.16
2018-09-28,5.16
2018-09-27,5.19
2018-09-26,5.14
2018-09-25,5.165
2018-09-24,5.15
2018-09-21,5.135
2018-09-20,5.04
2018-09-19,5.085
2018-09-18,5.105
2018-09-17,5.095
2018-09-14,5.105
2018-09-13,5.145
2018-09-12,4.952
2018-09-11,4.886
2018-09-10,4.88
2018-09-07,4.868
2018-09-06,4.864
2018-09-05,4.854
2018-09-04,4.884
2018-08-31,4.916
2018-08-30,4.93
2018-08-29,4.93
2018-08-28,4.944
2018-08-27,4.96
2018-08-24,4.958
2018-08-23,4.968
2018-08-22,4.992
2018-08-21,4.962
2018-08-20,4.958
2018-08-17,4.924
2018-08-16,4.926
2018-08-15,4.874
2018-08-14,4.926
2018-08-13,4.916
2018-08-10,4.958
2018-08-09,4.944
2018-08-08,4.932
2018-08-07,4.912
2018-08-06,4.9
2018-08-03,4.91
2018-08-02,4.97
2018-08-01,4.96
2018-07-31,4.982
2018-07-30,4.972
2018-07-27,4.922
2018-07-26,4.912
2018-07-25,4.87
2018-07-24,4.944
2018-07-23,4.952
2018-07-20,4.76
2018-07-19,4.778
2018-07-18,4.798
2018-07-17,4.82
2018-07-16,4.85
2018-07-13,4.902
2018-07-12,4.93
2018-07-11,4.944
2018-07-10,4.958
2018-07-09,4.91
2018-07-06,4.868
2018-07-05,4.758
2018-07-04,4.712
2018-07-03,4.676
2018-07-02,4.69
2018-06-29,4.694
2018-06-28,4.71
2018-06-27,4.722
2018-06-26,4.736
2018-06-25,4.696
2018-06-23,4.8
2018-06-22,4.8
2018-06-21,4.676
2018-06-20,4.716
2018-06-19,4.692
2018-06-18,4.7
2018-06-15,4.718
2018-06-14,4.794
2018-06-13,4.714
2018-06-12,4.722
2018-06-11,4.66
2018-06-08,4.646
2018-06-07,4.662
2018-06-06,4.66
2018-06-05,4.658
2018-06-04,4.68
2018-06-01,4.624
2018-05-31,4.59
2018-05-30,4.566
2018-05-29,4.552
2018-05-28,4.716
2018-05-25,4.706
2018-05-24,4.714
2018-05-23,4.7
2018-05-22,4.958
2018-05-21,4.938
2018-05-18,4.878
2018-05-17,4.936
2018-05-16,4.826
2018-05-15,4.852
2018-05-14,4.946
2018-05-11,4.984
2018-05-10,4.856
2018-05-09,4.876
2018-05-08,4.89
2018-05-07,4.884
2018-05-04,4.892
2018-05-03,4.9
2018-05-02,4.9
2018-04-30,4.926
2018-04-27,4.92
2018-04-26,4.954
2018-04-25,4.892
2018-04-24,4.928
2018-04-23,4.93
2018-04-20,4.95
2018-04-19,4.948
2018-04-18,5.025
2018-04-17,4.868
2018-04-16,4.88
2018-04-13,4.876
2018-04-12,4.884
2018-04-11,4.87
2018-04-10,4.808
2018-04-09,4.85
2018-04-06,4.83
2018-04-05,4.858
2018-04-04,4.78
2018-04-03,4.8
2018-03-29,4.79
2018-03-28,4.75
2018-03-27,4.746
2018-03-26,4.748
2018-03-23,4.774
2018-03-22,4.728
2018-03-21,4.744
2018-03-20,4.706
2018-03-19,4.76
2018-03-16,4.826
2018-03-15,4.896
2018-03-14,4.9
2018-03-13,4.846
2018-03-12,5.1
2018-03-09,5.085
2018-03-08,4.988
2018-03-07,4.936
2018-03-06,4.908
2018-03-05,4.882
2018-03-02,4.804
2018-03-01,4.99
2018-02-28,5.03
2018-02-27,5.04
2018-02-26,5.03
2018-02-23,5.06
2018-02-22,4.986
2018-02-21,5.0
2018-02-20,5.02
2018-02-19,5.055
2018-02-16,5.085
2018-02-15,4.998
2018-02-14,4.98
2018-02-13,4.966
2018-02-12,5.015
2018-02-09,4.902
2018-02-08,5.04
2018-02-07,5.055
2018-02-06,5.075
2018-02-05,5.165
2018-02-02,5.315
2018-02-01,5.41
2018-01-31,5.485
2018-01-30,5.455
2018-01-29,5.42
2018-01-26,5.5
2018-01-25,5.47
2018-01-24,5.535
2018-01-23,5.55
2018-01-22,5.505
2018-01-19,5.535
2018-01-18,5.565
2018-01-17,5.535
2018-01-16,5.515
2018-01-15,5.49
2018-01-12,5.5
2018-01-11,5.555
2018-01-10,5.58
2018-01-09,5.575
2018-01-08,5.57
2018-01-05,5.58
2018-01-04,5.59
2018-01-03,5.58
2018-01-02,5.565
2017-12-29,5.481
2017-12-28,5.433
2017-12-27,5.443
2017-12-22,5.452
2017-12-21,5.5
2017-12-20,5.536
2017-12-19,5.522
2017-12-18,5.629
2017-12-15,5.63
2017-12-14,5.635
2017-12-13,5.576
2017-12-12,5.636
2017-12-11,5.577
2017-12-08,5.584
2017-12-07,5.611
2017-12-06,5.673
2017-12-05,5.631
2017-12-04,5.604
2017-12-01,5.66
2017-11-30,5.71
2017-11-29,5.669
2017-11-28,5.55
2017-11-27,5.569
2017-11-24,5.549
2017-11-23,5.541
2017-11-22,5.572
2017-11-21,5.546
2017-11-20,5.469
2017-11-17,5.446
2017-11-16,5.394
2017-11-15,5.341
2017-11-14,5.27
2017-11-13,5.162
2017-11-10,5.193
2017-11-09,5.224
2017-11-08,4.995
2017-11-07,5.031
2017-11-06,5.053
2017-11-03,5.037
2017-11-02,5.076
2017-11-01,5.125
2017-10-31,5.144
2017-10-30,5.162
2017-10-27,5.118
2017-10-26,5.149
2017-10-25,5.116
2017-10-24,5.155
2017-10-23,5.224
2017-10-20,5.263
2017-10-19,5.296
2017-10-18,5.34
2017-10-17,5.297
2017-10-16,5.311
2017-10-13,5.246
2017-10-12,5.31
2017-10-11,5.312
2017-10-10,5.318
2017-10-09,5.311
2017-10-06,5.38
2017-10-05,5.309
2017-10-04,5.3
2017-10-03,5.399
2017-10-02,5.332
2017-09-29,5.24
2017-09-28,5.213
2017-09-27,5.194
2017-09-26,5.263
2017-09-25,5.29
2017-09-22,5.3
2017-09-21,5.328
2017-09-20,5.354
2017-09-19,5.365
2017-09-18,5.358
2017-09-15,5.274
2017-09-14,5.309
2017-09-13,5.274
2017-09-12,5.258
2017-09-11,5.27
2017-09-08,5.266
2017-09-07,5.319
2017-09-06,5.335
2017-09-05,5.359
2017-09-04,5.357
2017-09-01,5.39
2017-08-31,5.379
2017-08-30,5.345
2017-08-29,5.306
2017-08-28,5.317
2017-08-25,5.357
2017-08-24,5.369
2017-08-23,5.37
2017-08-22,5.407
2017-08-21,5.391
2017-08-18,5.42
2017-08-17,5.5
2017-08-16,5.551
2017-08-15,5.567
2017-08-14,5.57
2017-08-11,5.525
2017-08-10,5.524
2017-08-09,5.468
2017-08-08,5.491
2017-08-07,5.529
2017-08-04,5.518
2017-08-03,5.476
2017-08-02,5.443
2017-08-01,5.477
2017-07-31,5.38
2017-07-28,5.399
2017-07-27,5.439
2017-07-26,5.424
2017-07-25,5.42
2017-07-24,5.403
2017-07-21,5.44
2017-07-20,5.421
2017-07-19,5.459
2017-07-18,5.416
2017-07-17,5.439
2017-07-14,5.456
2017-07-13,5.469
2017-07-12,5.282
2017-07-11,5.271
2017-07-10,5.311
2017-07-07,5.323
2017-07-06,5.251
2017-07-05,5.249
2017-07-04,5.253
2017-07-03,5.262
2017-06-30,5.314
2017-06-29,5.317
2017-06-28,5.416
2017-06-27,5.452
2017-06-26,5.541
2017-06-23,5.504
2017-06-22,5.475
2017-06-21,5.45
2017-06-20,5.45
2017-06-19,5.415
2017-06-16,5.395
2017-06-15,5.4
2017-06-14,5.474
2017-06-13,5.404
2017-06-12,5.403
2017-06-09,5.447
2017-06-08,5.439
2017-06-07,5.5
2017-06-06,5.498
2017-06-05,5.498
2017-06-02,5.53
2017-06-01,5.501
2017-05-31,5.427
2017-05-30,5.436
2017-05-29,5.49
2017-05-26,5.415
2017-05-25,5.356
2017-05-24,5.339
2017-05-23,5.497
2017-05-22,5.462
2017-05-19,5.489
2017-05-18,5.309
2017-05-17,5.35
2017-05-16,5.43
2017-05-15,5.5
2017-05-12,5.457
2017-05-11,5.429
2017-05-10,5.515
2017-05-09,5.525
2017-05-08,5.525
2017-05-05,5.534
2017-05-04,5.535
2017-05-03,5.413
2017-05-02,5.371
2017-04-28,5.258
2017-04-27,5.434
2017-04-26,5.341
2017-04-25,5.269
2017-04-24,5.249
2017-04-21,5.044
2017-04-20,5.094
2017-04-19,5.099
2017-04-18,5.085
2017-04-13,5.15
2017-04-12,5.161
2017-04-11,5.115
2017-04-10,5.042
2017-04-07,5.048
2017-04-06,5.09
2017-04-05,5.17
2017-04-04,5.125
2017-04-03,5.136
2017-03-31,5.11
2017-03-30,5.054
2017-03-29,4.95
2017-03-28,4.97
2017-03-27,4.941
2017-03-24,4.968
2017-03-23,4.977
2017-03-22,4.918
2017-03-21,4.931
2017-03-20,4.945
2017-03-17,4.93
2017-03-16,4.865
2017-03-15,4.83
2017-03-14,4.927
2017-03-13,5.068
2017-03-10,5.132
2017-03-09,5.137
2017-03-08,5.08
2017-03-07,5.095
2017-03-06,5.068
2017-03-03,5.364
2017-03-02,5.55
2017-03-01,5.624
2017-02-28,5.59
2017-02-27,5.579
2017-02-24,5.582
2017-02-23,5.583
2017-02-22,5.511
2017-02-21,5.567
2017-02-20,5.433
2017-02-17,5.381
2017-02-16,5.321
2017-02-15,5.243
2017-02-14,5.233
2017-02-13,5.248
2017-02-10,5.25
2017-02-09,5.28
2017-02-08,5.221
2017-02-07,5.2
2017-02-06,5.19
2017-02-03,5.27
2017-02-02,5.242
2017-02-01,5.207
2017-01-31,5.209
2017-01-30,5.221
2017-01-27,5.29
2017-01-26,5.2
2017-01-25,5.171
2017-01-24,5.23
2017-01-23,5.172
2017-01-20,5.214
2017-01-19,5.26
2017-01-18,5.32
2017-01-17,5.369
2017-01-16,5.331
2017-01-15,5.331
2017-01-13,5.342
2017-01-12,5.31
2017-01-11,5.317
2017-01-10,5.416
2017-01-09,5.416
2017-01-06,5.4
2017-01-05,5.512
2017-01-04,5.638
2017-01-03,5.754
2017-01-02,5.731
2016-12-31,5.89
2016-12-30,5.638
2016-12-29,5.653
2016-12-28,5.618
2016-12-27,5.615
2016-12-23,5.543
2016-12-22,5.517
2016-12-21,5.626
2016-12-20,5.625
2016-12-19,5.602
2016-12-16,5.605
2016-12-15,5.466
2016-12-14,5.529
2016-12-13,5.538
2016-12-12,5.555
2016-12-09,5.545
2016-12-08,5.39
2016-12-07,5.37
2016-12-06,5.247
2016-12-05,5.209
2016-12-02,5.185
2016-12-01,5.318
2016-11-30,5.742
2016-11-29,5.352
2016-11-28,5.385
2016-11-25,5.471
2016-11-24,5.555
2016-11-23,5.542
2016-11-22,5.496
2016-11-21,5.522
2016-11-18,5.561
2016-11-17,5.536
2016-11-16,5.584
2016-11-15,5.57
2016-11-14,5.674
2016-11-11,5.619
2016-11-10,5.745
2016-11-09,5.85
2016-11-08,5.89
2016-11-07,5.844
2016-11-04,5.763
2016-11-03,5.858
2016-11-02,5.91
2016-11-01,5.98
2016-10-31,6.052
2016-10-28,6.084
2016-10-27,6.062
2016-10-26,6.108
2016-10-25,6.11
2016-10-24,6.076
2016-10-21,5.913
2016-10-20,5.906
2016-10-19,5.871
2016-10-18,5.794
2016-10-17,5.791
2016-10-14,5.89
2016-10-13,5.738
2016-10-12,5.811
2016-10-11,5.897
2016-10-10,5.939
2016-10-07,5.9
2016-10-06,6.026
2016-10-05,6.087
2016-10-04,6.126
2016-10-03,6.018
2016-09-30,6.072
2016-09-29,6.162
2016-09-28,6.14
2016-09-27,6.015
2016-09-26,6.113
