,pti:pl
2018-11-23,3.644
2018-11-22,3.772
2018-11-21,3.838
2018-11-20,3.828
2018-11-19,3.918
2018-11-16,3.914
2018-11-15,3.95
2018-11-14,4.002
2018-11-13,4.03
2018-11-12,4.034
2018-11-09,4.114
2018-11-08,4.126
2018-11-07,4.142
2018-11-06,4.15
2018-11-05,4.122
2018-11-02,4.17
2018-11-01,4.21
2018-10-31,4.4
2018-10-30,4.4
2018-10-29,4.328
2018-10-26,4.222
2018-10-25,4.234
2018-10-24,4.042
2018-10-23,4.052
2018-10-22,4.142
2018-10-19,4.102
2018-10-18,4.25
2018-10-17,4.218
2018-10-16,4.2
2018-10-15,4.094
2018-10-12,4.1
2018-10-11,4.16
2018-10-10,3.9
2018-10-09,4.2
2018-10-08,4.13
2018-10-05,4.22
2018-10-04,4.298
2018-10-03,4.328
2018-10-02,4.402
2018-10-01,4.32
2018-09-28,4.218
2018-09-27,4.288
2018-09-26,4.174
2018-09-25,4.184
2018-09-24,4.258
2018-09-21,4.318
2018-09-20,4.376
2018-09-19,4.36
2018-09-18,4.31
2018-09-17,4.242
2018-09-14,4.256
2018-09-13,4.27
2018-09-12,4.286
2018-09-11,4.134
2018-09-10,4.132
2018-09-07,4.08
2018-09-06,4.126
2018-09-05,4.172
2018-09-04,4.212
2018-09-03,4.298
2018-08-31,4.304
2018-08-30,4.33
2018-08-29,4.394
2018-08-28,4.438
2018-08-27,4.424
2018-08-24,4.432
2018-08-23,4.42
2018-08-22,4.436
2018-08-21,4.436
2018-08-20,4.364
2018-08-17,4.352
2018-08-16,4.476
2018-08-15,4.296
2018-08-14,4.496
2018-08-13,4.602
2018-08-10,4.988
2018-08-09,5.045
2018-08-08,5.03
2018-08-07,4.986
2018-08-06,4.998
2018-08-03,4.904
2018-08-02,4.866
2018-08-01,4.914
2018-07-31,4.884
2018-07-30,4.964
2018-07-27,4.928
2018-07-26,4.968
2018-07-25,5.015
2018-07-24,4.954
2018-07-23,4.988
2018-07-20,5.005
2018-07-19,5.085
2018-07-18,5.085
2018-07-17,5.08
2018-07-16,5.09
2018-07-13,5.075
2018-07-12,5.13
2018-07-11,5.08
2018-07-10,5.1
2018-07-09,5.07
2018-07-06,5.025
2018-07-05,4.982
2018-07-04,4.97
2018-07-03,5.0
2018-07-02,5.055
2018-06-29,5.1
2018-06-28,5.135
2018-06-27,5.18
2018-06-26,5.17
2018-06-25,5.1
2018-06-23,5.19
2018-06-22,5.19
2018-06-21,4.926
2018-06-20,5.17
2018-06-19,5.315
2018-06-18,5.345
2018-06-15,5.415
2018-06-14,5.82
2018-06-13,5.985
2018-06-12,5.93
2018-06-11,5.94
2018-06-08,5.9
2018-06-07,5.695
2018-06-06,5.64
2018-06-05,5.595
2018-06-04,5.565
2018-06-01,5.445
2018-05-31,5.34
2018-05-30,5.28
2018-05-29,5.225
2018-05-28,5.32
2018-05-25,5.36
2018-05-24,5.34
2018-05-23,5.37
2018-05-22,5.43
2018-05-21,5.415
2018-05-18,5.335
2018-05-17,5.415
2018-05-16,5.375
2018-05-15,5.24
2018-05-14,4.98
2018-05-08,4.95
2018-05-07,4.98
2018-05-04,4.846
2018-05-03,4.88
2018-05-02,4.884
2018-04-30,4.84
2018-04-27,4.88
2018-04-26,4.828
2018-04-25,4.82
2018-04-24,4.854
2018-04-23,4.788
2018-04-20,4.77
2018-04-19,4.79
2018-04-18,4.764
2018-04-17,4.724
2018-04-16,4.68
2018-04-13,4.73
2018-04-12,4.706
2018-04-11,4.69
2018-04-10,4.7
2018-04-09,4.72
2018-04-06,4.728
2018-04-05,4.786
2018-04-04,4.718
2018-04-03,4.756
2018-03-29,4.788
2018-03-28,4.77
2018-03-27,4.84
2018-03-26,4.72
2018-03-23,4.74
2018-03-22,4.784
2018-03-21,4.822
2018-03-20,4.768
2018-03-19,4.734
2018-03-16,4.658
2018-03-15,4.584
2018-03-14,4.596
2018-03-13,4.588
2018-03-12,4.524
2018-03-09,4.504
2018-03-08,4.558
2018-03-07,4.46
2018-03-06,4.43
2018-03-05,4.334
2018-03-02,4.298
2018-03-01,4.378
2018-02-28,4.454
2018-02-27,4.468
2018-02-26,4.476
2018-02-23,4.42
2018-02-22,4.514
2018-02-21,4.512
2018-02-20,4.416
2018-02-19,4.244
2018-02-16,4.236
2018-02-15,4.21
2018-02-14,4.142
2018-02-13,4.116
2018-02-12,4.088
2018-02-09,4.02
2018-02-08,4.134
2018-02-07,4.234
2018-02-06,4.218
2018-02-05,4.216
2018-02-02,4.346
2018-02-01,4.44
2018-01-31,4.522
2018-01-30,4.542
2018-01-29,4.542
2018-01-26,4.544
2018-01-25,4.54
2018-01-24,4.572
2018-01-23,4.64
2018-01-22,4.656
2018-01-19,4.652
2018-01-18,4.606
2018-01-17,4.55
2018-01-16,4.594
2018-01-15,4.59
2018-01-12,4.556
2018-01-11,4.562
2018-01-10,4.586
2018-01-09,4.58
2018-01-08,4.522
2018-01-05,4.472
2018-01-04,4.49
2018-01-03,4.442
2018-01-02,4.366
2017-12-29,4.252
2017-12-28,4.266
2017-12-27,4.299
2017-12-22,4.33
2017-12-21,4.353
2017-12-20,4.359
2017-12-19,4.404
2017-12-18,4.417
2017-12-15,4.334
2017-12-14,4.33
2017-12-13,4.319
2017-12-12,4.259
2017-12-11,4.273
2017-12-08,4.25
2017-12-07,4.267
2017-12-06,4.222
2017-12-05,4.222
2017-12-04,4.201
2017-12-01,4.17
2017-11-30,4.182
2017-11-29,4.215
2017-11-28,4.21
2017-11-27,4.164
2017-11-24,4.1
2017-11-23,4.132
2017-11-22,4.135
2017-11-21,4.155
2017-11-20,4.175
2017-11-17,4.091
2017-11-16,4.125
2017-11-15,4.068
2017-11-14,4.112
2017-11-13,4.142
2017-11-10,4.189
2017-11-09,4.212
2017-11-08,4.318
2017-11-07,4.357
2017-11-06,4.381
2017-11-03,4.51
2017-11-02,4.518
2017-11-01,4.48
2017-10-31,4.379
2017-10-30,4.361
2017-10-27,4.387
2017-10-26,4.394
2017-10-25,4.287
2017-10-24,4.334
2017-10-23,4.348
2017-10-20,4.337
2017-10-19,4.323
2017-10-18,4.33
2017-10-17,4.34
2017-10-16,4.338
2017-10-13,4.324
2017-10-12,4.372
2017-10-11,4.302
2017-10-10,4.34
2017-10-09,4.32
2017-10-06,4.256
2017-10-05,4.29
2017-10-04,4.246
2017-10-03,4.221
2017-10-02,4.134
2017-09-29,4.124
2017-09-28,4.093
2017-09-27,4.036
2017-09-26,4.051
2017-09-25,4.102
2017-09-22,4.017
2017-09-21,4.048
2017-09-20,4.004
2017-09-19,3.97
2017-09-18,3.96
2017-09-15,3.789
2017-09-14,3.735
2017-09-13,3.729
2017-09-12,3.678
2017-09-11,3.655
2017-09-08,3.566
2017-09-07,3.588
2017-09-06,3.632
2017-09-05,3.561
2017-09-04,3.613
2017-09-01,3.623
2017-08-31,3.585
2017-08-30,3.581
2017-08-29,3.55
2017-08-28,3.619
2017-08-25,3.646
2017-08-24,3.651
2017-08-23,3.691
2017-08-22,3.678
2017-08-21,3.657
2017-08-18,3.65
2017-08-17,3.707
2017-08-16,3.694
2017-08-15,3.609
2017-08-14,3.652
2017-08-11,3.636
2017-08-10,3.664
2017-08-09,3.691
2017-08-08,3.7
2017-08-07,3.707
2017-08-04,3.65
2017-08-03,3.559
2017-08-02,3.616
2017-08-01,3.646
2017-07-31,3.64
2017-07-28,3.62
2017-07-27,3.73
2017-07-26,3.674
2017-07-25,3.698
2017-07-24,3.704
2017-07-21,3.751
2017-07-20,3.77
2017-07-19,3.731
2017-07-18,3.74
2017-07-17,3.787
2017-07-14,3.756
2017-07-13,3.741
2017-07-12,3.73
2017-07-11,3.719
2017-07-10,3.728
2017-07-07,3.729
2017-07-06,3.754
2017-07-05,3.747
2017-07-04,3.693
2017-07-03,3.695
2017-06-30,3.781
2017-06-29,3.758
2017-06-28,3.858
2017-06-27,3.907
2017-06-26,3.945
2017-06-23,3.932
2017-06-22,3.952
2017-06-21,3.974
2017-06-20,4.003
2017-06-19,4.0
2017-06-16,3.9
2017-06-15,3.904
2017-06-14,3.984
2017-06-13,3.994
2017-06-12,3.889
2017-06-09,3.964
2017-06-08,3.937
2017-06-07,4.02
2017-06-06,3.993
2017-06-05,3.943
2017-06-02,3.974
2017-06-01,4.072
2017-05-31,4.03
2017-05-30,4.022
2017-05-29,4.037
2017-05-26,3.996
2017-05-25,4.013
2017-05-24,3.996
2017-05-23,4.0
2017-05-22,3.95
2017-05-19,3.935
2017-05-18,3.857
2017-05-17,3.93
2017-05-16,4.032
2017-05-15,4.045
2017-05-12,3.997
2017-05-11,3.97
2017-05-10,3.983
2017-05-09,4.018
2017-05-08,3.99
2017-05-05,3.95
2017-05-04,3.984
2017-05-03,3.985
2017-05-02,3.97
2017-04-28,3.886
2017-04-27,3.82
2017-04-26,3.845
2017-04-25,3.796
2017-04-24,3.769
2017-04-21,3.687
2017-04-20,3.716
2017-04-19,3.698
2017-04-18,3.709
2017-04-13,3.777
