,ram:pl
2018-11-23,8.85
2018-11-22,8.65
2018-11-21,8.7
2018-11-20,8.7
2018-11-19,8.8
2018-11-16,8.8
2018-11-15,8.85
2018-11-14,8.85
2018-11-13,8.9
2018-11-12,8.9
2018-11-09,9.0
2018-11-08,8.95
2018-11-07,9.05
2018-11-06,9.05
2018-11-05,9.2
2018-11-02,9.25
2018-11-01,9.3
2018-10-31,8.9
2018-10-30,8.9
2018-10-29,8.9
2018-10-26,8.8
2018-10-25,8.9
2018-10-24,8.8
2018-10-23,8.6
2018-10-22,9.35
2018-10-19,9.6
2018-10-18,9.6
2018-10-17,9.6
2018-10-16,9.6
2018-10-15,9.7
2018-10-12,9.55
2018-10-11,9.7
2018-10-10,9.6
2018-10-09,9.8
2018-10-08,9.9
2018-10-05,9.9
2018-10-04,9.95
2018-10-03,9.85
2018-10-02,9.95
2018-10-01,10.0
2018-09-28,9.95
2018-09-27,9.9
2018-09-26,9.8
2018-09-25,9.6
2018-09-24,9.6
2018-09-21,9.65
2018-09-20,9.8
2018-09-19,9.8
2018-09-18,9.8
2018-09-17,9.65
2018-09-14,9.65
2018-09-13,10.0
2018-09-12,10.0
2018-09-11,9.95
2018-09-10,9.9
2018-09-07,9.75
2018-09-06,9.55
2018-09-05,9.5
2018-09-04,9.7
2018-09-03,9.85
2018-08-31,10.0
2018-08-30,10.1
2018-08-29,10.1
2018-08-28,10.2
2018-08-27,10.2
2018-08-24,10.2
2018-08-23,10.3
2018-08-22,10.2
2018-08-21,10.3
2018-08-20,10.3
2018-08-17,10.1
2018-08-16,10.1
2018-08-15,10.0
2018-08-14,10.1
2018-08-13,10.1
2018-08-10,10.2
2018-08-09,10.1
2018-08-08,10.2
2018-08-07,10.2
2018-08-06,10.2
2018-08-03,10.2
2018-08-02,10.2
2018-08-01,10.0
2018-07-31,10.0
2018-07-30,10.2
2018-07-27,10.1
2018-07-26,10.1
2018-07-25,10.1
2018-07-24,10.2
2018-07-23,10.3
2018-07-20,10.2
2018-07-19,10.2
2018-07-18,10.1
2018-07-17,10.1
2018-07-16,10.2
2018-07-13,10.1
2018-07-12,9.5
2018-07-11,8.95
2018-07-10,8.95
2018-07-09,9.0
2018-07-06,9.0
2018-07-05,8.95
2018-07-04,8.9
2018-07-03,8.75
2018-07-02,8.45
2018-06-29,8.65
2018-06-28,8.75
2018-06-27,8.85
2018-06-26,8.55
2018-06-25,8.75
2018-06-23,8.85
