,rene:pl
2018-11-23,2.398
2018-11-22,2.406
2018-11-21,2.4
2018-11-20,2.408
2018-11-19,2.416
2018-11-16,2.424
2018-11-15,2.418
2018-11-14,2.426
2018-11-13,2.412
2018-11-12,2.436
2018-11-09,2.444
2018-11-08,2.42
2018-11-07,2.388
2018-11-06,2.378
2018-11-05,2.37
2018-11-02,2.37
2018-11-01,2.352
2018-10-31,2.354
2018-10-30,2.33
2018-10-29,2.34
2018-10-26,2.336
2018-10-25,2.34
2018-10-24,2.334
2018-10-23,2.33
2018-10-22,2.356
2018-10-19,2.36
2018-10-18,2.378
2018-10-17,2.388
2018-10-16,2.382
2018-10-15,2.354
2018-10-12,2.334
2018-10-11,2.35
2018-10-10,2.36
2018-10-09,2.368
2018-10-08,2.368
2018-10-05,2.384
2018-10-04,2.388
2018-10-03,2.392
2018-10-02,2.388
2018-10-01,2.416
2018-09-28,2.43
2018-09-27,2.444
2018-09-26,2.42
2018-09-25,2.422
2018-09-24,2.424
2018-09-21,2.422
2018-09-20,2.42
2018-09-19,2.432
2018-09-18,2.456
2018-09-17,2.442
2018-09-14,2.424
2018-09-13,2.428
2018-09-12,2.426
2018-09-11,2.43
2018-09-10,2.428
2018-09-07,2.408
2018-09-06,2.418
2018-09-05,2.428
2018-09-04,2.422
2018-09-03,2.44
2018-08-31,2.44
2018-08-30,2.436
2018-08-29,2.456
2018-08-28,2.47
2018-08-27,2.47
2018-08-24,2.446
2018-08-23,2.44
2018-08-22,2.452
2018-08-21,2.466
2018-08-20,2.446
2018-08-17,2.442
2018-08-16,2.44
2018-08-15,2.426
2018-08-14,2.45
2018-08-13,2.446
2018-08-10,2.482
2018-08-09,2.49
2018-08-08,2.494
2018-08-07,2.494
2018-08-06,2.496
2018-08-03,2.498
2018-08-02,2.496
2018-08-01,2.5
2018-07-31,2.506
2018-07-30,2.52
2018-07-27,2.49
2018-07-26,2.474
2018-07-25,2.476
2018-07-24,2.47
2018-07-23,2.486
2018-07-20,2.484
2018-07-19,2.488
2018-07-18,2.47
2018-07-17,2.47
2018-07-16,2.462
2018-07-13,2.464
2018-07-12,2.468
2018-07-11,2.456
2018-07-10,2.478
2018-07-09,2.474
2018-07-06,2.47
2018-07-05,2.45
2018-07-04,2.448
2018-07-03,2.434
2018-07-02,2.434
2018-06-29,2.4
2018-06-28,2.396
2018-06-27,2.374
2018-06-26,2.356
2018-06-25,2.342
2018-06-23,2.342
2018-06-22,2.342
2018-06-21,2.348
2018-06-20,2.39
2018-06-19,2.39
2018-06-18,2.384
2018-06-15,2.372
2018-06-14,2.376
2018-06-13,2.368
2018-06-12,2.342
2018-06-11,2.336
2018-06-08,2.334
2018-06-07,2.364
2018-06-06,2.356
2018-06-05,2.37
2018-06-04,2.37
2018-06-01,2.356
2018-05-31,2.378
2018-05-30,2.356
2018-05-29,2.326
2018-05-28,2.406
2018-05-25,2.42
2018-05-24,2.45
2018-05-23,2.47
2018-05-22,2.638
2018-05-21,2.614
2018-05-18,2.624
2018-05-17,2.62
2018-05-16,2.614
2018-05-15,2.65
2018-05-14,2.63
2018-05-11,2.597
2018-05-10,2.572
2018-05-09,2.576
2018-05-08,2.59
2018-05-07,2.598
2018-05-04,2.596
2018-05-03,2.594
2018-05-02,2.594
2018-04-30,2.612
2018-04-27,2.58
2018-04-26,2.56
2018-04-25,2.562
2018-04-24,2.59
2018-04-23,2.564
2018-04-20,2.562
2018-04-19,2.554
2018-04-18,2.53
2018-04-17,2.538
2018-04-16,2.54
2018-04-13,2.552
2018-04-12,2.56
2018-04-11,2.55
2018-04-10,2.556
2018-04-09,2.546
2018-04-06,2.536
2018-04-05,2.522
2018-04-04,2.514
2018-04-03,2.526
2018-03-29,2.508
2018-03-28,2.498
2018-03-27,2.468
2018-03-26,2.45
2018-03-23,2.452
2018-03-22,2.466
2018-03-21,2.474
2018-03-20,2.48
2018-03-19,2.484
2018-03-16,2.528
2018-03-15,2.476
2018-03-14,2.48
2018-03-13,2.5
2018-03-12,2.494
2018-03-09,2.5
2018-03-08,2.494
2018-03-07,2.468
2018-03-06,2.46
2018-03-05,2.45
2018-03-02,2.46
2018-03-01,2.482
2018-02-28,2.474
2018-02-27,2.504
2018-02-26,2.522
2018-02-23,2.51
2018-02-22,2.478
2018-02-21,2.45
2018-02-20,2.464
2018-02-19,2.496
2018-02-16,2.508
2018-02-15,2.484
2018-02-14,2.474
2018-02-13,2.444
2018-02-12,2.44
2018-02-09,2.428
2018-02-08,2.43
2018-02-07,2.448
2018-02-06,2.416
2018-02-05,2.452
2018-02-02,2.478
2018-02-01,2.508
