,san:sm
2018-11-23,4.0875
2018-11-22,4.0855
2018-11-21,4.153
2018-11-20,4.08
2018-11-19,4.203
2018-11-16,4.22
2018-11-15,4.2315
2018-11-14,4.279
2018-11-13,4.29
2018-11-12,4.1965
2018-11-09,4.239
2018-11-08,4.3065
2018-11-07,4.31
2018-11-06,4.2085
2018-11-05,4.257
2018-11-02,4.284
2018-11-01,4.233
2018-10-31,4.195
2018-10-30,4.1085
2018-10-29,4.1235
2018-10-26,4.021
2018-10-25,4.07
2018-10-24,3.981
2018-10-23,4.038
2018-10-22,4.1005
2018-10-19,4.125
2018-10-18,4.1385
2018-10-17,4.2256
2018-10-16,4.2653
2018-10-15,4.1959
2018-10-12,4.222
2018-10-11,4.26
2018-10-10,4.363
2018-10-09,4.3755
2018-10-08,4.3325
2018-10-05,4.3155
2018-10-04,4.351
2018-10-03,4.337
2018-10-02,4.2595
2018-10-01,4.2915
2018-09-28,4.3355
2018-09-27,4.481
2018-09-26,4.485
2018-09-25,4.476
2018-09-24,4.4785
2018-09-21,4.572
2018-09-20,4.553
2018-09-19,4.4755
2018-09-18,4.3865
2018-09-17,4.331
2018-09-14,4.283
2018-09-13,4.2675
2018-09-12,4.237
2018-09-11,4.2415
2018-09-10,4.254
2018-09-07,4.178
2018-09-06,4.2285
2018-09-05,4.2735
2018-09-04,4.2865
2018-08-31,4.2815
2018-08-30,4.282
2018-08-29,4.3645
2018-08-28,4.362
2018-08-27,4.385
2018-08-24,4.35
2018-08-23,4.357
2018-08-22,4.3525
2018-08-21,4.4
2018-08-20,4.3495
2018-08-17,4.3395
2018-08-16,4.3695
2018-08-15,4.3355
2018-08-14,4.4185
2018-08-13,4.43
2018-08-10,4.5405
2018-08-09,4.668
2018-08-08,4.6945
2018-08-07,4.7285
2018-08-06,4.68
2018-08-03,4.6905
2018-08-02,4.68
2018-08-01,4.753
2018-07-31,4.8195
2018-07-30,4.7655
2018-07-27,4.818
2018-07-26,4.764
2018-07-25,4.717
2018-07-24,4.7445
2018-07-23,4.665
2018-07-20,4.646
2018-07-19,4.652
2018-07-18,4.647
2018-07-17,4.6095
2018-07-16,4.631
2018-07-13,4.6195
2018-07-12,4.6605
2018-07-11,4.6415
2018-07-10,4.75
2018-07-09,4.8
2018-07-06,4.757
2018-07-05,4.721
2018-07-04,4.644
2018-07-03,4.6125
2018-07-02,4.5625
2018-06-29,4.592
2018-06-28,4.574
2018-06-27,4.582
2018-06-26,4.6095
2018-06-25,4.5925
2018-06-22,4.734
2018-06-21,4.6785
2018-06-20,4.726
2018-06-19,4.66
2018-06-18,4.6515
2018-06-15,4.6815
2018-06-14,4.7865
2018-06-13,4.7705
2018-06-12,4.817
2018-06-11,4.829
2018-06-08,4.6965
2018-06-07,4.767
2018-06-06,4.778
2018-06-05,4.694
2018-06-04,4.7745
2018-06-01,4.7525
2018-05-31,4.6
2018-05-30,4.674
2018-05-29,4.6225
2018-05-28,4.888
2018-05-25,4.99
2018-05-24,5.126
2018-05-23,5.16
2018-05-22,5.258
2018-05-21,5.169
2018-05-18,5.206
2018-05-17,5.352
2018-05-16,5.329
2018-05-15,5.467
2018-05-14,5.506
2018-05-11,5.523
2018-05-10,5.477
2018-05-09,5.442
2018-05-08,5.366
2018-05-07,5.38
2018-05-04,5.376
2018-05-03,5.336
2018-05-02,5.398
2018-04-30,5.373
2018-04-27,5.316
2018-04-26,5.356
2018-04-25,5.376
2018-04-24,5.393
2018-04-23,5.574
2018-04-20,5.508
2018-04-19,5.505
2018-04-18,5.467
2018-04-17,5.405
2018-04-16,5.386
2018-04-13,5.369
2018-04-12,5.343
2018-04-11,5.323
2018-04-10,5.349
2018-04-09,5.36
2018-04-06,5.337
2018-04-05,5.397
2018-04-04,5.203
2018-04-03,5.23
2018-03-29,5.295
2018-03-28,5.246
2018-03-27,5.262
2018-03-26,5.223
2018-03-23,5.18
2018-03-22,5.21
2018-03-21,5.321
2018-03-20,5.365
2018-03-19,5.359
2018-03-16,5.44
2018-03-15,5.335
2018-03-14,5.351
2018-03-13,5.453
2018-03-12,5.483
2018-03-09,5.459
2018-03-08,5.47
2018-03-07,5.459
2018-03-06,5.454
2018-03-05,5.505
2018-03-02,5.484
2018-03-01,5.606
2018-02-28,5.667
2018-02-27,5.73
2018-02-26,5.691
2018-02-23,5.653
2018-02-22,5.664
2018-02-21,5.657
2018-02-20,5.679
2018-02-19,5.587
2018-02-16,5.615
2018-02-15,5.518
2018-02-14,5.494
2018-02-13,5.476
2018-02-12,5.581
2018-02-09,5.483
2018-02-08,5.58
2018-02-07,5.731
2018-02-06,5.61
2018-02-05,5.779
2018-02-02,5.854
2018-02-01,5.941
2018-01-31,5.983
2018-01-30,5.931
2018-01-29,6.047
2018-01-26,6.057
2018-01-25,6.076
2018-01-24,5.982
2018-01-23,5.97
2018-01-22,5.93
2018-01-19,5.888
2018-01-18,5.876
2018-01-17,5.894
2018-01-16,5.871
2018-01-15,5.883
2018-01-12,5.892
2018-01-11,5.826
2018-01-10,5.692
2018-01-09,5.702
2018-01-08,5.692
2018-01-05,5.675
2018-01-04,5.638
2018-01-03,5.455
2018-01-02,5.454
2017-12-29,5.479
2017-12-28,5.511
2017-12-27,5.56
2017-12-22,5.594
2017-12-21,5.717
2017-12-20,5.631
2017-12-19,5.673
2017-12-18,5.671
2017-12-15,5.624
2017-12-14,5.616
2017-12-13,5.655
2017-12-12,5.682
2017-12-11,5.636
2017-12-08,5.63
2017-12-07,5.531
2017-12-06,5.501
2017-12-05,5.558
2017-12-04,5.577
2017-12-01,5.503
2017-11-30,5.643
2017-11-29,5.704
2017-11-28,5.601
2017-11-27,5.573
2017-11-24,5.557
2017-11-23,5.512
2017-11-22,5.497
2017-11-21,5.467
2017-11-20,5.498
2017-11-17,5.481
2017-11-16,5.533
2017-11-15,5.527
2017-11-14,5.459
2017-11-13,5.535
2017-11-10,5.563
2017-11-09,5.558
2017-11-08,5.6
2017-11-07,5.62
2017-11-06,5.641
2017-11-03,5.711
2017-11-02,5.82
2017-11-01,5.831
2017-10-31,5.823
2017-10-30,5.826
2017-10-27,5.698
2017-10-26,5.813
2017-10-25,5.632
2017-10-24,5.625
2017-10-23,5.54
2017-10-20,5.6
2017-10-19,5.571
2017-10-18,5.639
2017-10-17,5.5967
2017-10-16,5.532
2017-10-13,5.531
2017-10-12,5.5967
2017-10-11,5.6126
2017-10-10,5.5768
2017-10-09,5.7448
2017-10-06,5.7398
2017-10-05,5.7318
2017-10-04,5.5688
2017-10-03,5.7905
2017-10-02,5.7776
2017-09-29,5.872
2017-09-28,5.8551
2017-09-27,5.8253
2017-09-26,5.6324
2017-09-25,5.6404
2017-09-22,5.705
2017-09-21,5.6593
2017-09-20,5.5927
2017-09-19,5.6424
2017-09-18,5.5927
2017-09-15,5.5539
2017-09-14,5.6245
2017-09-13,5.5609
2017-09-12,5.539
2017-09-11,5.4903
2017-09-08,5.3123
2017-09-07,5.2487
2017-09-06,5.2716
2017-09-05,5.3173
2017-09-04,5.4078
2017-09-01,5.4446
2017-08-31,5.4267
2017-08-30,5.375
2017-08-29,5.3382
2017-08-28,5.4137
2017-08-25,5.4376
2017-08-24,5.4376
2017-08-23,5.4008
2017-08-22,5.4485
2017-08-21,5.4058
2017-08-18,5.4575
2017-08-17,5.4684
2017-08-16,5.6086
2017-08-15,5.5758
2017-08-14,5.5599
2017-08-11,5.4386
2017-08-10,5.5668
2017-08-09,5.698
2017-08-08,5.8183
2017-08-07,5.832
2017-08-04,5.815
2017-08-03,5.758
2017-08-02,5.715
2017-08-01,5.824
2017-07-31,5.774
2017-07-28,5.8
2017-07-27,5.808
2017-07-26,5.806
2017-07-25,5.809
2017-07-24,5.704
2017-07-21,5.637
2017-07-20,5.72
2017-07-19,5.655
2017-07-18,5.684
2017-07-17,5.735
2017-07-14,5.795
2017-07-13,5.85
2017-07-12,5.786
2017-07-11,5.763
2017-07-10,5.809
2017-07-07,5.809
2017-07-06,5.876
2017-07-05,5.8236
2017-07-04,5.8571
2017-07-03,5.9033
2017-06-30,5.6968
2017-06-29,5.8118
2017-06-28,5.9004
2017-06-27,5.7882
2017-06-26,5.7489
2017-06-23,5.6997
2017-06-22,5.7597
2017-06-21,5.7538
2017-06-20,5.7607
2017-06-19,5.8286
2017-06-16,5.7577
2017-06-15,5.7902
2017-06-14,5.8325
2017-06-13,5.9594
2017-06-12,5.9653
2017-06-09,6.0194
2017-06-08,5.9505
2017-06-07,5.6545
2017-06-06,5.7046
2017-06-05,5.7145
2017-06-02,5.7243
2017-06-01,5.6948
2017-05-31,5.6859
2017-05-30,5.7056
2017-05-29,5.7676
2017-05-26,5.7705
2017-05-25,5.7882
2017-05-24,5.7784
2017-05-23,5.743
2017-05-22,5.6141
2017-05-19,5.7371
2017-05-18,5.6436
2017-05-17,5.86
2017-05-16,6.0341
2017-05-15,6.043
2017-05-12,5.9289
2017-05-11,5.9603
2017-05-10,6.0321
2017-05-09,6.0567
2017-05-08,6.162
2017-05-05,6.1935
2017-05-04,6.0666
2017-05-03,5.9731
2017-05-02,5.9564
2017-04-28,5.8885
2017-04-27,5.8443
2017-04-26,5.9505
2017-04-25,5.9407
2017-04-24,5.9013
2017-04-21,5.5768
2017-04-20,5.5669
2017-04-19,5.5453
2017-04-18,5.385
2017-04-13,5.3968
2017-04-12,5.4715
2017-04-11,5.5423
2017-04-10,5.5846
2017-04-07,5.68
2017-04-06,5.6653
2017-04-05,5.6063
2017-04-04,5.5699
2017-04-03,5.5522
2017-03-31,5.6505
2017-03-30,5.6505
2017-03-29,5.6279
2017-03-28,5.6653
2017-03-27,5.5718
2017-03-24,5.621
2017-03-23,5.6299
2017-03-22,5.5876
2017-03-21,5.564
2017-03-20,5.5433
2017-03-17,5.5571
2017-03-16,5.5423
2017-03-15,5.3437
2017-03-14,5.2719
2017-03-13,5.3712
2017-03-10,5.3997
2017-03-09,5.383
2017-03-08,5.2542
2017-03-07,5.2001
2017-03-06,5.1971
2017-03-03,5.2276
2017-03-02,5.143
2017-03-01,5.2315
2017-02-28,5.0692
2017-02-27,4.9738
2017-02-24,4.966
2017-02-23,5.0319
2017-02-22,5.0191
2017-02-21,5.1145
2017-02-20,5.0781
2017-02-17,5.0555
2017-02-16,5.1214
2017-02-15,5.1735
2017-02-14,5.086
2017-02-13,5.0466
2017-02-10,4.9581
2017-02-09,5.0427
2017-02-08,4.964
2017-02-07,5.0338
2017-02-06,5.1361
2017-02-03,5.2473
2017-02-02,5.202
2017-02-01,5.1204
2017-01-31,5.0643
2017-01-30,5.1174
2017-01-27,5.2689
2017-01-26,5.2738
2017-01-25,5.2827
2017-01-24,5.0781
2017-01-23,4.967
2017-01-20,5.0486
2017-01-19,5.0033
2017-01-18,4.9758
2017-01-17,4.9591
2017-01-16,4.9817
2017-01-13,5.0643
2017-01-12,4.9778
2017-01-11,4.9876
2017-01-10,5.0309
2017-01-09,5.0358
2017-01-06,5.0929
2017-01-05,5.0643
2017-01-04,5.0496
2017-01-03,5.027
