,sct:pl
2018-11-23,2.7
2018-11-22,2.7
2018-11-21,2.68
2018-11-20,2.7
2018-11-19,2.7
2018-11-16,2.88
2018-11-15,2.7
2018-11-14,2.7
2018-11-08,2.88
2018-11-01,2.88
2018-10-31,2.88
2018-10-25,2.88
2018-10-24,2.8
2018-10-22,2.8
2018-10-19,2.74
2018-10-18,2.8
2018-10-16,2.88
2018-10-12,2.88
2018-10-11,2.82
2018-10-10,2.98
2018-10-09,2.92
2018-10-04,2.98
2018-10-03,2.98
2018-10-02,2.98
2018-09-28,3.08
2018-09-21,3.08
2018-09-19,3.1
2018-09-17,3.0
2018-09-14,3.16
2018-09-12,3.12
2018-09-11,2.92
2018-09-07,3.16
2018-09-05,3.16
2018-09-04,2.98
2018-08-31,3.22
2018-08-30,3.24
2018-08-29,3.06
2018-08-28,3.0
2018-08-23,3.06
2018-08-22,3.06
2018-08-20,3.06
2018-08-17,3.06
2018-08-16,3.06
2018-08-15,3.0
2018-08-10,2.98
2018-08-09,2.98
2018-08-08,2.94
2018-08-06,2.88
2018-08-02,2.88
2018-07-31,2.88
2018-07-30,2.8
2018-07-25,2.88
2018-07-20,2.88
2018-07-19,2.76
2018-07-18,2.8
2018-07-16,2.88
2018-07-13,2.8
2018-07-12,2.8
2018-07-06,2.84
2018-07-05,2.82
2018-07-04,2.88
2018-06-29,2.88
2018-06-28,2.8
2018-06-27,2.8
2018-06-25,2.8
2018-06-23,2.88
2018-06-22,2.88
2018-06-19,2.88
2018-06-18,2.88
2018-06-15,2.88
2018-06-13,2.84
2018-06-12,2.84
2018-06-11,2.78
2018-06-08,2.76
2018-06-07,2.74
2018-06-06,2.7
2018-06-05,2.7
2018-06-04,2.7
2018-06-01,2.66
2018-05-31,2.76
2018-05-30,2.66
2018-05-29,2.74
2018-05-25,2.8
2018-05-24,2.8
2018-05-23,2.8
2018-05-18,2.82
2018-05-17,2.82
2018-05-16,2.76
2018-05-15,2.94
2018-05-14,2.92
2018-05-07,2.9
2018-05-04,2.9
2018-05-03,2.8
2018-05-02,2.92
2018-04-30,2.8
2018-04-27,2.94
2018-04-26,2.94
2018-04-24,2.94
2018-04-23,2.94
2018-04-20,2.88
2018-04-18,2.8
2018-04-16,2.84
2018-04-13,2.86
2018-04-12,2.86
2018-04-10,2.78
2018-04-09,2.68
2018-04-06,2.7
2018-04-05,2.76
2018-04-03,2.8
2018-03-29,2.9
2018-03-28,2.8
2018-03-27,2.78
2018-03-23,2.78
2018-03-22,2.68
2018-03-21,2.74
2018-03-19,2.74
2018-03-16,2.7
2018-03-15,2.78
2018-03-14,2.74
2018-03-13,2.72
2018-03-12,2.68
2018-03-08,2.66
2018-03-06,2.64
2018-03-05,2.64
2018-03-01,2.5
2018-02-27,2.62
2018-02-26,2.5
2018-02-22,2.6
2018-02-21,2.5
2018-02-20,2.5
2018-02-19,2.7
2018-02-16,2.74
2018-02-15,2.7
2018-02-14,2.62
2018-02-09,2.64
2018-02-06,2.64
2018-01-31,2.66
2018-01-30,2.64
2018-01-26,2.74
2018-01-25,2.74
2018-01-23,2.7
2018-01-22,2.7
2018-01-19,2.7
2018-01-16,2.66
2018-01-15,2.76
2018-01-12,2.76
2018-01-11,2.78
2018-01-09,2.78
2018-01-08,2.76
2018-01-05,2.76
2018-01-04,2.76
2018-01-03,2.74
2018-01-02,2.76
2017-12-29,2.65
2017-12-28,2.71
2017-12-27,2.71
2017-12-21,2.75
2017-12-20,2.75
2017-12-19,2.79
2017-12-18,2.7
2017-12-15,2.8
2017-12-14,2.77
2017-12-13,2.85
2017-12-12,2.75
2017-12-11,2.66
2017-12-08,2.67
2017-12-07,2.6
2017-12-06,2.56
2017-12-05,2.55
2017-12-04,2.4
2017-11-29,2.38
2017-11-27,2.41
2017-11-24,2.43
2017-11-23,2.4
2017-11-22,2.4
2017-11-21,2.4
2017-11-20,2.4
