,sem:pl
2018-11-23,14.1
2018-11-22,14.16
2018-11-21,14.34
2018-11-20,14.5
2018-11-19,14.76
2018-11-16,14.98
2018-11-15,14.8
2018-11-14,15.06
2018-11-13,15.14
2018-11-12,15.34
2018-11-09,15.64
2018-11-08,15.8
2018-11-07,15.86
2018-11-06,15.78
2018-11-05,15.96
2018-11-02,15.96
2018-11-01,16.5
2018-10-31,16.88
2018-10-30,16.78
2018-10-29,16.46
2018-10-26,16.28
2018-10-25,16.34
2018-10-24,15.72
2018-10-23,15.9
2018-10-22,16.4
2018-10-19,16.5
2018-10-18,16.52
2018-10-17,16.7
2018-10-16,17.08
2018-10-15,16.82
2018-10-12,16.84
2018-10-11,17.04
2018-10-10,16.06
2018-10-09,16.84
2018-10-08,16.82
2018-10-05,17.14
2018-10-04,17.44
2018-10-03,17.62
2018-10-02,17.54
2018-10-01,17.26
2018-09-28,17.12
2018-09-27,17.28
2018-09-26,17.1
2018-09-25,17.24
2018-09-24,17.32
2018-09-21,17.1
2018-09-20,17.48
2018-09-19,17.72
2018-09-18,17.58
2018-09-17,17.64
2018-09-14,17.52
2018-09-13,17.94
2018-09-12,17.92
2018-09-11,17.62
2018-09-10,17.5
2018-09-07,17.34
2018-09-06,17.58
2018-09-05,17.64
2018-09-04,17.5
2018-09-03,17.4
2018-08-31,17.8
2018-08-30,18.22
2018-08-29,18.44
2018-08-28,18.46
2018-08-27,18.32
2018-08-24,17.92
2018-08-23,17.94
2018-08-22,18.14
2018-08-21,18.52
2018-08-20,18.3
2018-08-17,18.42
2018-08-16,18.3
2018-08-15,18.04
2018-08-14,18.44
2018-08-13,18.82
2018-08-10,19.74
2018-08-09,20.05
2018-08-08,20.15
2018-08-07,20.4
2018-08-06,20.6
2018-08-03,20.3
2018-08-02,20.3
2018-08-01,20.35
2018-07-31,20.1
2018-07-30,20.45
2018-07-27,20.7
2018-07-26,20.55
2018-07-25,20.75
2018-07-24,20.5
2018-07-23,21.15
2018-07-20,21.6
2018-07-19,22.05
2018-07-18,22.5
2018-07-17,22.5
2018-07-16,22.65
