,slben:pl
2018-11-23,1.7
2018-11-22,1.7
2018-11-21,1.78
2018-11-20,1.585
2018-11-19,1.515
2018-11-16,1.41
2018-11-15,1.74
2018-11-14,1.74
2018-11-13,1.79
2018-11-12,1.785
2018-11-09,1.845
2018-11-08,1.85
2018-11-07,1.91
2018-11-06,1.93
2018-11-05,1.86
2018-11-02,1.95
2018-11-01,2.0
2018-10-31,1.95
2018-10-30,1.96
2018-10-29,1.95
2018-10-26,2.03
2018-10-25,2.01
2018-10-24,2.04
2018-10-23,2.0
2018-10-22,2.0
2018-10-19,2.0
2018-10-18,2.01
2018-10-17,2.07
2018-10-16,2.05
2018-10-15,1.995
2018-10-12,1.99
2018-10-11,2.11
2018-10-10,2.1
2018-10-09,2.13
2018-10-08,2.05
2018-10-05,2.07
2018-10-04,2.1
2018-10-03,2.04
2018-10-02,2.13
2018-10-01,2.06
2018-09-28,2.11
2018-09-27,2.18
2018-09-26,2.09
2018-09-25,2.07
2018-09-24,2.19
2018-09-21,2.1
2018-09-20,1.995
2018-09-19,2.09
2018-09-18,2.06
2018-09-17,2.06
2018-09-14,2.01
2018-09-13,2.02
2018-09-12,2.03
2018-09-11,2.01
2018-09-10,2.03
2018-09-07,2.0
2018-09-06,2.05
2018-09-05,1.885
2018-09-04,2.22
2018-09-03,2.33
2018-08-31,2.33
2018-08-30,2.38
2018-08-29,2.24
2018-08-28,2.15
2018-08-27,2.16
2018-08-24,2.2
2018-08-23,2.22
2018-08-22,2.2
2018-08-21,2.24
2018-08-20,2.18
2018-08-17,1.975
2018-08-16,1.97
2018-08-15,2.0
2018-08-14,1.8
2018-08-13,1.79
2018-08-10,1.85
2018-08-09,1.715
2018-08-08,1.705
2018-08-07,1.74
2018-08-06,1.745
2018-08-03,1.7
2018-08-02,1.695
2018-08-01,1.765
2018-07-31,1.68
2018-07-30,1.68
2018-07-27,1.635
2018-07-26,1.655
2018-07-25,1.66
2018-07-24,1.67
2018-07-23,1.655
2018-07-20,1.635
2018-07-19,1.66
2018-07-18,1.66
2018-07-17,1.7
2018-07-16,1.65
2018-07-13,1.8
2018-07-12,1.755
2018-07-11,1.82
2018-07-10,1.84
2018-07-09,1.795
2018-07-06,1.8
2018-07-05,1.83
2018-07-04,1.78
2018-07-03,1.59
2018-07-02,1.365
2018-06-29,1.35
2018-06-28,1.36
2018-06-27,1.35
2018-06-26,1.35
2018-06-23,1.35
2018-06-22,1.35
2018-06-21,1.4
2018-06-20,1.4
2018-06-19,1.35
2018-06-18,1.355
2018-06-15,1.4
2018-06-14,1.335
2018-06-13,1.395
2018-06-12,1.335
2018-06-11,1.265
2018-06-08,1.325
2018-06-07,1.325
2018-06-06,1.35
2018-06-05,1.35
2018-06-04,1.345
2018-06-01,1.325
2018-05-31,1.395
2018-05-30,1.32
2018-05-29,1.34
2018-05-28,1.34
2018-05-25,1.355
2018-05-24,1.35
2018-05-23,1.36
2018-05-22,1.36
2018-05-21,1.365
2018-05-18,1.4
2018-05-17,1.42
2018-05-16,1.4
2018-05-15,1.365
2018-05-14,1.43
2018-05-08,1.32
2018-05-07,1.325
2018-05-04,1.32
2018-05-03,1.36
2018-05-02,1.37
2018-04-30,1.3
2018-04-27,1.395
2018-04-26,1.38
2018-04-24,1.365
2018-04-23,1.4
2018-04-20,1.38
2018-04-19,1.37
2018-04-18,1.37
2018-04-17,1.365
2018-04-16,1.39
2018-04-13,1.5
2018-04-12,1.5
2018-04-11,1.45
2018-04-10,1.405
2018-04-09,1.405
2018-04-06,1.48
2018-04-05,1.47
2018-04-04,1.415
2018-04-03,1.49
2018-03-29,1.36
2018-03-28,1.37
2018-03-27,1.4
2018-03-26,1.37
2018-03-23,1.37
2018-03-22,1.37
2018-03-21,1.37
2018-03-20,1.38
2018-03-19,1.38
2018-03-16,1.4
2018-03-15,1.415
2018-03-14,1.365
2018-03-13,1.355
2018-03-12,1.45
2018-03-09,1.4
2018-03-08,1.4
2018-03-07,1.375
2018-03-06,1.37
2018-03-05,1.4
2018-03-02,1.37
2018-03-01,1.37
2018-02-28,1.29
2018-02-27,1.29
2018-02-26,1.325
2018-02-23,1.305
2018-02-22,1.265
2018-02-21,1.25
2018-02-20,1.3
2018-02-19,1.295
2018-02-16,1.295
2018-02-15,1.25
2018-02-14,1.26
2018-02-12,1.255
2018-02-09,1.25
2018-02-08,1.26
2018-02-07,1.265
2018-02-06,1.26
2018-02-05,1.3
2018-02-02,1.245
2018-02-01,1.33
2018-01-31,1.265
2018-01-30,1.3
2018-01-29,1.395
2018-01-26,1.37
2018-01-25,1.36
2018-01-24,1.295
2018-01-23,1.365
2018-01-22,1.29
2018-01-19,1.22
2018-01-18,1.25
2018-01-17,1.23
2018-01-16,1.23
2018-01-15,1.27
2018-01-12,1.245
2018-01-11,1.195
2018-01-10,1.23
2018-01-09,1.2
2018-01-08,1.2
2018-01-05,1.18
2018-01-04,1.165
2018-01-03,1.225
2018-01-02,1.11
2017-12-29,1.15
2017-12-28,1.146
2017-12-27,1.213
2017-12-22,1.144
2017-12-21,1.15
2017-12-20,1.17
2017-12-19,1.2
2017-12-18,1.2
2017-12-15,1.18
2017-12-14,1.151
2017-12-13,1.16
2017-12-12,1.13
2017-12-11,1.11
2017-12-07,1.15
2017-12-06,1.12
2017-12-05,1.2
2017-12-04,1.131
2017-11-30,1.2
2017-11-29,1.145
2017-11-28,1.22
2017-11-27,1.107
2017-11-24,1.126
2017-11-23,1.171
2017-11-22,1.172
2017-11-21,1.2
2017-11-20,1.202
2017-11-17,1.211
2017-11-16,1.212
2017-11-15,1.232
2017-11-14,1.217
2017-11-13,1.206
2017-11-10,1.329
2017-11-09,1.28
2017-11-08,1.285
2017-11-07,1.3
2017-11-06,1.35
2017-11-03,1.325
2017-11-02,1.325
2017-11-01,1.342
2017-10-31,1.338
2017-10-30,1.342
2017-10-27,1.336
2017-10-26,1.336
2017-10-25,1.332
2017-10-24,1.323
2017-10-23,1.322
2017-10-20,1.345
2017-10-19,1.4
2017-10-18,1.46
2017-10-17,1.46
2017-10-16,1.46
2017-10-13,1.435
2017-10-12,1.56
2017-10-11,1.58
2017-10-10,1.581
2017-10-09,1.6
2017-10-06,1.58
2017-10-05,1.6
2017-10-04,1.615
2017-10-03,1.61
2017-10-02,1.56
2017-09-29,1.405
2017-09-28,1.408
2017-09-27,1.456
2017-09-26,1.5
2017-09-25,1.462
2017-09-22,1.421
2017-09-21,1.5
2017-09-20,1.374
2017-09-19,1.365
2017-09-18,1.37
2017-09-15,1.37
2017-09-14,1.326
2017-09-13,1.274
2017-09-12,1.4
2017-09-11,1.4
2017-09-08,1.341
2017-09-07,1.32
