,son:pl
2018-11-23,0.822
2018-11-22,0.819
2018-11-21,0.8255
2018-11-20,0.831
2018-11-19,0.8385
2018-11-16,0.825
2018-11-15,0.82
2018-11-14,0.867
2018-11-13,0.8945
2018-11-12,0.891
2018-11-09,0.866
2018-11-08,0.859
2018-11-07,0.864
2018-11-06,0.8605
2018-11-05,0.8725
2018-11-02,0.89
2018-11-01,0.889
2018-10-31,0.8845
2018-10-30,0.8825
2018-10-29,0.859
2018-10-26,0.855
2018-10-25,0.8695
2018-10-24,0.866
2018-10-23,0.855
2018-10-22,0.857
2018-10-19,0.8495
2018-10-18,0.847
2018-10-17,0.8365
2018-10-16,0.81
2018-10-15,0.84
2018-10-12,0.872
2018-10-11,0.829
2018-10-10,0.8515
2018-10-09,0.8765
2018-10-08,0.8525
2018-10-05,0.8605
2018-10-04,0.8675
2018-10-03,0.8895
2018-10-02,0.8885
2018-10-01,0.8855
2018-09-28,0.8925
2018-09-27,0.9025
2018-09-26,0.905
2018-09-25,0.89
2018-09-24,0.896
2018-09-21,0.899
2018-09-20,0.9345
2018-09-19,0.959
2018-09-18,0.952
2018-09-17,0.912
2018-09-14,0.898
2018-09-13,0.9045
2018-09-12,0.889
2018-09-11,0.8845
2018-09-10,0.907
2018-09-07,0.8885
2018-09-06,0.9015
2018-09-05,0.9095
2018-09-04,0.92
2018-09-03,0.915
2018-08-31,0.917
2018-08-30,0.927
2018-08-29,0.931
2018-08-28,0.9465
2018-08-27,0.9395
2018-08-24,0.939
2018-08-23,0.9415
2018-08-22,0.962
2018-08-21,0.988
2018-08-20,0.963
2018-08-17,0.9455
2018-08-16,0.954
2018-08-15,0.936
2018-08-14,0.9535
2018-08-13,0.981
2018-08-10,0.987
2018-08-09,0.999
2018-08-08,0.9935
2018-08-07,0.9925
2018-08-06,0.981
2018-08-03,0.9785
2018-08-02,0.9725
2018-08-01,0.989
2018-07-31,0.9725
2018-07-30,0.98
2018-07-27,0.9715
2018-07-26,0.9545
2018-07-25,0.979
2018-07-24,0.9675
2018-07-23,0.99
2018-07-20,0.9915
2018-07-19,0.9985
2018-07-18,1.014
2018-07-17,1.032
2018-07-16,1.03
2018-07-13,1.018
2018-07-12,1.018
2018-07-11,1.013
2018-07-10,1.023
2018-07-09,1.022
2018-07-06,1.023
2018-07-05,1.007
2018-07-04,0.994
2018-07-03,0.996
2018-07-02,1.005
2018-06-29,1.03
2018-06-28,1.054
2018-06-27,1.07
2018-06-26,1.08
2018-06-25,1.086
2018-06-23,1.108
2018-06-22,1.108
2018-06-21,1.082
2018-06-20,1.104
2018-06-19,1.103
2018-06-18,1.118
2018-06-15,1.101
2018-06-14,1.124
2018-06-13,1.137
2018-06-12,1.12
2018-06-11,1.103
2018-06-08,1.095
2018-06-07,1.095
2018-06-06,1.103
2018-06-05,1.064
2018-06-04,1.046
2018-06-01,1.06
2018-05-31,1.057
2018-05-30,1.053
2018-05-29,1.038
2018-05-28,1.057
2018-05-25,1.112
2018-05-24,1.14
2018-05-23,1.152
2018-05-22,1.159
2018-05-21,1.144
2018-05-18,1.16
2018-05-17,1.147
2018-05-16,1.136
2018-05-15,1.125
2018-05-14,1.133
2018-05-11,1.142
2018-05-10,1.139
2018-05-09,1.146
2018-05-08,1.138
2018-05-07,1.142
2018-05-04,1.13
2018-05-03,1.123
2018-05-02,1.118
