,sonc:pl
2018-11-23,0.765
2018-11-22,0.765
2018-11-21,0.765
2018-11-20,0.77
2018-11-19,0.77
2018-11-16,0.763
2018-11-15,0.765
2018-11-14,0.75
2018-11-13,0.756
2018-11-12,0.741
2018-11-09,0.739
2018-11-08,0.758
2018-11-07,0.748
2018-11-06,0.75
2018-11-05,0.761
2018-11-02,0.761
2018-11-01,0.763
2018-10-31,0.77
2018-10-30,0.759
2018-10-29,0.733
2018-10-26,0.743
2018-10-25,0.75
2018-10-24,0.745
2018-10-23,0.734
2018-10-22,0.733
2018-10-19,0.734
2018-10-18,0.73
2018-10-17,0.73
2018-10-16,0.711
2018-10-15,0.717
2018-10-12,0.742
2018-10-11,0.72
2018-10-10,0.766
2018-10-09,0.8
2018-10-08,0.715
2018-10-05,0.7
2018-10-04,0.696
2018-10-03,0.71
2018-10-02,0.7
2018-10-01,0.74
2018-09-28,0.741
2018-09-27,0.748
2018-09-26,0.746
2018-09-25,0.756
2018-09-24,0.753
2018-09-21,0.766
2018-09-20,0.794
2018-09-19,0.796
2018-09-18,0.8
2018-09-17,0.797
2018-09-14,0.801
2018-09-13,0.82
2018-09-12,0.805
2018-09-11,0.81
2018-09-10,0.804
2018-09-07,0.8
2018-09-06,0.805
2018-09-05,0.807
2018-09-04,0.84
2018-09-03,0.874
2018-08-31,0.86
2018-08-30,0.873
2018-08-29,0.885
2018-08-28,0.894
2018-08-27,0.893
2018-08-24,0.885
2018-08-23,0.89
2018-08-22,0.891
2018-08-21,0.873
2018-08-20,0.871
2018-08-17,0.864
2018-08-16,0.868
2018-08-15,0.857
2018-08-14,0.857
2018-08-13,0.857
2018-08-10,0.872
2018-08-09,0.886
2018-08-08,0.889
2018-08-07,0.891
2018-08-06,0.894
2018-08-03,0.895
2018-08-02,0.895
2018-08-01,0.895
2018-07-31,0.897
2018-07-30,0.914
2018-07-27,0.911
2018-07-26,0.92
2018-07-25,0.93
2018-07-24,0.929
2018-07-23,0.928
2018-07-20,0.922
2018-07-19,0.937
2018-07-18,0.932
2018-07-17,0.936
2018-07-16,0.934
2018-07-13,0.923
2018-07-12,0.932
2018-07-11,0.932
2018-07-10,0.939
2018-07-09,0.935
2018-07-06,0.93
2018-07-05,0.936
2018-07-04,0.925
2018-07-03,0.911
2018-07-02,0.913
2018-06-29,0.906
2018-06-28,0.896
2018-06-27,0.912
2018-06-26,0.895
2018-06-25,0.906
2018-06-23,0.91
2018-06-22,0.91
2018-06-21,0.892
2018-06-20,0.911
2018-06-19,0.908
2018-06-18,0.91
2018-06-15,0.926
2018-06-14,0.93
2018-06-13,0.93
2018-06-12,0.936
2018-06-11,0.935
2018-06-08,0.94
2018-06-07,0.965
2018-06-06,0.95
2018-06-05,0.948
2018-06-04,0.933
2018-06-01,0.933
2018-05-31,0.913
2018-05-30,0.905
2018-05-29,0.91
2018-05-28,0.928
2018-05-25,1.006
2018-05-24,1.01
2018-05-23,1.018
2018-05-22,1.036
2018-05-21,1.02
2018-05-18,1.01
2018-05-17,1.016
2018-05-16,1.016
2018-05-15,1.016
2018-05-14,1.016
2018-05-11,1.014
2018-05-09,1.006
2018-05-08,1.004
2018-05-07,1.004
2018-05-04,0.99
2018-05-03,0.994
2018-05-02,0.982
2018-04-30,1.012
2018-04-27,1.014
2018-04-26,1.012
2018-04-25,1.02
2018-04-24,1.012
2018-04-23,1.0
2018-04-20,1.006
2018-04-19,0.995
2018-04-18,0.972
2018-04-17,0.971
2018-04-16,0.971
2018-04-13,0.972
2018-04-12,0.968
2018-04-11,0.97
2018-04-10,0.981
2018-04-09,0.926
2018-04-06,0.925
2018-04-05,0.922
2018-04-04,0.913
2018-04-03,0.918
2018-03-29,0.928
2018-03-28,0.917
2018-03-27,0.934
2018-03-26,0.919
2018-03-23,0.924
2018-03-22,0.932
2018-03-21,0.937
2018-03-20,0.942
2018-03-19,0.936
2018-03-16,0.938
2018-03-15,0.944
2018-03-14,0.931
2018-03-13,0.948
2018-03-12,0.96
2018-03-09,0.955
2018-03-08,0.942
2018-03-07,0.948
2018-03-06,0.964
2018-03-05,0.956
2018-03-02,1.014
2018-03-01,1.024
2018-02-28,1.032
2018-02-27,1.068
2018-02-26,1.072
2018-02-23,1.068
2018-02-22,1.07
2018-02-21,1.076
2018-02-20,1.06
2018-02-19,1.064
2018-02-16,1.068
2018-02-15,1.062
2018-02-14,1.036
2018-02-13,1.036
2018-02-12,1.04
2018-02-09,1.014
2018-02-08,1.036
2018-02-07,1.048
2018-02-06,1.016
2018-02-05,0.983
2018-02-02,1.012
2018-02-01,1.032
2018-01-31,1.054
