,soni:pl
2018-11-23,1.895
2018-11-22,1.925
2018-11-21,1.875
2018-11-20,1.895
2018-11-19,1.985
2018-11-16,2.0
2018-11-15,2.0
2018-11-14,2.06
2018-11-13,2.04
2018-11-12,2.08
2018-11-09,2.06
2018-11-08,2.07
2018-11-07,2.08
2018-11-06,2.08
2018-11-05,2.03
2018-11-02,2.05
2018-11-01,2.06
2018-10-31,2.09
2018-10-30,2.08
2018-10-29,2.08
2018-10-26,2.08
2018-10-25,2.16
2018-10-24,2.28
2018-10-23,2.16
2018-10-22,2.16
2018-10-19,2.18
2018-10-18,2.19
2018-10-17,2.18
2018-10-16,2.17
2018-10-15,2.08
2018-10-12,2.02
2018-10-11,2.09
2018-10-10,2.17
2018-10-09,2.21
2018-10-08,2.21
2018-10-05,2.26
2018-10-04,2.25
2018-10-03,2.23
2018-10-02,2.2
2018-10-01,2.33
2018-09-28,2.34
2018-09-27,2.32
2018-09-26,2.31
2018-09-25,2.32
2018-09-24,2.35
2018-09-21,2.33
2018-09-20,2.39
2018-09-19,2.4
2018-09-18,2.4
2018-09-17,2.38
2018-09-14,2.39
2018-09-13,2.36
2018-09-12,2.35
2018-09-11,2.33
2018-09-10,2.41
2018-09-07,2.3
2018-09-06,2.32
2018-09-05,2.31
2018-09-04,2.35
2018-08-31,2.52
2018-08-30,2.54
2018-08-29,2.51
2018-08-28,2.4
2018-08-27,2.32
2018-08-24,2.31
2018-08-23,2.25
2018-08-22,2.26
2018-08-21,2.26
2018-08-20,2.29
2018-08-17,2.27
2018-08-16,2.35
2018-08-15,2.27
2018-08-14,2.34
2018-08-13,2.32
2018-08-10,2.35
2018-08-09,2.38
2018-08-08,2.38
2018-08-07,2.31
2018-08-06,2.26
2018-08-03,2.3
2018-08-02,2.32
2018-08-01,2.36
2018-07-31,2.48
2018-07-30,2.57
2018-07-27,2.32
2018-07-26,2.29
2018-07-25,2.26
2018-07-24,2.32
2018-07-23,2.32
2018-07-20,2.28
2018-07-19,2.24
2018-07-18,2.29
2018-07-17,2.3
2018-07-16,2.29
2018-07-13,2.34
2018-07-12,2.35
2018-07-11,2.33
2018-07-10,2.37
2018-07-09,2.42
2018-07-06,2.36
2018-07-05,2.26
2018-07-04,2.11
2018-07-03,2.13
2018-07-02,2.23
2018-06-29,2.35
2018-06-28,2.41
2018-06-27,2.41
2018-06-26,2.47
2018-06-25,2.5
2018-06-23,2.52
2018-06-22,2.52
2018-06-21,2.59
2018-06-20,2.65
2018-06-19,2.59
2018-06-18,2.59
2018-06-15,2.6
2018-06-14,2.64
2018-06-13,2.63
2018-06-12,2.63
2018-06-11,2.68
2018-06-08,2.66
2018-06-07,2.75
2018-06-06,2.77
2018-06-05,2.76
2018-06-04,2.71
2018-06-01,2.72
2018-05-31,2.6
2018-05-30,2.59
2018-05-29,2.59
2018-05-28,2.66
2018-05-25,2.7
2018-05-24,2.7
2018-05-23,2.73
2018-05-22,2.73
