,tdsa:pl
2018-11-23,0.1595
2018-11-22,0.159
2018-11-21,0.1595
2018-11-20,0.155
2018-11-19,0.1605
2018-11-16,0.166
2018-11-15,0.1665
2018-11-14,0.1695
2018-11-13,0.17
2018-11-12,0.1725
2018-11-09,0.1725
2018-11-08,0.1725
2018-11-07,0.1745
2018-11-06,0.171
2018-11-05,0.1745
2018-11-02,0.174
2018-11-01,0.177
2018-10-31,0.177
2018-10-30,0.175
2018-10-29,0.1715
2018-10-26,0.172
2018-10-25,0.177
2018-10-24,0.171
2018-10-23,0.173
2018-10-22,0.173
2018-10-19,0.1765
2018-10-18,0.179
2018-10-17,0.18
2018-10-16,0.1805
2018-10-15,0.179
2018-10-12,0.1775
2018-10-11,0.1795
2018-10-10,0.177
2018-10-09,0.187
2018-10-08,0.19
2018-10-05,0.19
2018-10-04,0.195
2018-10-03,0.1845
2018-10-02,0.185
2018-10-01,0.195
2018-09-28,0.208
2018-09-27,0.21
2018-09-26,0.212
2018-09-25,0.2
2018-09-24,0.202
2018-09-21,0.208
2018-09-20,0.21
2018-09-19,0.209
2018-09-18,0.211
2018-09-17,0.217
2018-09-14,0.219
2018-09-13,0.222
2018-09-12,0.22
2018-09-11,0.224
2018-09-10,0.226
2018-09-07,0.231
2018-09-06,0.236
2018-09-05,0.238
2018-09-04,0.24
2018-09-03,0.248
2018-08-31,0.252
2018-08-30,0.242
2018-08-29,0.238
2018-08-28,0.239
2018-08-27,0.237
2018-08-24,0.234
2018-08-23,0.237
2018-08-22,0.235
2018-08-21,0.237
2018-08-20,0.235
2018-08-17,0.238
2018-08-16,0.234
2018-08-15,0.233
2018-08-14,0.234
2018-08-13,0.233
2018-08-10,0.24
2018-08-09,0.242
2018-08-08,0.244
2018-08-07,0.237
2018-08-06,0.238
2018-08-03,0.236
2018-08-02,0.241
2018-08-01,0.238
2018-07-31,0.237
2018-07-30,0.237
2018-07-27,0.236
2018-07-26,0.238
2018-07-25,0.243
2018-07-24,0.241
2018-07-23,0.242
2018-07-20,0.236
2018-07-19,0.241
2018-07-18,0.24
2018-07-17,0.242
2018-07-16,0.237
2018-07-13,0.236
2018-07-12,0.241
2018-07-11,0.238
2018-07-10,0.244
2018-07-09,0.25
2018-07-06,0.241
2018-07-05,0.24
2018-07-04,0.23
2018-07-03,0.231
2018-07-02,0.243
2018-06-29,0.251
2018-06-28,0.245
2018-06-27,0.248
2018-06-26,0.251
2018-06-25,0.248
2018-06-23,0.257
2018-06-22,0.257
2018-06-21,0.252
2018-06-20,0.251
2018-06-19,0.252
2018-06-18,0.253
2018-06-15,0.255
2018-06-14,0.26
2018-06-13,0.251
2018-06-12,0.25
2018-06-11,0.25
2018-06-08,0.254
2018-06-07,0.255
2018-06-06,0.253
2018-06-05,0.26
2018-06-04,0.258
2018-06-01,0.258
2018-05-31,0.258
2018-05-30,0.259
2018-05-29,0.25
2018-05-28,0.26
2018-05-25,0.261
2018-05-24,0.26
2018-05-23,0.261
2018-05-22,0.265
2018-05-21,0.261
2018-05-18,0.261
2018-05-17,0.263
2018-05-16,0.263
2018-05-15,0.267
2018-05-14,0.268
2018-05-08,0.264
2018-05-07,0.26
2018-05-04,0.267
2018-05-03,0.266
2018-05-02,0.261
2018-04-30,0.278
2018-04-27,0.281
2018-04-26,0.3
2018-04-25,0.276
2018-04-24,0.275
2018-04-23,0.278
2018-04-20,0.291
2018-04-19,0.291
2018-04-18,0.274
2018-04-17,0.263
2018-04-16,0.253
2018-04-13,0.256
2018-04-12,0.25
2018-04-11,0.25
2018-04-10,0.246
2018-04-09,0.239
2018-04-06,0.242
2018-04-05,0.245
2018-04-04,0.243
2018-04-03,0.244
2018-03-29,0.253
2018-03-28,0.257
2018-03-27,0.253
2018-03-26,0.258
2018-03-23,0.265
2018-03-22,0.259
2018-03-21,0.261
2018-03-20,0.262
2018-03-19,0.259
2018-03-16,0.266
2018-03-15,0.271
2018-03-14,0.265
2018-03-13,0.268
2018-03-12,0.269
2018-03-09,0.275
2018-03-08,0.266
2018-03-07,0.268
2018-03-06,0.271
2018-03-05,0.268
2018-03-02,0.273
2018-03-01,0.271
2018-02-28,0.272
2018-02-27,0.279
2018-02-26,0.275
2018-02-23,0.268
2018-02-22,0.267
2018-02-21,0.27
2018-02-20,0.268
